source,row_type,bucket_tokens,bucket_role,decision,phase363_prerequisite,backend_required,manager_required,ld_library_path_prefix,vllm_enable_cuda_compatibility,stop_rule,curve_fit_allowed,interpolation_allowed,extrapolation_allowed,perfdb_curve_allowed,next_allowed_phase,future_gpu_ssh,gpu_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase364_ep8_comm_shape_expansion_spec,prerequisite,,,phase363_single_point_insufficient_curve_fit_disallowed,insufficient_for_perfdb_curve,,,,,,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,smoke_bucket,128,runner_comm_smoke_only_not_real_coverage,exclude_from_perfdb_curve_fit,,,,,,,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,real_bucket,1,phase124_real_bucket,required_for_minimal_shape_sweep,,,,,,,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,real_bucket,15,phase124_real_bucket,required_for_minimal_shape_sweep,,,,,,,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,real_bucket,16,phase124_real_bucket,required_for_minimal_shape_sweep,,,,,,,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,real_bucket,241,phase124_real_bucket,required_for_minimal_shape_sweep,,,,,,,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,real_bucket,1808,phase124_real_bucket,required_for_minimal_shape_sweep,,,,,,,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,real_bucket,2048,phase124_real_bucket,required_for_minimal_shape_sweep,,,,,,,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,real_bucket,8192,phase124_real_bucket,required_for_minimal_shape_sweep,,,,,,,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,backend_gate,,,runtime_capture_backend_and_manager_per_bucket,,allgather_reducescatter,AgRsAll2AllManager,,,,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,environment_gate,,,preload_cuda_compat_before_direct_smoke,,,,/usr/local/cuda-12.9/compat:/usr/local/nvidia/lib64,1,,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,stop_rules,,,fail_fast_no_retry_no_fallback,,,,,,ptx_failure;context_failure;unknown_backend;gpu_or_process_residue;backend_drift_from_allgather_reducescatter,false,false,false,false,phase365_minimal_shape_sweep,,false,No-Go,true,false,false
phase364_ep8_comm_shape_expansion_spec,next_phase,,,phase365_minimal_shape_sweep_only_not_full_gpu_matrix,,,,,,,false,false,false,false,phase365_minimal_shape_sweep,ssh -CAXY ws-faaf0de74ef9a14d-worker-gn6kz.zhaojieyu+root.ailab-sys.pod@h.pjlab.org.cn,false,No-Go,true,false,false
