source,row_type,bucket_tokens,bucket_role,decision,phase366_prerequisite,measurement_boundary,runner_level_boundary,quant_runtime,kernel_source_metadata,kernel_source_lookup_key,ld_library_path_prefix,vllm_enable_cuda_compatibility,stop_rule,next_allowed_phase,future_gpu_ssh,gpu_allowed,curve_fit_allowed,interpolation_allowed,extrapolation_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase367_fusedmoe_runner_shape_sweep_spec,prerequisite,,,phase366_ep8_comm_shape_sweep_pass_required,phase366_ep8_comm_minimal_shape_sweep_passed,,,,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,measurement_boundary,,,measure_fusedmoe_forward_runner_level,,FusedMoE.forward(),true,,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,smoke_bucket,128,fusedmoe_runner_smoke_only_not_shape_sweep,exclude_from_fusedmoe_shape_sweep,,,,,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,shape_bucket,1,phase124_real_bucket,required_for_fusedmoe_runner_minimal_shape_sweep,,FusedMoE.forward(),true,,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,shape_bucket,15,phase124_real_bucket,required_for_fusedmoe_runner_minimal_shape_sweep,,FusedMoE.forward(),true,,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,shape_bucket,16,phase124_real_bucket,required_for_fusedmoe_runner_minimal_shape_sweep,,FusedMoE.forward(),true,,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,shape_bucket,241,phase124_real_bucket,required_for_fusedmoe_runner_minimal_shape_sweep,,FusedMoE.forward(),true,,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,shape_bucket,1808,phase124_real_bucket,required_for_fusedmoe_runner_minimal_shape_sweep,,FusedMoE.forward(),true,,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,shape_bucket,2048,phase124_real_bucket,required_for_fusedmoe_runner_minimal_shape_sweep,,FusedMoE.forward(),true,,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,shape_bucket,8192,phase124_real_bucket,required_for_fusedmoe_runner_minimal_shape_sweep,,FusedMoE.forward(),true,,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,quant_runtime,,,runtime_quant_method_must_be_captured,,,,CompressedTensorsWNA16MarlinMoEMethod,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,kernel_metadata,,,kernel_source_metadata_only_not_perfdb_lookup_key,,,,,true,false,,,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,environment_gate,,,preload_cuda_compat_before_direct_smoke,,,,,,,/usr/local/cuda-12.9/compat:/usr/local/nvidia/lib64,1,,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,stop_rules,,,fail_fast_no_retry_no_bare_kernel_fallback,,,,,,,,,ptx_failure;forward_context_failure;quant_runtime_drift;gpu_or_process_residue,phase368_fusedmoe_runner_minimal_shape_sweep,,false,false,false,false,No-Go,true,false,false
phase367_fusedmoe_runner_shape_sweep_spec,next_phase,,,phase368_fusedmoe_runner_minimal_shape_sweep_only,,,,,,,,,,phase368_fusedmoe_runner_minimal_shape_sweep,ssh -CAXY ws-faaf0de74ef9a14d-worker-gn6kz.zhaojieyu+root.ailab-sys.pod@h.pjlab.org.cn,false,false,false,false,No-Go,true,false,false
