source,row_type,decision,phase372_required,new_data_file,existing_data_file_reused,future_code_entry,new_loader,new_loader_implemented,new_query,new_query_implemented,existing_query_replaced,trtllm_sglang_path_changed,key_dimensions,module_boundaries,kernel_source_metadata,kernel_source_lookup_key,allowed_bucket_tokens,excluded_bucket_tokens,bucket_interpolation_allowed,bucket_extrapolation_allowed,perfdb_row_write_allowed,src_change_allowed,default_aic_allowed,next_allowed_phase,gpu_allowed,curve_fit_allowed,interpolation_allowed,extrapolation_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase373_loader_query_implementation_spec,phase372_plan_prerequisite,require_phase372_loader_query_change_plan,true,,false,,,false,,false,false,false,,,,false,,,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,data_file_contract,design_new_vllm_module_perf_file_not_moe_perf,false,vllm_module_perf.txt,false,,,false,,false,false,false,,,,false,,,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,future_code_entry_common,future_common_entry_only_no_src_change,false,,false,src/aiconfigurator/sdk/common.py,,false,,false,false,false,,,,false,,,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,future_code_entry_perf_database,future_perf_database_entry_only_no_src_change,false,,false,src/aiconfigurator/sdk/perf_database.py,,false,,false,false,false,,,,false,,,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,loader_contract,design_load_vllm_module_data_without_implementation,false,,false,,load_vllm_module_data,false,,false,false,false,,,,false,,,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,query_contract,design_query_vllm_module_without_implementation,false,,false,,,false,query_vllm_module,false,false,false,,,,false,,,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,existing_path_guard,do_not_replace_query_moe_or_change_trtllm_sglang_paths,false,,false,,,false,,false,false,false,,,,false,,,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,key_dimensions_contract,reuse_phase371_phase372_key_dimensions,false,,false,,,false,,false,false,false,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,,,false,,,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,module_boundary_contract,allow_only_phase371_module_boundaries,false,,false,,,false,,false,false,false,,fusedmoe_runner_compute;ep8_comm_dispatch_combine,,false,,,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,kernel_source_metadata_policy,kernel_source_metadata_only_not_lookup_key,false,,false,,,false,,false,false,false,,,metadata_only,false,,,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,bucket_whitelist,allow_only_phase124_real_buckets,false,,false,,,false,,false,false,false,,,,false,1/15/16/241/1808/2048/8192,128,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,prohibited_actions,no_src_change_no_perfdb_rows_no_fit_no_default,false,,false,,,false,,false,false,false,,,,false,,,false,false,false,false,false,,false,false,false,false,No-Go,true,false,false
phase373_loader_query_implementation_spec,next_phase,phase374_may_do_minimal_loader_query_implementation,false,,false,,,false,,false,false,false,,,,false,,,false,false,false,false,false,phase374_minimal_loader_query_implementation,false,false,false,false,No-Go,true,false,false
