source,row_type,verdict,phase377_contract,runtime_binding,exact_lookup_guard,model_required,perfdb_model_key,hardware_required,vllm_version_required,topology_required,allowed_bucket_tokens,excluded_bucket_tokens,module_boundaries,quant_runtime_required,integration_level,unit_coverage,validator_result,next_allowed_phase,topology_guard,topology_source,post_dispatch_bucket_guard,post_dispatch_combined_row_policy,perfdb_data_changed,new_data_rows_allowed,schema_changed,gpu_allowed,ssh_allowed,default_aic_allowed,nearest_bucket_allowed,curve_fit_allowed,interpolation_allowed,extrapolation_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase380_vllm_module_runtime_binding_sufficiency_gate,phase377_contract_prerequisite,contract_locked,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,,,moonshotai/Kimi-K2.5,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,128,fusedmoe_runner_compute;ep8_comm_dispatch_combine,CompressedTensorsWNA16MarlinMoEMethod,unit_plus_validator_evidence_only,,,,,,,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase380_vllm_module_runtime_binding_sufficiency_gate,phase378_runtime_binding_implemented,implemented_but_not_default_ready,,implemented,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,moonshotai/Kimi-K2.5,kimi-k2.5,,,,,,fusedmoe_runner_compute;ep8_comm_dispatch_combine,,unit_plus_validator_evidence_only,,,,,,,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase380_vllm_module_runtime_binding_sufficiency_gate,phase379_topology_guard_implemented,implemented_exact_topology_guard,,,,,,,,tp4dp2ep8,,,,,unit_plus_validator_evidence_only,,,,implemented,vllm_module_topology,,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase380_vllm_module_runtime_binding_sufficiency_gate,phase379_post_dispatch_bucket_guard_implemented,implemented_fail_fast_before_zero_row,,,,,,,,,1/15/16/241/1808/2048/8192,128,,,unit_plus_validator_evidence_only,,,,,,implemented,zero_after_bucket_check,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase380_vllm_module_runtime_binding_sufficiency_gate,exact_lookup_guard_complete,exact_lookup_only,,,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,moonshotai/Kimi-K2.5,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1/15/16/241/1808/2048/8192,128,fusedmoe_runner_compute;ep8_comm_dispatch_combine,CompressedTensorsWNA16MarlinMoEMethod,unit_plus_validator_evidence_only,,,,,,,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase380_vllm_module_runtime_binding_sufficiency_gate,unit_coverage_present,unit_coverage_for_runtime_binding_guards_present,,,,,,,,,,,,,unit_plus_validator_evidence_only,kimi_scope;non_kimi_scope;topology_guard;post_dispatch_bucket_guard;bucket_128_failfast;base_backend_topology,,,,,,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase380_vllm_module_runtime_binding_sufficiency_gate,validator_stability_preserved,validator_baseline_preserved,,,,,,,,,,,,,unit_plus_validator_evidence_only,,1.50x/1.47x/1.79x,,,,,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase380_vllm_module_runtime_binding_sufficiency_gate,perfdb_data_unchanged,no_new_data_no_schema_change,,,,,,,,,,,,,unit_plus_validator_evidence_only,,,,,,,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase380_vllm_module_runtime_binding_sufficiency_gate,default_aic_blocked,blocked_default_aic_no_go,,,,,,,,,,,,,unit_plus_validator_evidence_only,,,,,,,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase380_vllm_module_runtime_binding_sufficiency_gate,next_phase,phase381_local_end_to_end_exact_bucket_probe_only,,,,,,,,,,,,,unit_plus_validator_evidence_only,,,phase381_local_end_to_end_exact_bucket_probe,,,,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
