source,row_type,workload,phase,comparison_mode,overhead_ms,ground_truth_median_ms,predicted_median_ms,error_ratio,verdict,module_binding_triggered,exact_reachable_iters,total_module_calls,cbsim_token_spread,materialized_bucket_count,diagnostic_snap_used,snap_max_rel_err,next_route,model,hardware,vllm_version,topology,ground_truth_source,exact_lookup_only,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,runtime_modified,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase392_e2e_attribution_gate,baseline_query_moe_0_12,10k2k_b32_bt8192,prefill,baseline_query_moe_0_12,0,1054.15,334.92,3.15,legacy_0_12_moe_under_predicts_prefill_mixed_decode_ok,,,,,,false,,,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,compare_10k2k_b32_dp0.csv,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase392_e2e_attribution_gate,baseline_query_moe_0_12,10k2k_b32_bt8192,mixed,baseline_query_moe_0_12,0,976.54,333.92,2.92,legacy_0_12_moe_under_predicts_prefill_mixed_decode_ok,,,,,,false,,,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,compare_10k2k_b32_dp0.csv,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase392_e2e_attribution_gate,baseline_query_moe_0_12,10k2k_b32_bt8192,pure_decode,baseline_query_moe_0_12,0,24.82,21.15,1.17,legacy_0_12_moe_under_predicts_prefill_mixed_decode_ok,,,,,,false,,,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,compare_10k2k_b32_dp0.csv,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase392_e2e_attribution_gate,module_bound_0_19_snap_oh0,10k2k_b32_bt8192,prefill,module_bound_0_19_snap,0,1054.15,789.73,1.33,module_table_recovers_prefill_mixed_gap,,,,,,true,0.18,,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,compare_10k2k_b32_dp0.csv,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase392_e2e_attribution_gate,module_bound_0_19_snap_oh0,10k2k_b32_bt8192,mixed,module_bound_0_19_snap,0,976.54,789.46,1.24,module_table_recovers_prefill_mixed_gap,,,,,,true,0.18,,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,compare_10k2k_b32_dp0.csv,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase392_e2e_attribution_gate,module_bound_0_19_snap_oh0,10k2k_b32_bt8192,pure_decode,module_bound_0_19_snap,0,24.82,12.34,2.01,module_table_regresses_decode_vs_baseline,,,,,,true,0.18,,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,compare_10k2k_b32_dp0.csv,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase392_e2e_attribution_gate,module_bound_0_19_snap_oh90_decode,10k2k_b32_bt8192,pure_decode,module_bound_0_19_snap,90,24.82,102.34,4.12,90ms_decode_overhead_overshoots_decode_4x,,,,,,true,0.18,,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,compare_10k2k_b32_dp0.csv,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase392_e2e_attribution_gate,reachability_exact_only,10k2k_b32_bt8192,,,,,,,binding_triggers_but_exact_only_incompatible_with_cbsim_continuous_token_spread,true,ep8 19/201; fusedmoe 11/201,201,ep8 1..2500; fusedmoe 2..5000,ep8 7; fusedmoe 14,true,0.18,,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,compare_10k2k_b32_dp0.csv,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase392_e2e_attribution_gate,residual_attribution,10k2k_b32_bt8192,,,,,,,prefill_mixed_residual_was_moe_undermeasured_in_0_12_table_recovered_by_0_19_module; decode_residual_is_ep8_alltoall_comm_and_small_bucket_moe_not_a_missing_prefill_boundary,,,,,,,,,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,compare_10k2k_b32_dp0.csv,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase392_e2e_attribution_gate,verdict,10k2k_b32_bt8192,,,,,,,mixed: route_a_validated_for_prefill_mixed_3x_to_1_3x; decode_regresses; gating_blocker_is_scheduler_token_shape_not_missing_gpu_buckets,,,,,,,,route_b_scheduler_token_shape_alignment_plus_phase393_decode_ep8_comm_and_small_bucket_moe_measurement,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,compare_10k2k_b32_dp0.csv,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase392_e2e_attribution_gate,next_phase,10k2k_b32_bt8192,,,,,,,phase393_route_b_scheduler_alignment_or_lookup_contract_then_targeted_decode_ep8_comm_measurement,,,,,,,,route_b_scheduler_token_shape_alignment_plus_phase393_decode_ep8_comm_and_small_bucket_moe_measurement,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,compare_10k2k_b32_dp0.csv,true,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
