source,row_type,scenario,metric,split_value,merged_value,delta_pct,verdict,model,hardware,vllm_version,topology,next_allowed_phase,runtime_modified,nearest_lookup_allowed,interpolation_allowed,extrapolation_allowed,fudge_factor_tuning_used,scope_gating_used,write_real_data_file,gpu_allowed,ssh_allowed,default_aic_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase395_tp16_legacy_overcount_attribution,pure_paths_unchanged,,,,,,pure_prefill_and_pure_decode_byte_identical_merged_vs_split; identical_pure_decode_time_and_mixed_ctx_attn_gen_attn,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase395_tp16_legacy_overcount_attribution,steady_throughput_delta,10k2k_b32,steady_tok_s_gpu,117.99,117.91,-0.07%,merged_effect_on_tp16_steady_throughput_is_negligible,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase395_tp16_legacy_overcount_attribution,steady_throughput_delta,10k3k_b128,steady_tok_s_gpu,201.05,200.55,-0.25%,merged_effect_on_tp16_steady_throughput_is_negligible,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase395_tp16_legacy_overcount_attribution,steady_throughput_delta,16k2k_b32,steady_tok_s_gpu,80.92,80.88,-0.05%,merged_effect_on_tp16_steady_throughput_is_negligible,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase395_tp16_legacy_overcount_attribution,mixed_component_change,10k2k_b32,mixed_ctx_non_attn_ms_per_iter,300.76,301.47,+0.24%,only_change_is_plus_decode_bs_tokens; gen_non_attn_folds_5.2ms_to_0_but_invisible_under_overlap0_max,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase395_tp16_legacy_overcount_attribution,mixed_component_change,10k3k_b128,mixed_ctx_non_attn_ms_per_iter,312.52,314.77,+0.72%,only_change_is_plus_decode_bs_tokens; gen_non_attn_folds_6.8ms_to_0_but_invisible_under_overlap0_max,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase395_tp16_legacy_overcount_attribution,mixed_component_change,16k2k_b32,mixed_ctx_non_attn_ms_per_iter,392.88,393.59,+0.18%,only_change_is_plus_decode_bs_tokens; gen_non_attn_folds_5.2ms_to_0_but_invisible_under_overlap0_max,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase395_tp16_legacy_overcount_attribution,standing_error_precedes_merged,10k3k_b128,validate_symmetric_error,1.49x,1.52x,,split_already_0.67x_the_1.5x_error_is_standing_not_created_by_merged,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase395_tp16_legacy_overcount_attribution,decode_dominates_steady,,pure_decode_time_share_pct,65..75,65..75,,steady_time_is_65_to_75pct_pure_decode_unchanged_by_merged;_tp16_error_is_broad_not_mixed_localized,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase395_tp16_legacy_overcount_attribution,hypothesis_status,,,,,,phase394_masked_overcount_exposed_by_merged_hypothesis_largely_refuted; merged_negligible_on_tp16; error_predates_merged_and_spans_decode,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase395_tp16_legacy_overcount_attribution,verdict,,,,,,tp16_1.5x_is_a_standing_broad_legacy_0120_calibration_gap; do_not_scope_gate_merged; target_standing_error_and_unify_perf_backends_onto_measured_module_boundary_schema,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,phase396_unify_perf_backends_onto_module_boundary_schema,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
phase395_tp16_legacy_overcount_attribution,next_phase,,,,,,phase396_unify_legacy_0120_interpolated_path_onto_module_boundary_schema_and_target_standing_tp16_error,kimi-k2.5,h200_sxm,0.12.0,tp16dp1,phase396_unify_perf_backends_onto_module_boundary_schema,false,false,false,false,false,false,false,false,false,false,No-Go,true,false,false
