table,scenario,tp,dp,ep,real_out_tok_s_gpu,sim_before_tok_s_gpu,sim_after_tok_s_gpu,ratio_before,ratio_after
throughput,3k3k_b128,16,1,1,115.9,478.5,120.0,4.13,1.04
throughput,8k2k_b256,16,1,1,117.6,277.4,125.8,2.36,1.07
throughput,10k2k_b32,16,1,1,49.8,110.7,37.2,2.22,0.75
throughput,10k3k_b128,16,1,1,89.5,237.4,95.6,2.65,1.07
throughput,16k2k_b32,16,1,1,41.7,77.8,32.6,1.87,0.78
throughput,30k3k_b8,16,1,1,18.2,31.7,12.6,1.74,0.69
throughput,32k1k_b16,16,1,1,17.8,35.7,17.8,2.00,1.00
multi_config,K2.5-tp8ep8-8k2k,8,1,8,133.5,135.8,82.8,1.02,0.62
multi_config,K2.5-tp8ep8-32k3k,8,1,8,52.5,93.8,64.8,1.79,1.24
multi_config,K2.5-tp4ep8dp2-8k2k,4,2,8,137.7,250.6,149.7,1.82,1.09
multi_config,K2.5-tp4ep8dp2-32k3k,4,2,8,53.3,173.9,115.8,3.26,2.17
multi_config,K2.5-tp8ep8-8k2k-bt65536,8,1,8,138.5,135.8,82.8,0.98,0.60
multi_config,K2.5-tp4ep8dp2-8k2k-bt65536,4,2,8,156.0,250.6,149.7,1.61,0.96
summary,throughput_max_abs_err,,,,,,,4.13,1.44
summary,throughput_mean_abs_err,,,,,,,2.43,1.18
summary,multi_config_max_abs_err,,,,,,,3.26,2.17
summary,multi_config_mean_abs_err,,,,,,,1.75,1.47
summary,ttft_max_abs_err_threshold,,,,,,,1.79,1.79
