config_pair,op_name,tp8_ms,tp4_ms,ratio_tp4_over_tp8,scales_with_tp
tp8ep8dp1_vs_tp4ep8dp2,generation_add_norm_1,0.2996,0.2996,1.0000,false
tp8ep8dp1_vs_tp4ep8dp2,generation_add_norm_2,0.2996,0.2996,1.0000,false
tp8ep8dp1_vs_tp4ep8dp2,generation_attention,21.7362,21.5231,0.9902,false
tp8ep8dp1_vs_tp4ep8dp2,generation_downscale_gemm,0.9481,0.9481,1.0000,false
tp8ep8dp1_vs_tp4ep8dp2,generation_embedding,0.0035,0.0035,1.0000,false
tp8ep8dp1_vs_tp4ep8dp2,generation_logits_gemm,0.0759,0.1493,1.9672,true
tp8ep8dp1_vs_tp4ep8dp2,generation_moe,71.7758,84.7642,1.1810,false
tp8ep8dp1_vs_tp4ep8dp2,generation_moe_post_dispatch,1.0213,2.3336,2.2850,true
tp8ep8dp1_vs_tp4ep8dp2,generation_moe_pre_dispatch,1.0213,2.4552,2.4040,true
tp8ep8dp1_vs_tp4ep8dp2,generation_p2p,0.0000,0.0000,0.0000,false
tp8ep8dp1_vs_tp4ep8dp2,generation_proj_gemm,0.4082,0.5922,1.4508,false
tp8ep8dp1_vs_tp4ep8dp2,generation_q_b_proj_gemm,0.3151,0.3941,1.2509,false
tp8ep8dp1_vs_tp4ep8dp2,generation_router_gemm,0.5097,0.5097,1.0000,false
tp8ep8dp1_vs_tp4ep8dp2,generation_shared_act_gate,0.1861,0.1892,1.0168,false
tp8ep8dp1_vs_tp4ep8dp2,generation_shared_ffn1_gemm,0.4385,0.5791,1.3206,false
tp8ep8dp1_vs_tp4ep8dp2,generation_shared_ffn2_gemm,0.2365,0.3195,1.3513,false
tp8ep8dp1_vs_tp4ep8dp2,generation_shared_gate_gemm,0.4385,0.5791,1.3206,false
tp8ep8dp1_vs_tp4ep8dp2,SIM_TOTAL,99.7139,115.9392,1.1627,false
tp8ep8dp1_vs_tp4ep8dp2,REAL_DECODE_ITER,119.8300,232.3600,1.9391,true
