Iteration(0): 1 context requests, 8000 context tokens, 0 generation requests, 0 generation tokens, iteration elapsed time: 1207.40 ms
Iteration(1): 0 context requests, 0 context tokens, 1 generation requests, 1 generation tokens, iteration elapsed time: 441.95 ms
Iteration(2): 127 context requests, 2032 context tokens, 1 generation requests, 1 generation tokens, iteration elapsed time: 562.43 ms
Iteration(3): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 29.78 ms
Iteration(4): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.36 ms
Iteration(5): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.77 ms
Iteration(6): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.49 ms
Iteration(7): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.04 ms
Iteration(8): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.90 ms
Iteration(9): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.33 ms
Iteration(10): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.90 ms
Iteration(11): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.13 ms
Iteration(12): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.04 ms
Iteration(13): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.01 ms
Iteration(14): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.15 ms
Iteration(15): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.18 ms
Iteration(16): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.62 ms
Iteration(17): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.48 ms
Iteration(18): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.63 ms
Iteration(19): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.01 ms
Iteration(20): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.37 ms
Iteration(21): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.57 ms
Iteration(22): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.47 ms
Iteration(23): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.09 ms
Iteration(24): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.99 ms
Iteration(25): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.82 ms
Iteration(26): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.58 ms
Iteration(27): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.88 ms
Iteration(28): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.93 ms
Iteration(29): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.23 ms
Iteration(30): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.90 ms
Iteration(31): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.86 ms
