source,row_type,config,model,hardware,backend,vllm_version,workload,num_heads,batch_size,seq_len,kv_cache_dtype,kernel_source,latency_ms_per_layer,sim_total_ms,measured_attention_ms,measured_per_layer_ms,sim_over_measured,anchor_batch_size,anchor_seq_len,anchor_latency_ms_per_layer,anchor_over_measured_per_layer,candidate,verdict,evidence,phase397o_recollect_item,future_gpu_required,next_allowed_phase,runtime_modified,write_real_data_file,gpu_allowed,ssh_allowed,diagnostic_only,valid_for_default,perf_database,default_readiness
phase397n_attention_residual_triage,query_reproduction,tp8ep8-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,8,128,9001,float16,vllm_flash_attn_mla,0.523,31.891,16.898,0.277,1.887,,,,,,dtype_not_primary_float16_matches_bf16_runtime,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,interp_anchor,tp8ep8-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,8,128,9001,float16,vllm_flash_attn_mla,,,16.898,0.277,,128,8192,0.486,1.755,,anchor_value_high,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,interp_anchor,tp8ep8-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,8,128,9001,float16,vllm_flash_attn_mla,,,16.898,0.277,,128,16384,0.857,3.095,,anchor_value_high,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,query_reproduction,tp8ep8-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,8,128,9001,fp8,vllm_flashmla,0.442,26.981,16.898,0.277,1.597,,,,,,fp8_lower_but_still_overpredicts_tp8,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,interp_anchor,tp8ep8-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,8,128,9001,fp8,vllm_flashmla,,,16.898,0.277,,128,8192,0.405,1.462,,dtype_control_anchor,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,interp_anchor,tp8ep8-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,8,128,9001,fp8,vllm_flashmla,,,16.898,0.277,,128,16384,0.784,2.829,,dtype_control_anchor,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,query_reproduction,tp4ep8dp2-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,16,69,9001,float16,vllm_flash_attn_mla,0.290,17.670,13.649,0.224,1.295,,,,,,dtype_not_primary_float16_matches_bf16_runtime,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,interp_anchor,tp4ep8dp2-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,16,69,9001,float16,vllm_flash_attn_mla,,,13.649,0.224,,64,8192,0.250,1.118,,anchor_value_high,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,interp_anchor,tp4ep8dp2-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,16,69,9001,float16,vllm_flash_attn_mla,,,13.649,0.224,,64,16384,0.477,2.131,,anchor_value_high,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,interp_anchor,tp4ep8dp2-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,16,69,9001,float16,vllm_flash_attn_mla,,,13.649,0.224,,128,8192,0.453,2.023,,anchor_value_high,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
