source,local_num_heads,tp_size,kv_cache_dtype,batch_size,target_seq_len,input_len,randomize_blocks,target_backend,kernel_entrypoint,kernel_source,eager6_ms,eager200_mean_ms,eager200_p50_ms,eager200_p99_ms,graph_mean_ms,graph_p50_ms,graph_p99_ms,graph_capture,warmup_iters,measure_iters,called_attention_kernel,called_model_forward,device,valid_for_default,perf_database,default_readiness
phase397o_mla_recollect,8,16,float16,64,8192,8191,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.232485,0.252224,0.251968,0.258976,0.225468,0.225312,0.228800,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,float16,64,8192,8191,false,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.233125,0.251947,0.251520,0.258496,0.225191,0.225152,0.226976,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,float16,64,9001,9000,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.253925,0.272353,0.272320,0.278688,0.246358,0.246240,0.248320,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,float16,64,9001,9000,false,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.252789,0.270080,0.269984,0.277824,0.245836,0.245760,0.247424,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,float16,64,16384,16383,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.445003,0.460597,0.460608,0.465440,0.435629,0.435616,0.438464,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,float16,64,16384,16383,false,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.441488,0.460195,0.459872,0.468256,0.434471,0.434432,0.436384,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,float16,128,8192,8191,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.445781,0.464256,0.464192,0.470144,0.439741,0.439584,0.442688,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,float16,128,8192,8191,false,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.448576,0.465536,0.466432,0.471168,0.438251,0.438080,0.440864,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,float16,128,9001,9000,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.488960,0.506274,0.505952,0.515648,0.481837,0.481504,0.487744,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,float16,128,9001,9000,false,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.490000,0.504707,0.504192,0.511008,0.480248,0.480192,0.483264,true,20,200,true,false,cuda:0,false,false,No-Go
phase397o_mla_recollect,8,16,float16,128,16384,16383,true,FlashAttnMLAImpl,forward_mqa,vllm_flash_attn_mla,0.868379,0.892827,0.892576,0.902208,0.866340,0.866368,0.871520,true,20,200,true,false,cuda:0,false,false,No-Go
