source,row_type,config,local_num_heads,tp_size,kv_cache_dtype,batch_size,target_seq_len,randomize_blocks,target_backend,kernel_source,eager6_ms,eager200_p50_ms,graph_p50_ms,serve_attention_ms,serve_per_layer_ms,graph_over_serve,graph_over_eager6,randomize_false_over_true,candidate,verdict,evidence,next_allowed_phase,runtime_modified,write_real_data_file,gate_modified,diagnostic_only,valid_for_default,perf_database,default_readiness
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,64,8192,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.233125,0.251520,0.225152,16.898100,0.277018,0.812770,0.965799,0.999290,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,64,8192,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.232485,0.251968,0.225312,16.898100,0.277018,0.813348,0.969146,0.999290,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,64,9001,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.252789,0.269984,0.245760,16.898100,0.277018,0.887162,0.972194,0.998051,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,64,9001,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.253925,0.272320,0.246240,16.898100,0.277018,0.888895,0.969735,0.998051,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,64,16384,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.441488,0.459872,0.434432,16.898100,0.277018,1.568244,0.984018,0.997282,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,64,16384,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.445003,0.460608,0.435616,16.898100,0.277018,1.572519,0.978906,0.997282,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,128,8192,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.448576,0.466432,0.438080,16.898100,0.277018,1.581413,0.976602,0.996579,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,128,8192,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.445781,0.464192,0.439584,16.898100,0.277018,1.586843,0.986099,0.996579,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,128,9001,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.490000,0.504192,0.480192,16.898100,0.277018,1.733432,0.979984,0.997275,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,128,9001,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.488960,0.505952,0.481504,16.898100,0.277018,1.738168,0.984751,0.997275,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,128,16384,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.869605,0.888352,0.862976,16.898100,0.277018,3.115234,0.992377,0.996085,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,float16,128,16384,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.868379,0.892576,0.866368,16.898100,0.277018,3.127479,0.997684,0.996085,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
