-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                       _vllm_fa3_C::fwd         2.51%      55.835us        73.70%       1.637ms     545.760us     733.534us       100.00%     979.741us     326.580us             3
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     723.359us        98.61%     723.359us     241.120us             3
                                Activity Buffer Request        67.65%       1.503ms        67.65%       1.503ms       1.503ms     246.207us        33.56%     246.207us     246.207us             1
void cutlass::device_kernel<flash::FlashAttnFwdCombi...         0.00%       0.000us         0.00%       0.000us       0.000us      10.175us         1.39%      10.175us       3.392us             3
                                 aten::split_with_sizes         1.06%      23.655us         1.33%      29.566us       9.855us       0.000us         0.00%       0.000us       0.000us             3
                                       aten::as_strided         0.47%      10.348us         0.47%      10.348us       0.575us       0.000us         0.00%       0.000us       0.000us            18
                                            aten::slice         0.43%       9.455us         0.49%      10.994us       1.832us       0.000us         0.00%       0.000us       0.000us             6
                                        aten::unsqueeze         0.45%       9.954us         0.58%      12.852us       2.142us       0.000us         0.00%       0.000us       0.000us             6
                                       aten::empty_like         0.43%       9.624us         1.09%      24.313us       8.104us       0.000us         0.00%       0.000us       0.000us             3
                                    aten::empty_strided         0.66%      14.689us         0.66%      14.689us       4.896us       0.000us         0.00%       0.000us       0.000us             3
                                            aten::empty         1.22%      27.136us         1.22%      27.136us       2.261us       0.000us         0.00%       0.000us       0.000us            12
                                   cudaFuncSetAttribute         0.20%       4.529us         0.20%       4.529us       1.510us       0.000us         0.00%       0.000us       0.000us             3
                                       cudaLaunchKernel         1.55%      34.502us         1.55%      34.502us      11.501us       0.000us         0.00%       0.000us       0.000us             3
                                    cudaLaunchKernelExC         0.55%      12.289us         0.55%      12.289us       4.096us       0.000us         0.00%       0.000us       0.000us             3
                                  cudaDeviceSynchronize        22.80%     506.621us        22.80%     506.621us     506.621us       0.000us         0.00%       0.000us       0.000us             1
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 2.222ms
Self CUDA time total: 733.534us
