source,row_type,rank,verdict,evidence,kernel_name,serve_cuda_total_us,serve_us_per_call,serve_mean_us_per_call,serve_spread_pct,calls_per_rank,ranks,inferred_decode_steps,serve_ms_per_layer,phase397l_anchor_ms_per_layer,phase397s_microbench_ms_per_layer,microbench_over_serve_anchor,collector_hidden_m_source,collector_effective_m,collector_uses_expert_map,collector_direct_fused_marlin_moe,vllm_batched_experts_path,vllm_standard_experts_path,vllm_align_ignore_invalid_experts,vllm_block_size_candidates,vllm_source_basis,mechanism,mechanism_rank,prediction,decision,gpu_allowed_next,write_moe_perf,runtime_modified,gate_modified,diagnostic_only,valid_for_default,perf_database,default_readiness,next_allowed_phase
phase397t_moe_marlin_forensics,serve_marlin_rank,0,serve_marlin_rank_observed,Phase397l profiler row for marlin_moe_wna16::Marlin.,"void marlin_moe_wna16::Marlin<1125899906909960l, 112...",203185.000000,65.165000,,,3118,,,,,,,,,,,,,,,,,,,,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,serve_marlin_rank,1,serve_marlin_rank_observed,Phase397l profiler row for marlin_moe_wna16::Marlin.,"void marlin_moe_wna16::Marlin<1125899906909960l, 112...",206711.000000,66.296000,,,3118,,,,,,,,,,,,,,,,,,,,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,serve_marlin_rank,2,serve_marlin_rank_observed,Phase397l profiler row for marlin_moe_wna16::Marlin.,"void marlin_moe_wna16::Marlin<1125899906909960l, 112...",207932.000000,66.688000,,,3118,,,,,,,,,,,,,,,,,,,,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,serve_marlin_rank,3,serve_marlin_rank_observed,Phase397l profiler row for marlin_moe_wna16::Marlin.,"void marlin_moe_wna16::Marlin<1125899906909960l, 112...",196508.000000,63.024000,,,3118,,,,,,,,,,,,,,,,,,,,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,serve_marlin_rank,4,serve_marlin_rank_observed,Phase397l profiler row for marlin_moe_wna16::Marlin.,"void marlin_moe_wna16::Marlin<1125899906909960l, 112...",198875.000000,63.783000,,,3118,,,,,,,,,,,,,,,,,,,,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,serve_marlin_rank,5,serve_marlin_rank_observed,Phase397l profiler row for marlin_moe_wna16::Marlin.,"void marlin_moe_wna16::Marlin<1125899906909960l, 112...",191112.000000,61.293000,,,3118,,,,,,,,,,,,,,,,,,,,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,serve_marlin_rank,6,serve_marlin_rank_observed,Phase397l profiler row for marlin_moe_wna16::Marlin.,"void marlin_moe_wna16::Marlin<1125899906909960l, 112...",194684.000000,62.439000,,,3118,,,,,,,,,,,,,,,,,,,,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,serve_marlin_rank,7,serve_marlin_rank_observed,Phase397l profiler row for marlin_moe_wna16::Marlin.,"void marlin_moe_wna16::Marlin<1125899906909960l, 112...",205019.000000,65.753000,,,3118,,,,,,,,,,,,,,,,,,,,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,serve_marlin_summary,,serve_marlin_anchor_confirmed,"Serve trace shows one marlin_moe_wna16 kernel family, about two GEMM calls per MoE layer per decode step.",,,,64.305125,8.389689,3118,8,26,0.128610,0.133668,0.470627,3.520859,,,,,,,,,,,,,,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,collector_static_path,,collector_passes_full_m_with_expert_map,Collector calls fused_marlin_moe directly with hidden_states sliced by topk row count and relies on expert_map to ignore non-local experts.,,,,,,,,,,,,,hidden_states[:tw.shape[0]],128,true,true,,,,,,,,,,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,vllm_static_path,,serve_path_has_standard_and_batched_experts,vLLM 0.19.0 WNA16 Marlin can choose BatchedMarlinExperts for BatchedExperts activation format; fused_marlin_moe aligns with ignore_invalid_experts=True.,,,,,,,,,,,,,,,,,true,true,true,8/16/32/48/64,vLLM 0.19.0 fused_marlin_moe.py and compressed_tensors_moe.py read on H200 runtime,,,,,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,mechanism_rank_1,,mechanism_ranked,Mechanism ranking before H200 reproduction gate.,,,,,,,,,,,,,,,,,,,,,,activation_format_or_effective_m_mismatch,1,"If serve uses BatchedExperts or smaller effective per-rank M, a collector variant that feeds the same effective M should approach the 0.1337 ms/layer anchor.",test_on_h200,true,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,mechanism_rank_2,,mechanism_ranked,Mechanism ranking before H200 reproduction gate.,,,,,,,,,,,,,,,,,,,,,,marlin_block_size_or_template_selection,2,"If M and topk change the selected block_size/template, instrumentation should show a different block_size_m or Marlin template for serve-like inputs.",test_on_h200,true,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,mechanism_rank_3,,mechanism_ranked,Mechanism ranking before H200 reproduction gate.,,,,,,,,,,,,,,,,,,,,,,route_distribution_only,3,"Phase397s already tested power_law, balanced, and power_law_eplb; all stayed far above the anchor.",ruled_out_by_phase397s,false,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
phase397t_moe_marlin_forensics,decision,,h200_mechanism_gate_required_before_table_write,Do not retire k or write moe_perf until a no-k structured collector variant reaches 0.1337 ms/layer +/-15%.,,,,,,,,,,,,,,,,,,,,,,activation_format_or_effective_m_mismatch,,,run_phase397t_h200_gate,true,false,false,false,true,false,false,No-Go,phase397t_h200_marlin_mechanism_gate
