source,row_type,scenario,tier,category,tp,dp,ep,isl,osl,batch_size,max_num_batched_tokens,real_output_tok_s_gpu,sim_output_tok_s_gpu,throughput_ratio_sim_over_real,error_ratio,direction,throughput_source,sim_modeled_ms_per_iter,sim_generation_ms_per_iter,sim_mix_modeled_ms_per_step,sim_category_ms_per_iter,sim_category_pct,sim_generation_category_ms,real_decode_category_ms,latency_ratio_sim_over_real,latency_direction,context_attention_excluded_ms_per_mix_step,context_attention_excluded_ms_per_iter,num_mix_steps,num_genonly_steps,real_per_op_available,verdict,runtime_modified,write_real_data_file,gate_modified,gpu_allowed,ssh_allowed,diagnostic_only,valid_for_default,perf_database,default_readiness
phase397x_multi_config_attribution,scenario_summary,K2.5-tp8ep8-8k2k,A,,8,1,8,8000,2000,128,8000,133.528000,292.900147,2.193549,2.193549,sim_overpredicts_throughput,cb_sim,57.153043,50.600643,152.981890,,,,,,,18.480048,1.182723,128.000000,1872.000000,true,active_gate_failed,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,sim_category,K2.5-tp8ep8-8k2k,A,attention,8,1,8,8000,2000,128,8000,,,,,,,57.153043,50.600643,152.981890,29.850081,52.228332,,,,,,,,,true,sim_internal_cost_structure,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,sim_category,K2.5-tp8ep8-8k2k,A,comm,8,1,8,8000,2000,128,8000,,,,,,,57.153043,50.600643,152.981890,10.775631,18.853994,,,,,,,,,true,sim_internal_cost_structure,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,sim_category,K2.5-tp8ep8-8k2k,A,gemm,8,1,8,8000,2000,128,8000,,,,,,,57.153043,50.600643,152.981890,5.870348,10.271278,,,,,,,,,true,sim_internal_cost_structure,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,sim_category,K2.5-tp8ep8-8k2k,A,moe,8,1,8,8000,2000,128,8000,,,,,,,57.153043,50.600643,152.981890,8.862219,15.506119,,,,,,,,,true,sim_internal_cost_structure,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,sim_category,K2.5-tp8ep8-8k2k,A,other,8,1,8,8000,2000,128,8000,,,,,,,57.153043,50.600643,152.981890,1.794764,3.140277,,,,,,,,,true,sim_internal_cost_structure,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,sim_category,K2.5-tp8ep8-8k2k,A,overhead,8,1,8,8000,2000,128,8000,,,,,,,57.153043,50.600643,152.981890,0.000000,0.000000,,,,,,,,,true,sim_internal_cost_structure,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,sim_category,K2.5-tp8ep8-8k2k,A,overlap,8,1,8,8000,2000,128,8000,,,,,,,57.153043,50.600643,152.981890,0.000000,0.000000,,,,,,,,,true,sim_internal_cost_structure,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,tier_a_real_compare,K2.5-tp8ep8-8k2k,A,attention,8,1,8,8000,2000,128,8000,,,,,,,,,,,,31.891112,16.898100,1.887260,sim_overcharges_latency,,,,,true,decode_real_per_op_compare_only_not_full_request,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,tier_a_real_compare,K2.5-tp8ep8-8k2k,A,comm,8,1,8,8000,2000,128,8000,,,,,,,,,,,,6.397416,6.181000,1.035013,sim_overcharges_latency,,,,,true,decode_real_per_op_compare_only_not_full_request,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,tier_a_real_compare,K2.5-tp8ep8-8k2k,A,gemm,8,1,8,8000,2000,128,8000,,,,,,,,,,,,2.865692,4.041700,0.709031,sim_undercharges_latency,,,,,true,decode_real_per_op_compare_only_not_full_request,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,tier_a_real_compare,K2.5-tp8ep8-8k2k,A,moe,8,1,8,8000,2000,128,8000,,,,,,,,,,,,8.661101,9.529400,0.908882,sim_undercharges_latency,,,,,true,decode_real_per_op_compare_only_not_full_request,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,tier_a_real_compare,K2.5-tp8ep8-8k2k,A,other,8,1,8,8000,2000,128,8000,,,,,,,,,,,,0.785322,2.735300,0.287106,sim_undercharges_latency,,,,,true,decode_real_per_op_compare_only_not_full_request,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,tier_a_real_compare,K2.5-tp8ep8-8k2k,A,overhead,8,1,8,8000,2000,128,8000,,,,,,,,,,,,0.000000,0.000000,,missing_real,,,,,true,decode_real_per_op_compare_only_not_full_request,false,false,false,false,false,true,false,false,No-Go
phase397x_multi_config_attribution,tier_a_real_compare,K2.5-tp8ep8-8k2k,A,overlap,8,1,8,8000,2000,128,8000,,,,,,,,,,,,0.000000,0.000000,,missing_real,,,,,true,decode_real_per_op_compare_only_not_full_request,false,false,false,false,false,true,false,false,No-Go
