source,row_type,scenario,artifact_dir,component,sim_ms,sim_mean_ms,roofline_lower_bound_ms,roofline_gap_ms,roofline_status,component_gap_share,phase414_prefill_gap_ms,phase414_decode_gap_ms,target_missing_ms,reconstructed_missing_ms,reconstruction_error_pct,consistency_gate,prefill_step_count,mechanism_verdict,phase416_target,phase405_penalty_read,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase415_prefill_charge_components,mixed_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,decode_mla_attention,2296.278253,6.916501,0.000000,0.000000,ok,0.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,mixed_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,ep_dispatch_combine,45321.825620,136.511523,162459.374933,117137.549313,below_roofline,0.466776,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,mixed_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,gemm_other,84877.285210,255.654474,0.000000,0.000000,ok,0.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,mixed_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,moe_compute,17498.563759,52.706517,151311.328892,133812.765133,below_roofline,0.533224,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,mixed_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,other,20434.312776,61.549135,0.000000,0.000000,ok,0.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,mixed_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,prefill_mla_attention,133470.333539,402.019077,107305.513653,0.000000,ok,0.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,mixed_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,tp_comm,80440.380936,242.290304,20645.878898,0.000000,ok,0.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,decode_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,decode_ep_dispatch_combine,2.445050,2.445050,0.000000,0.000000,not_checked_fixed_gap_candidate,0.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,decode_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,decode_gemm_other,3.601032,3.601032,0.000000,0.000000,not_checked_fixed_gap_candidate,0.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,decode_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,decode_mla_attention,8.951647,8.951647,0.000000,0.000000,not_checked_fixed_gap_candidate,0.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,decode_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,decode_moe_compute,3.055296,3.055296,0.000000,0.000000,not_checked_fixed_gap_candidate,0.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,decode_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,decode_other,0.568870,0.568870,0.000000,0.000000,not_checked_fixed_gap_candidate,0.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,decode_component,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,decode_tp_comm,0.717473,0.717473,0.000000,0.000000,not_checked_fixed_gap_candidate,0.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
phase415_prefill_charge_components,summary,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase412_arrival_sweep/K2.5-tp4ep8dp2-32k3k,summary,384358.319460,1157.647530,441722.096376,250950.314446,below_roofline,1.000000,1182414.663744,39.343076,1244249.221128,1182454.006820,4.966466,passed,332,moe_compute_undercharged,audit_moe_compute_prefill_charge,false,false,false,false,false,false,true,No-Go
