source,row_type,scenario,tp,dp,ep,max_bt,real_output_tok_s_gpu,phase421_sim_tok_s_gpu,phase422_sim_tok_s_gpu,phase421_error_ratio,phase422_error_ratio,error_ratio_delta,classification,kv_cache_tokens,block_size,num_gpu_blocks,max_num_seqs,full_sequence_capacity_per_engine,serve_log,serve_log_lines,override_num_gpu_blocks,override_lines,configured_max_num_batched_tokens,budget_full_prefill_reqs,initial_prefill_reqs,initial_prefill_tokens,representative_step_ms,moe_query_path,ep_query_path,capacity_classification,trace_status,capacity_verdict,mechanism_verdict,next_phase_target,phase405_penalty_read,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase422_dp2_capacity_fix,config,K2.5-tp4ep8dp2-32k3k,4,2,8,32000,53.277429,92.387868,92.387868,1.734090,1.734090,0.000000,unchanged,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,No-Go
phase422_dp2_capacity_fix,config,K2.5-tp4ep8dp2-8k2k,4,2,8,8000,137.716000,351.608074,351.608074,2.553139,2.553139,0.000000,unchanged,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,No-Go
phase422_dp2_capacity_fix,config,K2.5-tp4ep8dp2-8k2k-bt65536,4,2,8,65536,155.952000,27.638441,27.638441,5.642576,5.642576,0.000000,unchanged,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,No-Go
phase422_dp2_capacity_fix,config,K2.5-tp8ep8-32k3k,8,1,8,32000,52.469143,56.078752,56.078752,1.068795,1.068795,0.000000,unchanged,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,No-Go
phase422_dp2_capacity_fix,config,K2.5-tp8ep8-8k2k,8,1,8,8000,133.528000,166.971525,166.971525,1.250461,1.250461,0.000000,unchanged,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,No-Go
phase422_dp2_capacity_fix,config,K2.5-tp8ep8-8k2k-bt65536,8,1,8,65536,138.470000,155.069882,155.069882,1.119881,1.119881,0.000000,unchanged,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,No-Go
phase422_dp2_capacity_fix,capacity,K2.5-tp8ep8-8k2k-bt65536,8,1,8,65536,,,,,,,,343552,16,21472,256,34.355200,docs/iter_gap_investigation/phase397k_measured_0190/K2.5-tp8ep8-8k2k-bt65536/serve.log,195,512,154;155;156;160;161;164;166;167,,,,,,,,,,bt65536_reference_capacity_truth,,,false,false,false,false,false,false,true,No-Go
phase422_dp2_capacity_fix,capacity,K2.5-tp4ep8dp2-8k2k-bt65536,4,2,8,65536,,,,,,,,25744,16,1609,128,2.574400,docs/iter_gap_investigation/phase397k_measured_0190/K2.5-tp4ep8dp2-8k2k-bt65536/serve.log,200;210,256,163;165;167;169;171;173;175;177,,,,,,,,,,retry5e_dirty_capacity_truth,,,false,false,false,false,false,false,true,No-Go
phase422_dp2_capacity_fix,trace,K2.5-tp8ep8-8k2k-bt65536,8,1,8,65536,138.470000,,155.069882,,1.119881,,,,,21472,,34.355200,,,,,65536,8,9,65536,1100.792278,phase397v_sol_out_of_coverage,ep8_alltoall_fallback,reference_dirty_capacity,tp8_reaches_64k_step,,,,false,false,false,false,false,false,true,No-Go
phase422_dp2_capacity_fix,trace,K2.5-tp4ep8dp2-8k2k-bt65536,4,2,8,65536,155.952000,,27.638441,,5.642576,,,,,1609,,2.574400,,,,,65536,8,3,24000,650.457530,moe_perf_lookup,ep8_alltoall_fallback,dirty_capacity_conflict,real_capacity_blocks_64k_step,,,,false,false,false,false,false,false,true,No-Go
phase422_dp2_capacity_fix,summary,all_multi_config,,,,,,,,5.642576,5.642576,,,,,,,,,,,,,,,,,,,,,,dp2_bt65536_capacity_truth_is_dirty_reference_not_fixable_by_wiring,phase423_recollect_or_remove_dp2_bt65536_dirty_reference_before_large_step_cost,false,false,false,false,false,false,true,No-Go
