source,row_type,scenario,artifact_dir,decode_avg_kv_len,steady_target_penalty,steady_metric_penalty,steady_penalty_error_pct,steady_consistency_gate,validation_steady_penalty,validation_baseline_penalty,steady_window_start_ms,steady_window_end_ms,steady_window_wall_ms,prefill_wall_ms,peer_stall_extra_ms,clean_decode_wall_ms,clean_decode_gap_ms,prefill_attribution_share,peer_stall_attribution_share,decode_gap_attribution_share,intrinsic_decode_ms,decode_only_step_count,clean_decode_step_count,peer_stalled_decode_step_count,decode_batch_mean,decode_batch_p50,decode_batch_p90,real_decode_ms_mean,sim_decode_ms_mean,real_sim_decode_latency_ratio,decode_gap_ms_mean,decode_gap_ms_min,decode_gap_ms_max,decode_gap_ms_span,decode_gap_ms_slope_per_request,decode_gap_shape,ep_floor_us_min,ep_floor_us_max,ep_floor_ms_min,ep_floor_ms_max,ep_floor_covers_decode_gap,ep_floor_source,after_decode_fix_remaining_share,after_prefill_fix_remaining_share,after_prefill_decode_fix_remaining_share,phase413_32k_steady_penalty,phase413_32k_prefill_share,phase413_32k_peer_stall_share,phase413_32k_decode_gap_share,phase413_32k_verdict,decode_batch,decode_batch_step_count,decode_batch_real_ms_mean,decode_batch_sim_ms,decode_batch_gap_ms,mechanism_verdict,phase427_target,phase405_penalty_read,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase426_8k2k_steady_decompose,summary,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,1.516977,1.516977,0.000014,passed,1.961257,2.553139,76440.970898,700288.103104,623847.132206,244454.830000,19314.870000,379392.302206,146761.520489,0.595460,0.047048,0.357492,34.950000,17717,17608,77,50.204041,50,54.000000,42.849884,26.355661,1.630877,16.494223,7.404402,909.992915,902.588513,-1.603929,batch_scaled_gap,50.000000,70.000000,6.000000,8.400000,false,vllm_0.19_allgather_reducescatter_AgRsAll2AllManager,0.642508,0.404540,0.047048,1.357625,0.647177,0.000299,0.352524,prefill_occupancy_dominates,,,,,,prefill_dominant_with_decode_gap_secondary,audit_prefill_occupancy_then_decode_gap,false,false,false,false,false,false,true,No-Go
phase426_8k2k_steady_decompose,decode_batch,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,1.516977,1.516977,0.000014,passed,1.961257,2.553139,76440.970898,700288.103104,623847.132206,244454.830000,19314.870000,379392.302206,146761.520489,0.595460,0.047048,0.357492,34.950000,17717,17608,77,50.204041,50,54.000000,42.849884,26.355661,1.630877,16.494223,7.404402,909.992915,902.588513,-1.603929,batch_scaled_gap,50.000000,70.000000,6.000000,8.400000,false,vllm_0.19_allgather_reducescatter_AgRsAll2AllManager,0.642508,0.404540,0.047048,1.357625,0.647177,0.000299,0.352524,prefill_occupancy_dominates,43,5,934.648000,24.655085,909.992915,prefill_dominant_with_decode_gap_secondary,audit_prefill_occupancy_then_decode_gap,false,false,false,false,false,false,true,No-Go
phase426_8k2k_steady_decompose,decode_batch,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,1.516977,1.516977,0.000014,passed,1.961257,2.553139,76440.970898,700288.103104,623847.132206,244454.830000,19314.870000,379392.302206,146761.520489,0.595460,0.047048,0.357492,34.950000,17717,17608,77,50.204041,50,54.000000,42.849884,26.355661,1.630877,16.494223,7.404402,909.992915,902.588513,-1.603929,batch_scaled_gap,50.000000,70.000000,6.000000,8.400000,false,vllm_0.19_allgather_reducescatter_AgRsAll2AllManager,0.642508,0.404540,0.047048,1.357625,0.647177,0.000299,0.352524,prefill_occupancy_dominates,44,31,649.728065,24.907509,624.820556,prefill_dominant_with_decode_gap_secondary,audit_prefill_occupancy_then_decode_gap,false,false,false,false,false,false,true,No-Go
phase426_8k2k_steady_decompose,decode_batch,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,1.516977,1.516977,0.000014,passed,1.961257,2.553139,76440.970898,700288.103104,623847.132206,244454.830000,19314.870000,379392.302206,146761.520489,0.595460,0.047048,0.357492,34.950000,17717,17608,77,50.204041,50,54.000000,42.849884,26.355661,1.630877,16.494223,7.404402,909.992915,902.588513,-1.603929,batch_scaled_gap,50.000000,70.000000,6.000000,8.400000,false,vllm_0.19_allgather_reducescatter_AgRsAll2AllManager,0.642508,0.404540,0.047048,1.357625,0.647177,0.000299,0.352524,prefill_occupancy_dominates,45,160,70.268563,25.144386,45.124177,prefill_dominant_with_decode_gap_secondary,audit_prefill_occupancy_then_decode_gap,false,false,false,false,false,false,true,No-Go
phase426_8k2k_steady_decompose,decode_batch,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,1.516977,1.516977,0.000014,passed,1.961257,2.553139,76440.970898,700288.103104,623847.132206,244454.830000,19314.870000,379392.302206,146761.520489,0.595460,0.047048,0.357492,34.950000,17717,17608,77,50.204041,50,54.000000,42.849884,26.355661,1.630877,16.494223,7.404402,909.992915,902.588513,-1.603929,batch_scaled_gap,50.000000,70.000000,6.000000,8.400000,false,vllm_0.19_allgather_reducescatter_AgRsAll2AllManager,0.642508,0.404540,0.047048,1.357625,0.647177,0.000299,0.352524,prefill_occupancy_dominates,46,1679,43.182644,25.381263,17.801382,prefill_dominant_with_decode_gap_secondary,audit_prefill_occupancy_then_decode_gap,false,false,false,false,false,false,true,No-Go
phase426_8k2k_steady_decompose,decode_batch,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,1.516977,1.516977,0.000014,passed,1.961257,2.553139,76440.970898,700288.103104,623847.132206,244454.830000,19314.870000,379392.302206,146761.520489,0.595460,0.047048,0.357492,34.950000,17717,17608,77,50.204041,50,54.000000,42.849884,26.355661,1.630877,16.494223,7.404402,909.992915,902.588513,-1.603929,batch_scaled_gap,50.000000,70.000000,6.000000,8.400000,false,vllm_0.19_allgather_reducescatter_AgRsAll2AllManager,0.642508,0.404540,0.047048,1.357625,0.647177,0.000299,0.352524,prefill_occupancy_dominates,47,1662,39.581486,25.618140,13.963346,prefill_dominant_with_decode_gap_secondary,audit_prefill_occupancy_then_decode_gap,false,false,false,false,false,false,true,No-Go
phase426_8k2k_steady_decompose,decode_batch,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,1.516977,1.516977,0.000014,passed,1.961257,2.553139,76440.970898,700288.103104,623847.132206,244454.830000,19314.870000,379392.302206,146761.520489,0.595460,0.047048,0.357492,34.950000,17717,17608,77,50.204041,50,54.000000,42.849884,26.355661,1.630877,16.494223,7.404402,909.992915,902.588513,-1.603929,batch_scaled_gap,50.000000,70.000000,6.000000,8.400000,false,vllm_0.19_allgather_reducescatter_AgRsAll2AllManager,0.642508,0.404540,0.047048,1.357625,0.647177,0.000299,0.352524,prefill_occupancy_dominates,48,2818,38.953314,25.870563,13.082751,prefill_dominant_with_decode_gap_secondary,audit_prefill_occupancy_then_decode_gap,false,false,false,false,false,false,true,No-Go
phase426_8k2k_steady_decompose,decode_batch,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,1.516977,1.516977,0.000014,passed,1.961257,2.553139,76440.970898,700288.103104,623847.132206,244454.830000,19314.870000,379392.302206,146761.520489,0.595460,0.047048,0.357492,34.950000,17717,17608,77,50.204041,50,54.000000,42.849884,26.355661,1.630877,16.494223,7.404402,909.992915,902.588513,-1.603929,batch_scaled_gap,50.000000,70.000000,6.000000,8.400000,false,vllm_0.19_allgather_reducescatter_AgRsAll2AllManager,0.642508,0.404540,0.047048,1.357625,0.647177,0.000299,0.352524,prefill_occupancy_dominates,49,1743,44.016816,26.092939,17.923877,prefill_dominant_with_decode_gap_secondary,audit_prefill_occupancy_then_decode_gap,false,false,false,false,false,false,true,No-Go
phase426_8k2k_steady_decompose,decode_batch,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,1.516977,1.516977,0.000014,passed,1.961257,2.553139,76440.970898,700288.103104,623847.132206,244454.830000,19314.870000,379392.302206,146761.520489,0.595460,0.047048,0.357492,34.950000,17717,17608,77,50.204041,50,54.000000,42.849884,26.355661,1.630877,16.494223,7.404402,909.992915,902.588513,-1.603929,batch_scaled_gap,50.000000,70.000000,6.000000,8.400000,false,vllm_0.19_allgather_reducescatter_AgRsAll2AllManager,0.642508,0.404540,0.047048,1.357625,0.647177,0.000299,0.352524,prefill_occupancy_dominates,50,1736,44.830127,26.315314,18.514813,prefill_dominant_with_decode_gap_secondary,audit_prefill_occupancy_then_decode_gap,false,false,false,false,false,false,true,No-Go
phase426_8k2k_steady_decompose,decode_batch,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,1.516977,1.516977,0.000014,passed,1.961257,2.553139,76440.970898,700288.103104,623847.132206,244454.830000,19314.870000,379392.302206,146761.520489,0.595460,0.047048,0.357492,34.950000,17717,17608,77,50.204041,50,54.000000,42.849884,26.355661,1.630877,16.494223,7.404402,909.992915,902.588513,-1.603929,batch_scaled_gap,50.000000,70.000000,6.000000,8.400000,false,vllm_0.19_allgather_reducescatter_AgRsAll2AllManager,0.642508,0.404540,0.047048,1.357625,0.647177,0.000299,0.352524,prefill_occupancy_dominates,51,1613,41.723063,26.537690,15.185373,prefill_dominant_with_decode_gap_secondary,audit_prefill_occupancy_then_decode_gap,false,false,false,false,false,false,true,No-Go
