source,row_type,scenario,artifact_dir,window,rank,category,kernel_name,cuda_total_ms,cuda_time_avg_us,calls,category_cuda_ms,category_share_of_self_cuda,profiler_step_wall_ms,self_cuda_total_ms,unattributed_or_bubble_ms,phase426_steady_metric_penalty,phase426_prefill_share,phase426_decode_gap_share,phase426_peer_stall_share,phase415_decode_ep_dispatch_combine_ms,reconstruction_error_pct,reconstruction_gate,prefill_verdict,decode_verdict,mechanism_verdict,phase428_target,phase405_penalty_read,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase427_kernel_profile,summary,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,,,,,,,,,,,,,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,decode_mla_attention_dominates,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,,dense_gemm,,,,,1480.100000,0.149143,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,,ep_a2a,,,,,2141.367000,0.215777,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,,memcpy_memset,,,,,44.953137,0.004530,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,,mla_attention,,,,,3293.870530,0.331910,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,,moe_gemm_or_aux,,,,,2123.602000,0.213986,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,,other_cuda,,,,,772.484674,0.077840,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,,tp_or_dp_allreduce,,,,,245.376372,0.024726,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,cuda_graph_envelope,execute_context_0(0)_generation_56(56),3467.000000,550.346000,6300,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
phase427_kernel_profile,kernel,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,mixed,0,mla_attention,void cutlass::device_kernel<flash::enable_sm90_or_la...,394.578000,180.420000,2187,,,146.075000,9924.000000,0.000000,1.516977,0.595460,0.357492,0.047048,0.031093,0.000000,passed,mixed_mla_attention_dominates,,kernel_profile_collected_prefill_and_decode,classify_prefill_execution_and_decode_slope_from_kernel_profile,false,true,true,false,false,false,true,No-Go
