source,row_type,scenario,artifact_dir,window,trace_file,step_index,step_type,decode_batch,category,real_wall_ms_per_rank,real_cuda_ms_per_rank,bubble_ms_per_rank,bubble_share,sim_ms_per_step,real_sim_ratio,real_slope_ms_per_request,sim_slope_ms_per_request,real_sim_slope_ratio,phase426_steady_metric_penalty,phase426_prefill_share,phase426_decode_gap_share,phase426_peer_stall_share,phase428_reconstruction_error_pct,phase428_reconstruction_gate,prefill_step_count,decode_step_count,prefill_verdict,decode_verdict,mechanism_verdict,phase429_runtime_target,phase429_perfdb_target,phase405_penalty_read,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase428_perstep_kernel_attrib,summary,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,,,,,,,,,,,,,,,,1.516977,0.595460,0.357492,0.047048,,blocked_prefill_not_captured,0,70,prefill_steps_not_captured,decode_batch_span_too_narrow_for_slope,phase427_trace_decode_only_prefill_recollect_required,recollect_true_mixed_prefill_window_before_runtime_change,recollect_decode_batch_sweep_then_reprofile_prefill,false,false,false,false,false,false,true,No-Go
phase428_perstep_kernel_attrib,step,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,decode,,0,decode_only,51,,34.738357,,0.020216,0.000582,,,,,,1.516977,0.595460,0.357492,0.047048,,blocked_prefill_not_captured,0,70,prefill_steps_not_captured,decode_batch_span_too_narrow_for_slope,phase427_trace_decode_only_prefill_recollect_required,recollect_true_mixed_prefill_window_before_runtime_change,recollect_decode_batch_sweep_then_reprofile_prefill,false,false,false,false,false,false,true,No-Go
phase428_perstep_kernel_attrib,step_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,decode,,0,decode_only,51,dense_gemm,34.738357,4.309431,0.020216,0.000582,,,,,,1.516977,0.595460,0.357492,0.047048,,blocked_prefill_not_captured,0,70,prefill_steps_not_captured,decode_batch_span_too_narrow_for_slope,phase427_trace_decode_only_prefill_recollect_required,recollect_true_mixed_prefill_window_before_runtime_change,recollect_decode_batch_sweep_then_reprofile_prefill,false,false,false,false,false,false,true,No-Go
phase428_perstep_kernel_attrib,step_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,decode,,0,decode_only,51,ep_a2a,34.738357,6.311978,0.020216,0.000582,,,,,,1.516977,0.595460,0.357492,0.047048,,blocked_prefill_not_captured,0,70,prefill_steps_not_captured,decode_batch_span_too_narrow_for_slope,phase427_trace_decode_only_prefill_recollect_required,recollect_true_mixed_prefill_window_before_runtime_change,recollect_decode_batch_sweep_then_reprofile_prefill,false,false,false,false,false,false,true,No-Go
phase428_perstep_kernel_attrib,step_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,decode,,0,decode_only,51,memcpy_memset,34.738357,0.170960,0.020216,0.000582,,,,,,1.516977,0.595460,0.357492,0.047048,,blocked_prefill_not_captured,0,70,prefill_steps_not_captured,decode_batch_span_too_narrow_for_slope,phase427_trace_decode_only_prefill_recollect_required,recollect_true_mixed_prefill_window_before_runtime_change,recollect_decode_batch_sweep_then_reprofile_prefill,false,false,false,false,false,false,true,No-Go
phase428_perstep_kernel_attrib,step_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,decode,,0,decode_only,51,mla_attention,34.738357,10.454801,0.020216,0.000582,,,,,,1.516977,0.595460,0.357492,0.047048,,blocked_prefill_not_captured,0,70,prefill_steps_not_captured,decode_batch_span_too_narrow_for_slope,phase427_trace_decode_only_prefill_recollect_required,recollect_true_mixed_prefill_window_before_runtime_change,recollect_decode_batch_sweep_then_reprofile_prefill,false,false,false,false,false,false,true,No-Go
phase428_perstep_kernel_attrib,step_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,decode,,0,decode_only,51,moe_gemm_or_aux,34.738357,10.851009,0.020216,0.000582,,,,,,1.516977,0.595460,0.357492,0.047048,,blocked_prefill_not_captured,0,70,prefill_steps_not_captured,decode_batch_span_too_narrow_for_slope,phase427_trace_decode_only_prefill_recollect_required,recollect_true_mixed_prefill_window_before_runtime_change,recollect_decode_batch_sweep_then_reprofile_prefill,false,false,false,false,false,false,true,No-Go
phase428_perstep_kernel_attrib,step_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,decode,,0,decode_only,51,other_cuda,34.738357,2.009334,0.020216,0.000582,,,,,,1.516977,0.595460,0.357492,0.047048,,blocked_prefill_not_captured,0,70,prefill_steps_not_captured,decode_batch_span_too_narrow_for_slope,phase427_trace_decode_only_prefill_recollect_required,recollect_true_mixed_prefill_window_before_runtime_change,recollect_decode_batch_sweep_then_reprofile_prefill,false,false,false,false,false,false,true,No-Go
phase428_perstep_kernel_attrib,step_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,decode,,0,decode_only,51,tp_or_dp_allreduce,34.738357,0.702693,0.020216,0.000582,,,,,,1.516977,0.595460,0.357492,0.047048,,blocked_prefill_not_captured,0,70,prefill_steps_not_captured,decode_batch_span_too_narrow_for_slope,phase427_trace_decode_only_prefill_recollect_required,recollect_true_mixed_prefill_window_before_runtime_change,recollect_decode_batch_sweep_then_reprofile_prefill,false,false,false,false,false,false,true,No-Go
phase428_perstep_kernel_attrib,step,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase427_kernel_profile/K2.5-tp4ep8dp2-8k2k,decode,,1,decode_only,51,,39.638857,,0.002900,0.000073,,,,,,1.516977,0.595460,0.357492,0.047048,,blocked_prefill_not_captured,0,70,prefill_steps_not_captured,decode_batch_span_too_narrow_for_slope,phase427_trace_decode_only_prefill_recollect_required,recollect_true_mixed_prefill_window_before_runtime_change,recollect_decode_batch_sweep_then_reprofile_prefill,false,false,false,false,false,false,true,No-Go
