source,row_type,scenario,artifact_dir,window,trace_file,step_index,step_type,decode_batch,window_target_concurrency,window_hit_gate,retry_count,category,real_wall_ms_per_rank,real_cuda_ms_per_rank,bubble_ms_per_rank,bubble_share,real_slope_ms_per_request,phase426_steady_metric_penalty,phase426_prefill_share,phase426_decode_gap_share,phase426_peer_stall_share,phase429_reconstruction_error_pct,phase429_reconstruction_gate,prefill_step_count,decode_step_count,decode_batch_min,decode_batch_max,decode_batch_span,prefill_hit_gate,decode_batch_span_gate,prefill_verdict,decode_verdict,mechanism_verdict,phase430_runtime_target,phase430_perfdb_target,phase405_penalty_read,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase429_reprofile,summary,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase429_reprofile/K2.5-tp4ep8dp2-8k2k,,,,,,,,,,,,,,,1.516977,0.595460,0.357492,0.047048,0.000000,passed,37,103,8,52,44,passed,passed,prefill_serialization_bubble_unmodeled,decode_mla_attention_slope_dominates,phase429_reprofile_window_hits_attributed,apply_named_undercharge_or_bubble_fix,patch_or_recollect_named_perfdb_component,false,true,true,false,false,false,true,No-Go
phase429_reprofile,window_check,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase429_reprofile/K2.5-tp4ep8dp2-8k2k,w0_prefill,,,,,,passed,1,,,,,,,1.516977,0.595460,0.357492,0.047048,0.000000,passed,37,103,8,52,44,passed,passed,prefill_serialization_bubble_unmodeled,decode_mla_attention_slope_dominates,phase429_reprofile_window_hits_attributed,apply_named_undercharge_or_bubble_fix,patch_or_recollect_named_perfdb_component,false,true,true,false,false,false,true,No-Go
phase429_reprofile,window_check,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase429_reprofile/K2.5-tp4ep8dp2-8k2k,w1_decode_c16,,,,8.000000,16,passed,0,,,,,,,1.516977,0.595460,0.357492,0.047048,0.000000,passed,37,103,8,52,44,passed,passed,prefill_serialization_bubble_unmodeled,decode_mla_attention_slope_dominates,phase429_reprofile_window_hits_attributed,apply_named_undercharge_or_bubble_fix,patch_or_recollect_named_perfdb_component,false,true,true,false,false,false,true,No-Go
phase429_reprofile,window_check,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase429_reprofile/K2.5-tp4ep8dp2-8k2k,w2_decode_c64,,,,36.000000,64,passed,0,,,,,,,1.516977,0.595460,0.357492,0.047048,0.000000,passed,37,103,8,52,44,passed,passed,prefill_serialization_bubble_unmodeled,decode_mla_attention_slope_dominates,phase429_reprofile_window_hits_attributed,apply_named_undercharge_or_bubble_fix,patch_or_recollect_named_perfdb_component,false,true,true,false,false,false,true,No-Go
phase429_reprofile,window_check,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase429_reprofile/K2.5-tp4ep8dp2-8k2k,w3_decode_c128,,,,52.000000,128,passed,0,,,,,,,1.516977,0.595460,0.357492,0.047048,0.000000,passed,37,103,8,52,44,passed,passed,prefill_serialization_bubble_unmodeled,decode_mla_attention_slope_dominates,phase429_reprofile_window_hits_attributed,apply_named_undercharge_or_bubble_fix,patch_or_recollect_named_perfdb_component,false,true,true,false,false,false,true,No-Go
phase429_reprofile,step,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase429_reprofile/K2.5-tp4ep8dp2-8k2k,w0_prefill,,0,prefill_or_mixed,1,,passed,1,,509.146503,,38.885432,0.076374,,1.516977,0.595460,0.357492,0.047048,0.000000,passed,37,103,8,52,44,passed,passed,prefill_serialization_bubble_unmodeled,decode_mla_attention_slope_dominates,phase429_reprofile_window_hits_attributed,apply_named_undercharge_or_bubble_fix,patch_or_recollect_named_perfdb_component,false,true,true,false,false,false,true,No-Go
phase429_reprofile,step_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase429_reprofile/K2.5-tp4ep8dp2-8k2k,w0_prefill,,0,prefill_or_mixed,1,,passed,1,dense_gemm,509.146503,20.203925,38.885432,0.076374,,1.516977,0.595460,0.357492,0.047048,0.000000,passed,37,103,8,52,44,passed,passed,prefill_serialization_bubble_unmodeled,decode_mla_attention_slope_dominates,phase429_reprofile_window_hits_attributed,apply_named_undercharge_or_bubble_fix,patch_or_recollect_named_perfdb_component,false,true,true,false,false,false,true,No-Go
phase429_reprofile,step_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase429_reprofile/K2.5-tp4ep8dp2-8k2k,w0_prefill,,0,prefill_or_mixed,1,,passed,1,ep_a2a,509.146503,154.074869,38.885432,0.076374,,1.516977,0.595460,0.357492,0.047048,0.000000,passed,37,103,8,52,44,passed,passed,prefill_serialization_bubble_unmodeled,decode_mla_attention_slope_dominates,phase429_reprofile_window_hits_attributed,apply_named_undercharge_or_bubble_fix,patch_or_recollect_named_perfdb_component,false,true,true,false,false,false,true,No-Go
phase429_reprofile,step_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase429_reprofile/K2.5-tp4ep8dp2-8k2k,w0_prefill,,0,prefill_or_mixed,1,,passed,1,memcpy_memset,509.146503,0.475088,38.885432,0.076374,,1.516977,0.595460,0.357492,0.047048,0.000000,passed,37,103,8,52,44,passed,passed,prefill_serialization_bubble_unmodeled,decode_mla_attention_slope_dominates,phase429_reprofile_window_hits_attributed,apply_named_undercharge_or_bubble_fix,patch_or_recollect_named_perfdb_component,false,true,true,false,false,false,true,No-Go
phase429_reprofile,step_category,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase429_reprofile/K2.5-tp4ep8dp2-8k2k,w0_prefill,,0,prefill_or_mixed,1,,passed,1,mla_attention,509.146503,9.208350,38.885432,0.076374,,1.516977,0.595460,0.357492,0.047048,0.000000,passed,37,103,8,52,44,passed,passed,prefill_serialization_bubble_unmodeled,decode_mla_attention_slope_dominates,phase429_reprofile_window_hits_attributed,apply_named_undercharge_or_bubble_fix,patch_or_recollect_named_perfdb_component,false,true,true,false,false,false,true,No-Go
