-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us        1.532s        81.07%        1.532s     266.043us          5760
## Call CompiledFxGraph fw3ff66muyjljvark56zderciroc...         0.00%       0.000us         0.00%       0.000us       0.000us        1.294s        68.46%        1.294s       5.483ms           236
                               vllm::moe_forward_shared         4.27%      80.966ms         9.34%     177.095ms       1.476ms     831.848ms        44.01%        1.299s      10.822ms           120
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us     713.980ms        37.77%     713.980ms       3.945ms           181
                   execute_context_0(0)_generation_6(6)         0.00%       0.000us         0.00%       0.000us       0.000us     660.084ms        34.92%     660.084ms     660.084ms             1
ncclDevKernel_Reduce_Sum_bf16_RING_LL(ncclDevKernelA...         0.00%       0.000us         0.00%       0.000us       0.000us     462.103ms        24.45%     462.103ms       3.851ms           120
ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     369.745ms        19.56%     369.745ms       3.081ms           120
                          _moe_C::moe_wna16_marlin_gemm         0.23%       4.336ms         0.53%      10.139ms      42.246us     353.135ms        18.68%     353.135ms       1.471ms           240
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     353.135ms        18.68%     353.135ms       1.471ms           240
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     100.641ms         5.32%     100.641ms      24.874us          4046
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      87.061ms         4.61%      87.061ms      20.719us          4202
ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDev...         0.00%       0.000us         0.00%       0.000us       0.000us      76.552ms         4.05%      76.552ms      37.841us          2023
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      75.731ms         4.01%      75.731ms      34.787us          2177
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      55.266ms         2.92%      55.266ms       8.505us          6498
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      50.544ms         2.67%      50.544ms      23.586us          2143
              nvjet_tst_128x8_64x12_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      39.395ms         2.08%      39.395ms      18.383us          2143
                                              aten::sum         0.08%       1.437ms         0.11%       2.022ms      16.846us      39.231ms         2.08%      39.231ms     326.921us           120
