source,row_type,scenario,category,metric,batch_or_bucket,raw_latency_ms,db_latency_ms,route_latency_ms,real_slope_ms_per_request,phase431_slope_ms_per_request,ratio_to_real,before_ratio,after_ratio,delta_ratio,verdict,artifact_dir,source_file,perf_database,runtime_modified,valid_for_default,diagnostic_only,default_readiness
phase431_perfdb_recollect,summary,,phase431,perfdb_recollect,,,,,,,,,,,phase431_perfdb_recollect_ingested_default_no_go,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,collector/vllm/run_phase431_perfdb_recollect.sh,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,mla_attention,latency_ms,8,0.060549333692,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_generation_mla_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,mla_attention,latency_ms,16,0.076074664791,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_generation_mla_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,mla_attention,latency_ms,32,0.128954668840,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_generation_mla_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,mla_attention,latency_ms,64,0.234671990077,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_generation_mla_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,mla_attention,latency_ms,128,0.448853333791,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_generation_mla_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,moe_gemm_or_aux,latency_ms,8,0.219645595551,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_moe_int4_wo_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,moe_gemm_or_aux,latency_ms,16,0.275638713837,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_moe_int4_wo_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,moe_gemm_or_aux,latency_ms,32,0.321668472290,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_moe_int4_wo_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,moe_gemm_or_aux,latency_ms,64,0.381834716797,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_moe_int4_wo_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,moe_gemm_or_aux,latency_ms,128,0.492419853210,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_moe_int4_wo_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,ep_a2a,latency_ms,8,0.074144000000,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_ep_a2a_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,ep_a2a,latency_ms,16,0.074320000000,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_ep_a2a_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,ep_a2a,latency_ms,32,0.085584000000,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_ep_a2a_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,ep_a2a,latency_ms,64,0.085200000000,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_ep_a2a_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,raw_measurement,,ep_a2a,latency_ms,128,0.100032000000,,,,,,,,,phase431_raw_grid_point,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,phase431_ep_a2a_raw.csv,true,true,false,false,No-Go
phase431_perfdb_recollect,slope_recheck,,mla_attention,ms_per_request,,,,,0.215499,0.197388,0.916,,,,phase431_slope_matches_real,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,,true,true,false,false,No-Go
phase431_perfdb_recollect,slope_recheck,,moe_gemm_or_aux,ms_per_request,,,,,0.164715,0.136387,0.828,,,,phase431_slope_matches_real,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,,true,true,false,false,No-Go
phase431_perfdb_recollect,slope_recheck,,ep_a2a,ms_per_request,,,,,0.070353,0.012944,0.184,,,,phase431_ep_floor_ingested_but_slope_still_low,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,,true,true,false,false,No-Go
phase431_perfdb_recollect,cleanup,,gpu,remote_residue,,,,,,,,,,,remote_gpu_and_process_residue_empty,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,,true,true,false,false,No-Go
phase431_perfdb_recollect,route_check,,mla_attention,generation_mla_query,64,0.234671990077,0.234671990077,0.234671990077,,,,,,,phase431_route_matches_raw,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,,true,true,false,false,No-Go
phase431_perfdb_recollect,route_check,,moe_gemm_or_aux,query_moe_phase431_decode_distribution,64,0.381834716797,0.381834716797,0.381834716797,,,,,,,phase431_route_matches_raw,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,,true,true,false,false,No-Go
phase431_perfdb_recollect,route_check,,ep_a2a,query_vllm_ep8_a2a_decode,64,0.085200000000,0.085200000000,0.085200000000,,,,,,,phase431_route_matches_raw,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,,true,true,false,false,No-Go
phase431_perfdb_recollect,validate_ab,K2.5-tp8ep8-8k2k,multi_config,scenario_ratio,,133.5,167.0,167.0,,,1.25,1.25,1.25,+0.00,pass,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,,true,true,false,false,No-Go
phase431_perfdb_recollect,validate_ab,K2.5-tp8ep8-32k3k,multi_config,scenario_ratio,,52.5,56.1,56.1,,,1.07,1.07,1.07,+0.00,pass,docs/iter_gap_investigation/phase431_perfdb_recollect/phase431_perfdb_recollect_20260706_142922,,true,true,false,false,No-Go
