source,row_type,scenario,artifact_dir,profiler_mode,nsys_available,trace_precision,window,trace_file,rank,step_index,step_type,ctx_tokens,gen_tokens,step_count,prefill_step_count,wall_ms_per_step,cuda_busy_ms_per_step,bubble_ms_per_step,category,category_real_ms_per_step,category_sim_ms_per_step,category_excess_ms_per_step,category_share_of_real_cuda,per_gpu_busy_ms,per_gpu_busy_ratio_to_mean,max_gpu_busy_ms,min_gpu_busy_ms,max_mean_busy_ratio,collective_wait_or_transfer_ms,serving_slow_kernel_ms,cpu_gap_ms,transfer_or_memcpy_ms,target_missing_ms,reconstructed_gap_ms,reconstruction_error_pct,reconstruction_gate,dominant_mechanism,phase434_target,precision_boundary,phase405_penalty_read,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase433_nsys_prefill,summary,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_cpu_fallback,false,torch_profiler_fallback,prefill,,,,,,,192,80,4533.511311,4513.531520,19.979791,,,,,,,,4524.655851,4502.296243,1.002465,1526.141775,1224.894025,19.979791,4.207238,2900.316853,2775.222829,4.313116,passed,collective_or_transfer_dominates_torch_fallback_cannot_split_wait_vs_transfer,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_fallback_cannot_split_nccl_wait_from_transfer,false,true,true,false,false,false,true,No-Go
phase433_nsys_prefill,category,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_cpu_fallback,false,torch_profiler_fallback,prefill,,,,,,,192,80,4533.511311,4513.531520,19.979791,collective_other,348.179960,242.290304,105.889656,0.077136,,,4524.655851,4502.296243,1.002465,1526.141775,1224.894025,19.979791,4.207238,2900.316853,2775.222829,4.313116,passed,collective_or_transfer_dominates_torch_fallback_cannot_split_wait_vs_transfer,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_fallback_cannot_split_nccl_wait_from_transfer,false,true,true,false,false,false,true,No-Go
phase433_nsys_prefill,category,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_cpu_fallback,false,torch_profiler_fallback,prefill,,,,,,,192,80,4533.511311,4513.531520,19.979791,dense_gemm,238.167994,255.654474,0.000000,0.052764,,,4524.655851,4502.296243,1.002465,1526.141775,1224.894025,19.979791,4.207238,2900.316853,2775.222829,4.313116,passed,collective_or_transfer_dominates_torch_fallback_cannot_split_wait_vs_transfer,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_fallback_cannot_split_nccl_wait_from_transfer,false,true,true,false,false,false,true,No-Go
phase433_nsys_prefill,category,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_cpu_fallback,false,torch_profiler_fallback,prefill,,,,,,,192,80,4533.511311,4513.531520,19.979791,ep_a2a,1917.743178,497.491058,1420.252120,0.424857,,,4524.655851,4502.296243,1.002465,1526.141775,1224.894025,19.979791,4.207238,2900.316853,2775.222829,4.313116,passed,collective_or_transfer_dominates_torch_fallback_cannot_split_wait_vs_transfer,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_fallback_cannot_split_nccl_wait_from_transfer,false,true,true,false,false,false,true,No-Go
phase433_nsys_prefill,category,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_cpu_fallback,false,torch_profiler_fallback,prefill,,,,,,,192,80,4533.511311,4513.531520,19.979791,memcpy_memset,4.207238,0.000000,4.207238,0.000932,,,4524.655851,4502.296243,1.002465,1526.141775,1224.894025,19.979791,4.207238,2900.316853,2775.222829,4.313116,passed,collective_or_transfer_dominates_torch_fallback_cannot_split_wait_vs_transfer,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_fallback_cannot_split_nccl_wait_from_transfer,false,true,true,false,false,false,true,No-Go
phase433_nsys_prefill,category,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_cpu_fallback,false,torch_profiler_fallback,prefill,,,,,,,192,80,4533.511311,4513.531520,19.979791,mla_attention,366.395312,402.019077,0.000000,0.081171,,,4524.655851,4502.296243,1.002465,1526.141775,1224.894025,19.979791,4.207238,2900.316853,2775.222829,4.313116,passed,collective_or_transfer_dominates_torch_fallback_cannot_split_wait_vs_transfer,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_fallback_cannot_split_nccl_wait_from_transfer,false,true,true,false,false,false,true,No-Go
phase433_nsys_prefill,category,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_cpu_fallback,false,torch_profiler_fallback,prefill,,,,,,,192,80,4533.511311,4513.531520,19.979791,moe_gemm_or_aux,1143.462225,352.717448,790.744777,0.253323,,,4524.655851,4502.296243,1.002465,1526.141775,1224.894025,19.979791,4.207238,2900.316853,2775.222829,4.313116,passed,collective_or_transfer_dominates_torch_fallback_cannot_split_wait_vs_transfer,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_fallback_cannot_split_nccl_wait_from_transfer,false,true,true,false,false,false,true,No-Go
phase433_nsys_prefill,category,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_cpu_fallback,false,torch_profiler_fallback,prefill,,,,,,,192,80,4533.511311,4513.531520,19.979791,other_cuda,495.698383,61.549135,434.149248,0.109817,,,4524.655851,4502.296243,1.002465,1526.141775,1224.894025,19.979791,4.207238,2900.316853,2775.222829,4.313116,passed,collective_or_transfer_dominates_torch_fallback_cannot_split_wait_vs_transfer,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_fallback_cannot_split_nccl_wait_from_transfer,false,true,true,false,false,false,true,No-Go
phase433_nsys_prefill,per_gpu_busy,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_cpu_fallback,false,torch_profiler_fallback,prefill,,dp0_rank0,,,,,192,80,4533.511311,4513.531520,19.979791,,,,,,4503.836260,0.997852,4524.655851,4502.296243,1.002465,1526.141775,1224.894025,19.979791,4.207238,2900.316853,2775.222829,4.313116,passed,collective_or_transfer_dominates_torch_fallback_cannot_split_wait_vs_transfer,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_fallback_cannot_split_nccl_wait_from_transfer,false,true,true,false,false,false,true,No-Go
phase433_nsys_prefill,per_gpu_busy,K2.5-tp4ep8dp2-32k3k,docs/iter_gap_investigation/phase433_nsys_prefill/K2.5-tp4ep8dp2-32k3k,torch_profiler_cpu_fallback,false,torch_profiler_fallback,prefill,,dp0_rank1,,,,,192,80,4533.511311,4513.531520,19.979791,,,,,,4503.824369,0.997849,4524.655851,4502.296243,1.002465,1526.141775,1224.894025,19.979791,4.207238,2900.316853,2775.222829,4.313116,passed,collective_or_transfer_dominates_torch_fallback_cannot_split_wait_vs_transfer,separate_nccl_wait_vs_transfer_or_build_serving_state_ep_model,torch_profiler_fallback_cannot_split_nccl_wait_from_transfer,false,true,true,false,false,false,true,No-Go
