source,row_type,scenario,phase,category,bucket_tokens,decode_batch,latency_ms,sample_count,window_list,kernel_source,provenance,coverage_note,mechanism_verdict,phase438_target,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,collective_other,2,2,0.349979,8,mixed_isl64k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,collective_other,16,16,0.470598,8,mixed_isl8k_c128_ramp,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,collective_other,60,60,0.840017,8,mixed_isl2k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,collective_other,64,64,0.854234,8,mixed_isl2k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,ep_a2a,2,2,4.232288,8,mixed_isl64k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,ep_a2a,16,16,5.213064,8,mixed_isl8k_c128_ramp,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,ep_a2a,60,60,7.336008,8,mixed_isl2k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,ep_a2a,64,64,7.256628,8,mixed_isl2k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,moe_gemm_or_aux,2,2,3.300956,8,mixed_isl64k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,moe_gemm_or_aux,16,16,6.339552,8,mixed_isl8k_c128_ramp,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,moe_gemm_or_aux,60,60,14.756873,8,mixed_isl2k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,moe_gemm_or_aux,64,64,14.601828,8,mixed_isl2k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
