source,phase,category,axis,fixed_axis,fixed_value,point_count,min_latency_ms,max_latency_ms,mean_latency_ms,spread_pct,tolerance_pct,decision
phase438_serving_state_merge,mixed_prefill,collective_other,decode_batch,bucket_tokens,32000,2,348.179960,348.179960,348.179960,0.000000,15.000000,secondary_axis_flat
phase438_serving_state_merge,mixed_prefill,ep_a2a,decode_batch,bucket_tokens,8000,34,289.663536,672.967406,543.371882,70.541720,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,ep_a2a,decode_batch,bucket_tokens,32000,2,1917.743178,1917.743178,1917.743178,0.000000,15.000000,secondary_axis_flat
phase438_serving_state_merge,mixed_prefill,moe_gemm_or_aux,decode_batch,bucket_tokens,8000,34,202.251588,373.775856,304.019082,56.418915,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,moe_gemm_or_aux,decode_batch,bucket_tokens,32000,2,1143.462225,1143.462225,1143.462225,0.000000,15.000000,secondary_axis_flat
phase438_serving_state_merge,mixed_prefill,other_cuda,decode_batch,bucket_tokens,8000,34,127.279370,219.802784,163.638307,56.541415,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,other_cuda,decode_batch,bucket_tokens,32000,2,495.698383,495.698383,495.698383,0.000000,15.000000,secondary_axis_flat
phase438_serving_state_merge,mixed_prefill,ep_a2a,bucket_tokens,decode_batch,1,2,289.663536,1071.026146,680.344841,114.848025,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,ep_a2a,bucket_tokens,decode_batch,5,2,98.197646,549.416735,323.807190,139.348076,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,ep_a2a,bucket_tokens,decode_batch,8,2,551.611723,1917.743178,1234.677450,110.646830,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,ep_a2a,bucket_tokens,decode_batch,9,2,113.935148,424.905264,269.420206,115.421972,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,ep_a2a,bucket_tokens,decode_batch,10,2,99.119577,549.599098,324.359338,138.882859,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,ep_a2a,bucket_tokens,decode_batch,16,2,16.957455,552.983502,284.970479,188.098799,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,moe_gemm_or_aux,bucket_tokens,decode_batch,1,2,202.251588,2224.772175,1213.511882,166.666731,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,moe_gemm_or_aux,bucket_tokens,decode_batch,5,2,304.073619,2124.795587,1214.434603,149.923426,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,moe_gemm_or_aux,bucket_tokens,decode_batch,8,2,302.741998,1143.462225,723.102111,116.265769,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,moe_gemm_or_aux,bucket_tokens,decode_batch,9,2,243.218846,1962.198029,1102.708437,155.887007,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,moe_gemm_or_aux,bucket_tokens,decode_batch,10,2,306.144132,2029.831987,1167.988059,147.577524,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,moe_gemm_or_aux,bucket_tokens,decode_batch,16,2,304.601093,1326.591215,815.596154,125.305903,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,other_cuda,bucket_tokens,decode_batch,1,2,216.480896,1806.325330,1011.403113,157.191966,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,other_cuda,bucket_tokens,decode_batch,5,2,159.871421,3015.622222,1587.746821,179.861850,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,other_cuda,bucket_tokens,decode_batch,8,2,160.083266,495.698383,327.890825,102.355751,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,other_cuda,bucket_tokens,decode_batch,9,2,127.554324,2991.725381,1559.639853,183.643105,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,other_cuda,bucket_tokens,decode_batch,10,2,159.848002,2566.072112,1362.960057,176.543993,15.000000,secondary_axis_sensitive
phase438_serving_state_merge,mixed_prefill,other_cuda,bucket_tokens,decode_batch,16,2,160.316426,2484.878020,1322.597223,175.757332,15.000000,secondary_axis_sensitive
