source,row_type,scenario,phase,category,bucket_tokens,decode_batch,metric,value,baseline_value,candidate_value,ratio,classification,window,reason,count,note
phase438_serving_state_merge,merge_conflict,,mixed_prefill,ep_a2a,8000,33,,61.300283,446.465951,236.986735,,,,,,current_perfdb vs phase437_candidate
phase438_serving_state_merge,merge_conflict,,mixed_prefill,ep_a2a,8000,34,,81.092802,567.392574,240.017037,,,,,,current_perfdb vs phase437_candidate
phase438_serving_state_merge,merge_conflict,,mixed_prefill,moe_gemm_or_aux,8000,33,,26.772983,253.076233,331.304282,,,,,,current_perfdb vs phase437_candidate
phase438_serving_state_merge,merge_conflict,,mixed_prefill,other_cuda,8000,33,,20.481523,134.811021,165.572590,,,,,,current_perfdb vs phase437_candidate
phase438_serving_state_merge,merge_conflict,,mixed_prefill,other_cuda,8000,34,,27.847915,219.802784,166.073530,,,,,,current_perfdb vs phase437_candidate
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,1,1,bucket_below_range,1,,,,miss,,,1,bucket_below_range
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,2,2,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,3,3,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,4,4,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,5,5,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,6,6,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,7,7,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,8,8,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,9,9,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,10,10,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,11,11,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,12,12,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,13,13,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,14,14,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,15,15,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,16,16,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,17,17,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,18,18,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,19,19,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,20,20,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,21,21,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,22,22,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,23,23,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,24,24,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,25,25,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,26,26,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,27,27,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,28,28,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,29,29,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,30,30,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,31,31,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,32,32,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,33,33,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,34,34,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,35,35,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,36,36,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,37,37,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,38,38,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,39,39,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,40,40,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,41,41,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,42,42,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,43,43,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,44,44,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,45,45,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,46,46,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,47,47,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,48,48,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,49,49,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,50,50,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,51,51,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,52,52,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,53,53,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,54,54,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,55,55,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,56,56,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,57,57,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,collective_other,58,58,interpolation_gap,1,,,,miss,,,1,interpolation_gap
