source,row_type,scenario,artifact_dir,phase,row_kind,category,bucket_tokens,decode_batch,step_count,latency_ms,elapsed_ms_mean,attention_ms_mean,baseline_value,candidate_value,reconstruction_error_pct,reconstruction_gate,coverage_gate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase440_nonattn_total,inventory,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,,,89,56,531,,,,,,,,needs_pure_log_gpu_collect,existing_iteration_log_coverage,55,target_bucket_tokens_min=7000;target_decode_batch_min=56;raw_max_decode_batch=56,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,89,44,1,666.077306,676.550000,10.472694,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,94,47,1,41.284341,52.370000,11.085659,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,108,54,3,257.871060,270.396667,12.525607,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,110,55,2,53.338687,66.070000,12.731313,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,163,55,1,73.768505,86.720000,12.951495,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,259,43,1,675.498462,686.480000,10.981538,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,260,55,1,83.025531,96.380000,13.354469,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,836,54,1,712.510013,728.060000,15.549987,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,1129,47,1,847.664569,863.050000,15.385431,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,1597,56,1,301.303742,320.410000,19.106258,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,2401,55,1,248.011028,270.260000,22.248972,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
