source,row_type,scenario,artifact_dir,bucket_tokens,decode_batch,step_count,category_sum_ms,non_attn_total_ms,candidate_gap_ms,candidate_error_pct,attention_ms,peer_wait_ms,host_gap_upper_ms,attention_error_upper_ms,explained_ms,unexplained_ms,explained_share,coverage_band,missing_categories,explain_gate,high_batch_gate,life_gate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase441_steady_wall_primitive,summary,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,,,4,,,,,,,,,,,0.066814,,,failed,failed,failed,b1_life_gate,,B1_survives_only_if_explained_share_ge_80pct_and_high_batch_error_le_15pct;missing_category_rows=71,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,audit_point,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,1,4,709.554924,1072.601028,363.046104,51.165328,36.463972,0.610000,20.000000,3.646397,24.256397,338.789706,0.066814,ramp_or_low_batch,,,,,,,log_visible_peer_wait_plus_phase433_host_gap_bound_plus_attention_bound,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,89,44,1,,666.077306,,,10.472694,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,94,47,1,,41.284341,,,11.085659,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,108,54,3,,257.871060,,,12.525607,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,110,55,2,,53.338687,,,12.731313,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,163,55,1,,73.768505,,,12.951495,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,259,43,1,,675.498462,,,10.981538,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,260,55,1,,83.025531,,,13.354469,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,836,54,1,,712.510013,,,15.549987,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,1129,47,1,,847.664569,,,15.385431,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,1597,56,1,,301.303742,,,19.106258,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,2401,55,1,,248.011028,,,22.248972,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,3301,54,1,,676.909494,,,25.790506,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,3543,55,1,,329.876739,,,26.993261,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,3969,54,1,,879.934376,,,28.565624,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,4497,54,1,,905.920869,,,30.759131,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,5210,55,1,,443.691406,,,33.918594,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,5674,55,1,,666.883779,,,35.846221,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,2,2,,1068.983942,,,36.561058,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,3,2,,1069.514959,,,36.555041,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,4,2,,1069.975977,,,36.549023,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,5,2,,1070.239397,,,36.635603,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,6,2,,1071.162818,,,36.722182,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,7,2,,1074.311238,,,36.808762,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
phase441_steady_wall_primitive,missing_category_coverage,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,8000,8,2,,1074.504659,,,36.895341,,,,,,,ramp_or_low_batch,"ep_a2a,moe_gemm_or_aux,other_cuda,collective_other",,,,,,candidate_log_row_exists_but_serving_state_category_sum_missing,false,false,false,false,false,true,No-Go
