source,row_type,scenario,ctx_tokens,decode_batch,ctx_requests_median,generation_tokens_median,event_count,wall_count,event_to_wall_row_ratio,dp_ranks,engines,event_forward_busy_median_ms,event_forward_busy_p90_ms,wall_elapsed_median_ms,wall_elapsed_p90_ms,sim_charge_ms,sim_context_non_attention_ms,sim_context_attention_ms,sim_generation_non_attention_ms,sim_generation_attention_ms,busy_vs_sim_pct,wall_vs_busy_pct,wall_minus_busy_ms,busy_minus_sim_ms,classification,confidence,b2b_gate,primary_gap,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase443_b2_diagnostic,bucket,K2.5-tp4ep8dp2-8k2k,0,1,0,1,1352,338,4.000000,0:644;1:708,0:161;1:177,14.193456,16.732442,16.840000,19.563000,28.984002,0.000000,0.000000,25.750825,3.233177,-51.030035,18.646229,2.646544,-14.790547,mixed_or_inconclusive,high,,,,,,false,false,false,false,false,true,No-Go
phase443_b2_diagnostic,bucket,K2.5-tp4ep8dp2-8k2k,0,2,0,2,1296,324,4.000000,0:672;1:624,0:168;1:156,16.689008,16.783600,19.130000,19.590000,16.952403,0.000000,0.000000,13.617986,3.334417,-1.553733,14.626347,2.440992,-0.263395,mixed_or_inconclusive,high,,,,,,false,false,false,false,false,true,No-Go
phase443_b2_diagnostic,bucket,K2.5-tp4ep8dp2-8k2k,0,3,0,3,1648,412,4.000000,0:1004;1:644,0:251;1:161,17.366720,17.534425,19.955000,20.440000,18.662082,0.000000,0.000000,15.329528,3.332554,-6.941142,14.903677,2.588280,-1.295362,mixed_or_inconclusive,high,,,,,,false,false,false,false,false,true,No-Go
phase443_b2_diagnostic,bucket,K2.5-tp4ep8dp2-8k2k,0,4,0,4,1904,476,4.000000,0:1236;1:668,0:309;1:167,17.521168,17.699053,20.130000,20.610000,18.975770,0.000000,0.000000,15.645079,3.330691,-7.665577,14.889603,2.608832,-1.454602,mixed_or_inconclusive,high,,,,,,false,false,false,false,false,true,No-Go
phase443_b2_diagnostic,bucket,K2.5-tp4ep8dp2-8k2k,0,5,0,5,1892,473,4.000000,0:784;1:1108,0:196;1:277,17.520544,17.730271,20.240000,20.650000,19.443261,0.000000,0.000000,16.021836,3.421425,-9.888859,15.521527,2.719456,-1.922717,mixed_or_inconclusive,high,,,,,,false,false,false,false,false,true,No-Go
phase443_b2_diagnostic,bucket,K2.5-tp4ep8dp2-8k2k,0,6,0,6,2184,546,4.000000,0:1048;1:1136,0:262;1:284,17.759456,18.023968,20.480000,20.950000,19.910502,0.000000,0.000000,16.398344,3.512159,-10.803579,15.318850,2.720544,-2.151047,mixed_or_inconclusive,high,,,,,,false,false,false,false,false,true,No-Go
phase443_b2_diagnostic,bucket,K2.5-tp4ep8dp2-8k2k,0,7,0,7,1528,382,4.000000,0:740;1:788,0:185;1:197,17.734833,21.832534,20.520000,24.609000,20.377744,0.000000,0.000000,16.774852,3.602893,-12.969598,15.704502,2.785167,-2.642911,mixed_or_inconclusive,high,,,,,,false,false,false,false,false,true,No-Go
phase443_b2_diagnostic,bucket,K2.5-tp4ep8dp2-8k2k,0,8,0,8,1440,360,4.000000,0:4;1:1436,0:1;1:359,17.916336,18.080275,20.610000,21.020000,17.840168,0.000000,0.000000,14.146541,3.693626,0.426949,15.034681,2.693664,0.076168,mixed_or_inconclusive,high,,,,,,false,false,false,false,false,true,No-Go
phase443_b2_diagnostic,bucket,K2.5-tp4ep8dp2-8k2k,0,9,0,9,360,90,4.000000,0:4;1:356,0:1;1:89,21.820336,21.993504,24.535000,24.930000,11.785812,0.000000,0.000000,7.973765,3.812047,85.140715,12.440980,2.714664,10.034524,mixed_or_inconclusive,high,,,,,,false,false,false,false,false,true,No-Go
phase443_b2_diagnostic,bucket,K2.5-tp4ep8dp2-8k2k,0,10,0,10,8,2,4.000000,0:4;1:4,0:1;1:1,21.459856,21.471213,23.685000,23.969000,12.275402,0.000000,0.000000,8.344934,3.930468,74.819989,10.368867,2.225144,9.184454,low_confidence,low,,,,,,false,false,false,false,false,true,No-Go
