source,row_type,phase,row_kind,category,bucket_tokens,decode_batch,actual_ms,predicted_ms,error_pct,fold,gate,sample_count,median_error_pct,p90_error_pct,loo_gate,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase444_loo_serving_state,loo_detail,decode,category,collective_other,2,2,0.349979,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,collective_other,8,8,0.388674,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,collective_other,16,16,0.470598,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,collective_other,36,36,0.759284,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,collective_other,52,52,0.829494,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,collective_other,60,60,0.840017,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,collective_other,64,64,0.854234,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,ep_a2a,2,2,4.232288,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,ep_a2a,8,8,4.370087,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,ep_a2a,16,16,5.213064,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,ep_a2a,36,36,7.087431,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,ep_a2a,52,52,7.330396,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,ep_a2a,60,60,7.336008,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,ep_a2a,64,64,7.256628,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,moe_gemm_or_aux,2,2,3.300956,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,moe_gemm_or_aux,8,8,3.660687,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,moe_gemm_or_aux,16,16,6.339552,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,moe_gemm_or_aux,36,36,10.114044,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,moe_gemm_or_aux,52,52,10.575007,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,moe_gemm_or_aux,60,60,14.756873,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,moe_gemm_or_aux,64,64,14.601828,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,other_cuda,2,2,1.566289,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,other_cuda,8,8,1.572512,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,other_cuda,16,16,1.698132,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,other_cuda,36,36,2.007990,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,other_cuda,52,52,2.308369,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,other_cuda,60,60,2.423353,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,decode,category,other_cuda,64,64,2.416744,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,collective_other,8000,1,1.158904,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,collective_other,32000,0,348.179960,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,collective_other,32000,8,348.179960,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,4016,16,16.957455,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,1,289.663536,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,2,549.247992,419.384776,23.643822,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,3,549.106017,549.168895,0.011451,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,4,549.089798,549.261376,0.031248,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,5,549.416735,548.939809,0.086806,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,6,548.789821,610.090743,11.170200,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,7,670.764750,550.200772,17.974108,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,8,551.611723,547.835007,0.684669,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,9,424.905264,550.605411,29.583099,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,10,549.599098,487.486798,11.301383,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,11,550.068332,549.615253,0.082368,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,12,549.631408,549.806203,0.031802,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,13,549.544073,549.899291,0.064639,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,14,550.167173,611.255740,11.103637,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
