source,row_type,scenario,ctx_tokens,decode_batch,event_count,confidence,sim_charge_ms,event_forward_busy_median_ms,wall_elapsed_median_ms,busy_minus_sim_ms,wall_minus_busy_ms,busy_gap_share,wall_gap_share,mechanism_candidate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,1,1352,high,28.984002,14.193456,16.840000,-14.790546,2.646544,0.000000,1.000000,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,2,1296,high,16.952403,16.689008,19.130000,-0.263395,2.440992,0.000000,1.000000,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,3,1648,high,18.662082,17.366720,19.955000,-1.295362,2.588280,0.000000,1.000000,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,4,1904,high,18.975770,17.521168,20.130000,-1.454602,2.608832,0.000000,1.000000,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,5,1892,high,19.443261,17.520544,20.240000,-1.922717,2.719456,0.000000,1.000000,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,6,2184,high,19.910502,17.759456,20.480000,-2.151046,2.720544,0.000000,1.000000,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,7,1528,high,20.377744,17.734833,20.520000,-2.642911,2.785167,0.000000,1.000000,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,8,1440,high,17.840168,17.916336,20.610000,0.076168,2.693664,0.027499,0.972501,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,9,360,high,11.785812,21.820336,24.535000,10.034524,2.714664,0.787072,0.212928,decode_or_pure_prefill_control,,,not a mixed prefill bucket,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,10,8,low,12.275402,21.459856,23.685000,9.184454,2.225144,0.804976,0.195024,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,11,8,low,12.764573,21.214480,23.985000,8.449907,2.770520,0.753082,0.246918,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,12,8,low,13.269291,21.080671,23.920000,7.811380,2.839329,0.733414,0.266586,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,13,8,low,13.758463,21.086800,23.920000,7.328337,2.833200,0.721184,0.278816,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,14,8,low,14.247634,20.632560,23.230000,6.384926,2.597440,0.710829,0.289171,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,15,8,low,31.309893,20.374752,23.055000,-10.935141,2.680248,0.000000,1.000000,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,16,8,low,22.639484,21.442272,24.195000,-1.197212,2.752728,0.000000,1.000000,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,17,8,low,15.797056,23.920224,26.880000,8.123168,2.959776,0.732943,0.267057,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,18,8,low,16.352588,23.800241,26.545000,7.447653,2.744759,0.730706,0.269294,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,19,8,low,16.912992,23.448624,25.660000,6.535632,2.211376,0.747185,0.252815,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,20,8,low,17.490893,24.942448,27.130000,7.451555,2.187552,0.773054,0.226946,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,21,8,low,18.053246,22.956079,25.550000,4.902833,2.593921,0.653994,0.346006,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,22,8,low,18.615600,22.590384,25.370000,3.974784,2.779616,0.588473,0.411527,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,23,8,low,19.177953,22.069040,25.000000,2.891087,2.930960,0.496576,0.503424,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,24,8,low,19.755854,25.361585,28.065000,5.605731,2.703415,0.674646,0.325354,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,25,8,low,19.978888,24.281168,26.450000,4.302280,2.168832,0.664844,0.335156,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,26,8,low,20.201922,24.587536,27.205000,4.385614,2.617464,0.626241,0.373759,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,0,27,8,low,20.424956,25.611744,28.445000,5.186788,2.833256,0.646728,0.353272,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
