source,scenario,phase,row_kind,category,bucket_tokens,decode_batch,latency_ms,sample_count,peer_phase,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,provenance,valid_for_default,default_readiness
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,1,1,14.05673599243164,1238,peer_decode,14.05673599243164,14.113632202148438,13.9617280960083,104.81571197509766,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,2,2,14.599855899810791,1288,peer_decode,14.599855899810791,14.724512100219727,14.416383743286133,14.912927627563477,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,3,3,15.152927875518799,1336,peer_decode,15.152927875518799,15.429856300354004,14.93887996673584,15.563167572021484,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,4,4,14.94041633605957,2212,peer_decode,14.94041633605957,15.11302375793457,14.623871803283691,17.413503646850586,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,5,5,17.398079872131348,2276,peer_decode,17.398079872131348,17.535551071166992,17.150976181030273,17.71785545349121,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,6,6,17.592559814453125,1576,peer_decode,17.592559814453125,17.779136657714844,17.23686408996582,17.933088302612305,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,7,7,17.555920600891113,2872,peer_decode,17.555920600891113,17.718975067138672,16.991167068481445,17.913536071777344,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,8,8,16.717040061950684,712,peer_decode,16.717040061950684,16.841888427734375,16.457311630249023,16.94883155822754,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,9,9,21.352736473083496,8,peer_decode,21.352736473083496,21.356159210205078,21.349504470825195,21.35696029663086,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,10,10,21.420320510864258,8,peer_decode,21.420320510864258,21.427200317382812,21.412160873413086,21.43017578125,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,11,11,21.198287963867188,8,peer_decode,21.198287963867188,21.201824188232422,21.19468879699707,21.203168869018555,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,12,12,20.837520599365234,8,peer_decode,20.837520599365234,20.840864181518555,20.83340835571289,20.84115219116211,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,13,13,20.889488220214844,8,peer_decode,20.889488220214844,20.900480270385742,20.880767822265625,20.90140724182129,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,14,14,20.89620876312256,8,peer_decode,20.89620876312256,20.912031173706055,20.88153648376465,20.912160873413086,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,15,15,20.33510398864746,8,peer_decode,20.33510398864746,20.33945655822754,20.331680297851562,20.341951370239258,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,decode,forward_total,forward_total,16,16,20.197903633117676,8,peer_decode,20.197903633117676,20.210336685180664,20.18400001525879,20.21116828918457,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
