framework,version,device,model,topology,phase,row_kind,category,kernel_source,bucket_tokens,decode_batch,hidden_size,topk,moe_ep_size,quant_runtime,latency,provenance
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,1,1,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,14.05673599243164,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,2,2,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,14.599855899810791,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,3,3,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,15.152927875518799,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,4,4,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,14.94041633605957,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,5,5,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,17.398079872131348,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,6,6,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,17.592559814453125,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,7,7,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,17.555920600891113,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,8,8,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,16.717040061950684,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,9,9,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,21.352736473083496,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,10,10,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,21.420320510864258,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,11,11,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,21.198287963867188,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,12,12,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,20.837520599365234,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,13,13,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,20.889488220214844,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,14,14,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,20.89620876312256,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,15,15,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,20.33510398864746,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,16,16,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,20.197903633117676,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,17,17,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,24.18217658996582,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,18,18,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,23.713568687438965,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,19,19,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,23.491119384765625,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,20,20,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,23.417360305786133,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,21,21,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,22.49006462097168,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,22,22,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,22.717087745666504,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,23,23,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,22.45249652862549,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,24,24,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,24.00291156768799,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,25,25,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,24.80851173400879,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,26,26,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,24.805472373962402,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,27,27,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,25.33668804168701,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,28,28,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,28.469792366027832,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,29,29,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,28.374367713928223,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,30,30,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,28.128432273864746,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,31,31,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,25.64465618133545,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,32,32,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,25.25124740600586,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,33,33,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,29.418607711791992,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,34,34,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,32.19816017150879,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,35,35,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,32.10854530334473,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,36,36,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,31.968928337097168,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,decode,forward_total,forward_total,phase446_b2b_event_timing,37,37,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,31.9976167678833,phase446_b2b_event_step_bucket_peer_tagged
