source,row_type,scenario,window,cycle_index,cycle_count,engine0_ctx_tokens,engine0_decode_batch,engine1_ctx_tokens,engine1_decode_batch,engine0_busy_ms,engine1_busy_ms,coupled_busy_ms,engine0_wall_ms,engine1_wall_ms,replay_wall_ms,real_wall_ms,sum_max_wall_ms,replay_vs_real_wall_error_pct,replay_vs_sum_max_wall_error_pct,event_steps_rank0,event_steps_rank1,wall_steps_rank0,wall_steps_rank1,event_rows_per_step_rank0,event_rows_per_step_rank1,event_group_mismatch_count,event_wall_key_mismatch_count,gate,verdict,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase446_lockstep_replay,window,K2.5-tp4ep8dp2-8k2k,all_paired,,11610,,,,,,,,,,787258.623959,787149.730000,826659.380000,0.013834,-4.766263,11610,11943,11610,11943,4,4,0,0,passed,lockstep_busy_replay_passes,,,primary gate is steady_decode_ge_40 replay_vs_real_wall_error_pct <= 10%,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,window,K2.5-tp4ep8dp2-8k2k,steady_decode_ge_40,,10006,,,,,,,,,,713680.552242,709595.330000,747886.040000,0.575712,-4.573623,11610,11943,11610,11943,4,4,0,0,passed,lockstep_busy_replay_passes,,,primary gate is steady_decode_ge_40 replay_vs_real_wall_error_pct <= 10%,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,window,K2.5-tp4ep8dp2-8k2k,high_decode_ge_45,,9806,,,,,,,,,,493163.370243,492638.470000,526441.510000,0.106549,-6.321337,11610,11943,11610,11943,4,4,0,0,passed,lockstep_busy_replay_passes,,,primary gate is steady_decode_ge_40 replay_vs_real_wall_error_pct <= 10%,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,window,K2.5-tp4ep8dp2-8k2k,peak_decode_ge_56,,405,,,,,,,,,,14856.658161,16025.440000,16123.560000,-7.293290,-7.857457,11610,11943,11610,11943,4,4,0,0,passed,lockstep_busy_replay_passes,,,primary gate is steady_decode_ge_40 replay_vs_real_wall_error_pct <= 10%,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,summary,K2.5-tp4ep8dp2-8k2k,,,,,,,,,,,,,,,,,,,,,,,,,,,lockstep_busy_replay_passes,event_steps_rank0,11610,coupling granularity audit,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,summary,K2.5-tp4ep8dp2-8k2k,,,,,,,,,,,,,,,,,,,,,,,,,,,lockstep_busy_replay_passes,event_steps_rank1,11943,coupling granularity audit,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,summary,K2.5-tp4ep8dp2-8k2k,,,,,,,,,,,,,,,,,,,,,,,,,,,lockstep_busy_replay_passes,wall_steps_rank0,11610,coupling granularity audit,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,summary,K2.5-tp4ep8dp2-8k2k,,,,,,,,,,,,,,,,,,,,,,,,,,,lockstep_busy_replay_passes,wall_steps_rank1,11943,coupling granularity audit,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,summary,K2.5-tp4ep8dp2-8k2k,,,,,,,,,,,,,,,,,,,,,,,,,,,lockstep_busy_replay_passes,event_group_mismatch_count,0,coupling granularity audit,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,summary,K2.5-tp4ep8dp2-8k2k,,,,,,,,,,,,,,,,,,,,,,,,,,,lockstep_busy_replay_passes,event_wall_key_mismatch_count,0,coupling granularity audit,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6042,,7959,41,7958,42,1134.536255,1136.847046,1136.847046,1136.880000,1141.100000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6041,,7959,41,7958,42,1136.810181,1135.398315,1136.810181,1141.720000,1141.200000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,32,,7969,31,7970,30,1135.030518,1135.612061,1135.612061,1141.210000,1140.150000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,31,,7970,30,7971,29,1135.491699,1124.573608,1135.491699,1139.890000,1127.320000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6068,,7953,47,7953,47,1134.803467,1135.430664,1135.430664,1139.590000,1138.830000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6039,,7959,41,7958,42,1135.258667,1135.367798,1135.367798,1139.100000,1140.680000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6038,,7959,41,7958,42,1135.350586,1130.349731,1135.350586,1140.940000,1134.930000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6040,,7959,41,7958,42,1135.319580,1135.203613,1135.319580,1141.470000,1139.010000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6067,,7954,46,7954,46,1135.313354,1133.889282,1135.313354,1138.670000,1138.340000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,33,,7968,32,7969,31,1135.146118,1135.245850,1135.245850,1139.680000,1141.630000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,34,,7967,33,7968,32,1125.211670,1135.140259,1135.140259,1129.860000,1140.190000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6069,,7952,48,7952,48,1133.198120,1135.000854,1135.000854,1137.810000,1139.260000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6047,,7959,41,7958,42,1134.799194,1134.460693,1134.799194,1140.190000,1138.840000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,4030,,7958,42,7957,43,1134.730469,1130.516357,1134.730469,1138.640000,1134.470000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,2036,,7959,41,7959,41,1133.818359,1134.700684,1134.700684,1137.950000,1138.640000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6048,,7959,41,7958,42,1133.440796,1134.696533,1134.696533,1138.390000,1140.420000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,4031,,7958,42,7957,43,1132.346191,1134.685059,1134.685059,1137.450000,1138.930000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,2035,,7959,41,7959,41,1134.678101,1132.509033,1134.678101,1138.630000,1136.110000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6046,,7959,41,7958,42,1134.541748,1133.214478,1134.541748,1138.710000,1137.390000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
phase446_lockstep_replay,fixture_cycle,K2.5-tp4ep8dp2-8k2k,,6043,,7959,41,7958,42,1134.527222,1134.427490,1134.527222,1138.670000,1138.710000,,,,,,,,,,,,,,,lockstep_busy_replay_passes,,,highest coupled-busy cycles; future runtime fixture seed,false,false,false,false,false,true,No-Go
