scenario,section,metric,sim_value,target_low,target_high,passed
K2.5-tp4ep8dp2-8k2k,gate,mixed_decode_batch_p50,46.0,34.0,52.0,True
K2.5-tp4ep8dp2-8k2k,gate,mixed_bucket_tokens_p50,8000.0,8000.0,8000.0,True
K2.5-tp4ep8dp2-8k2k,distribution,mixed_decode_batch_p10,43.0,,,
K2.5-tp4ep8dp2-8k2k,distribution,mixed_decode_batch_p90,52.0,,,
K2.5-tp4ep8dp2-8k2k,distribution,mixed_step_count,980,,,
K2.5-tp4ep8dp2-8k2k,phase_joint,decode+decode,0.9389426656738645,,,
K2.5-tp4ep8dp2-8k2k,phase_joint,mixed_prefill+decode,0.0002482005460412013,,,
K2.5-tp4ep8dp2-8k2k,phase_joint,mixed_prefill+mixed_prefill,0.060685033507073716,,,
K2.5-tp4ep8dp2-8k2k,phase_joint,pure_prefill+pure_prefill,0.00012410027302060066,,,
K2.5-tp4ep8dp2-32k3k,gate,mixed_decode_batch_p50,8.0,6.0,9.0,True
K2.5-tp4ep8dp2-32k3k,gate,mixed_bucket_tokens_p50,32000.0,67.0,32000.0,True
K2.5-tp4ep8dp2-32k3k,distribution,mixed_decode_batch_p10,7.0,,,
K2.5-tp4ep8dp2-32k3k,distribution,mixed_decode_batch_p90,9.0,,,
K2.5-tp4ep8dp2-32k3k,distribution,mixed_step_count,652,,,
K2.5-tp4ep8dp2-32k3k,phase_joint,decode+decode,0.9950472555434388,,,
K2.5-tp4ep8dp2-32k3k,phase_joint,mixed_prefill+mixed_prefill,0.004937598449048831,,,
K2.5-tp4ep8dp2-32k3k,phase_joint,pure_prefill+pure_prefill,1.5146007512419726e-05,,,
