scenario,section,metric,engine,value,p10,p50,p90,min,max,sample_count,source,passed,note
K2.5-tp4ep8dp2-8k2k,real_capacity,kv_cache_tokens,0,458128,,,,,,1,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/serve.log:275,,num_gpu_blocks=28633; block_size=16
K2.5-tp4ep8dp2-8k2k,real_capacity,kv_cache_tokens,1,458128,,,,,,1,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/serve.log:278,,num_gpu_blocks=28633; block_size=16
K2.5-tp4ep8dp2-8k2k,capacity_diff,validate_tokens_over_real_tokens,all,1.0,,,,458128,458128,,"validate=docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/serve.log:209,212; real=docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/serve.log:275",True,validate_blocks=28633; real_blocks=28633
K2.5-tp4ep8dp2-8k2k,metrics_full_run,num_requests_running,0,45.00265957446808,41.5,47.0,54.0,1.0,56.0,376,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/metrics.jsonl,,all poll samples
K2.5-tp4ep8dp2-8k2k,metrics_full_run,num_requests_running,1,45.117333333333335,42.4,47.0,54.0,1.0,56.0,375,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/metrics.jsonl,,all poll samples
K2.5-tp4ep8dp2-8k2k,metrics_full_run,num_requests_waiting,0,15.672872340425531,4.0,16.0,22.0,0.0,67.0,376,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/metrics.jsonl,,all poll samples
K2.5-tp4ep8dp2-8k2k,metrics_full_run,num_requests_waiting,1,13.493333333333334,3.0,14.0,19.0,0.0,55.0,375,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/metrics.jsonl,,all poll samples
K2.5-tp4ep8dp2-8k2k,metrics_full_run,kv_cache_usage_perc,0,0.8745334226546105,0.7254470522492316,0.981751187482537,0.9957739592064823,0.017497904442581702,1.0,376,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/metrics.jsonl,,all poll samples
K2.5-tp4ep8dp2-8k2k,metrics_full_run,kv_cache_usage_perc,1,0.876771351401695,0.7481628946633136,0.9816289466331377,0.9957809443978766,0.02151438949427209,1.0,375,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/metrics.jsonl,,all poll samples
K2.5-tp4ep8dp2-8k2k,metrics_full_run,num_preemptions_total,0,26.11111111111111,2.0,25.0,48.0,0.0,54.0,378,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/metrics.jsonl,,all poll samples
K2.5-tp4ep8dp2-8k2k,metrics_full_run,num_preemptions_total,1,26.11111111111111,2.0,25.0,48.0,0.0,54.0,378,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/metrics.jsonl,,all poll samples
K2.5-tp4ep8dp2-8k2k,mixed_aligned,mixed_context_tokens,0,7698.11320754717,7948.0,7957.0,7973.6,45.0,7999.0,265,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/serve.log + docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/metrics.jsonl,,nearest metrics poll within 3.0s
K2.5-tp4ep8dp2-8k2k,mixed_aligned,mixed_context_tokens,1,7698.11320754717,7948.0,7957.0,7973.6,45.0,7999.0,265,docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/serve.log + docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/metrics.jsonl,,nearest metrics poll within 3.0s
