section,scenario,metric,value,target,status,note
i3_gpu_run,K2.5-tp4ep8dp2-8k2k,bench_ok_requests,128,128,pass,
i3_gpu_run,K2.5-tp4ep8dp2-8k2k,bench_failed_requests,0,0,pass,
i3_gpu_run,K2.5-tp4ep8dp2-8k2k,output_tok_s,1232.970088795945,,,
i3_gpu_run,K2.5-tp4ep8dp2-8k2k,gpu_residual_after_empty,True,,pass,
i3_gpu_run,K2.5-tp4ep8dp2-8k2k,process_residual_after_empty,True,,pass,
i3_received_counts,K2.5-tp4ep8dp2-8k2k,counts_samples,266,,,
i3_received_counts,K2.5-tp4ep8dp2-8k2k,max_waiting_per_engine,63,>=50 confirms burst,pass,
i3_received_counts,K2.5-tp4ep8dp2-8k2k,max_waiting_global,124,>=100 confirms burst,,
i3_received_counts,K2.5-tp4ep8dp2-8k2k,max_running_per_engine,57,,,
i3_received_counts,K2.5-tp4ep8dp2-8k2k,max_running_global,114,,,
i3_received_counts,K2.5-tp4ep8dp2-8k2k,max_waiting_skew,63,,,"early [[0,1],[63,1]] API view before both engines sync"
i3_received_counts,K2.5-tp4ep8dp2-8k2k,first_nonzero_counts,"[[0,1],[0,0]]",,,
i3_received_counts,K2.5-tp4ep8dp2-8k2k,first_asymmetric_burst_counts,"[[0,1],[63,1]]",,,
i3_received_counts,K2.5-tp4ep8dp2-8k2k,first_symmetric_burst_counts,"[[62,2],[62,2]]",,,
i3_received_counts,K2.5-tp4ep8dp2-8k2k,engine_visibility_debug,engine_burst_confirmed,engine_burst_confirmed,pass,
i3_iterations,K2.5-tp4ep8dp2-8k2k,iteration_rows,8049,,,
i3_iterations,K2.5-tp4ep8dp2-8k2k,iteration_rows_dp0,4025,,,
i3_iterations,K2.5-tp4ep8dp2-8k2k,iteration_rows_dp1,4024,,,
i3_iterations,K2.5-tp4ep8dp2-8k2k,ctx_step_count,132,,,
i3_iterations,K2.5-tp4ep8dp2-8k2k,mixed_step_count,130,,,
i3_iterations,K2.5-tp4ep8dp2-8k2k,decode_step_count,7913,,,
i3_iterations,K2.5-tp4ep8dp2-8k2k,mixed_decode_batch_p10,6.0,,,
i3_iterations,K2.5-tp4ep8dp2-8k2k,mixed_decode_batch_p50,32.0,,,
i3_iterations,K2.5-tp4ep8dp2-8k2k,mixed_decode_batch_p90,50.0,,,
i3_iterations,K2.5-tp4ep8dp2-8k2k,mixed_decode_batch_max,56.0,,,
i3_iterations,K2.5-tp4ep8dp2-8k2k,decode_batch_p50,20.0,,,
i3_iterations,K2.5-tp4ep8dp2-8k2k,decode_batch_max,56.0,,,
i3_observability,K2.5-tp4ep8dp2-8k2k,added_line_count,0,>0 would expose request arrival,blocked,
i3_observability,K2.5-tp4ep8dp2-8k2k,preempt_line_count,0,>0 would expose preemption,blocked,
i3_observability,K2.5-tp4ep8dp2-8k2k,victim_line_count,0,>0 would expose victim identity,blocked,
i3_observability,K2.5-tp4ep8dp2-8k2k,victim_observability,not_available,available,blocked,
i3_metrics,K2.5-tp4ep8dp2-8k2k,num_preemptions_engine0,12.0,metric counter available,,
i3_metrics,K2.5-tp4ep8dp2-8k2k,num_preemptions_engine1,12.0,metric counter available,,
i3_metrics,K2.5-tp4ep8dp2-8k2k,prompt_tokens_recomputed_engine0,0.0,0 means no recompute tokens observed,,
i3_metrics,K2.5-tp4ep8dp2-8k2k,prompt_tokens_recomputed_engine1,0.0,0 means no recompute tokens observed,,
i3_metrics,K2.5-tp4ep8dp2-8k2k,request_success_length_engine0,64.0,,,
i3_metrics,K2.5-tp4ep8dp2-8k2k,request_success_length_engine1,64.0,,,
i4_accept,K2.5-tp4ep8dp2-8k2k,runtime_patch,not_applied,,blocked,DEBUG confirms burst but does not expose victim-level decision state
i4_accept,K2.5-tp4ep8dp2-8k2k,default_aic,No-Go,,blocked,
