scenario,topology,phase,row_kind,category,bucket_tokens,decode_batch,latency_ms,sample_count,status,note,provenance
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,1,1,16.785776,5044,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,2,2,16.646688,2144,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,3,3,16.796192,3624,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,4,4,16.816032,101,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,5,5,17.423680,4,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,6,6,16.862017,3,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,8,8,17.403760,10,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,9,9,21.559856,32,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,10,10,21.306017,15,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,11,11,20.830960,4,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,12,12,20.842384,118,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,13,13,20.624096,85429,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,14,14,20.412832,94099,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,15,15,19.919231,87747,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,decode,forward_total,forward_total,16,16,19.371103,18031,blocked_duplicate_key,existing PerfDB row kept; no silent overwrite,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,6486,15,561.312408,32,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8015,15,1118.641235,16,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8078,15,671.527527,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8079,15,678.821808,8,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8093,15,672.048248,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8094,15,673.032928,12,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8103,15,674.980743,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8108,15,665.553192,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8109,15,675.491699,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8110,15,673.925262,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8111,15,673.797791,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8119,15,675.613464,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8125,15,1131.062500,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8126,15,1131.077393,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8141,15,676.362976,8,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8142,15,676.960022,8,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8208,14,680.279724,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8210,14,684.899933,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8432,13,683.668030,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8433,13,692.850769,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8549,5,698.332275,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8700,14,704.909119,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8701,14,713.168976,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8716,14,704.015350,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8717,14,713.950928,12,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8733,14,713.811798,8,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8767,2,2445.371216,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8891,13,723.951172,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8893,13,721.614624,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8945,13,1211.437927,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,8947,13,1211.461182,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9056,13,726.768402,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9065,13,734.114014,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9210,13,741.894867,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9213,13,737.195465,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9266,13,743.024658,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9275,13,742.493042,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9372,13,1005.499695,8,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9373,13,746.869507,16,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9388,13,743.417480,12,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9389,13,750.256775,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9403,13,751.029663,8,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9404,13,742.504791,8,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,9405,13,755.875305,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,14484,14,5855.418945,32,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,16078,15,1290.335571,8,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,16079,15,1288.080627,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,16412,4,1289.156311,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,16816,15,1314.064331,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,16825,15,1329.572510,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,17950,14,1396.384460,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,17960,14,1386.689148,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,18031,14,2423.638672,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,18038,14,2423.461426,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,18077,14,2410.429932,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,18078,14,1907.465210,8,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,18089,14,1403.959412,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,22482,13,6525.164307,12,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,24328,3,1903.533630,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,24854,3,2444.778687,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,30480,12,7011.966309,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,32146,3,2527.269287,8,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,32161,3,2528.898804,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,38478,11,7522.151611,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,40001,1,3141.027588,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,40145,2,3162.820068,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,40151,2,3163.996460,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,40277,2,3159.430542,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,40417,2,3181.091431,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,40501,2,3185.456421,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,40609,2,3193.743652,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,40778,3,3199.831665,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,46476,10,8011.920166,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,48144,2,8133.119629,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,48145,2,8135.776123,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,48160,2,8131.641602,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,48335,2,8149.137939,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,48402,2,8142.533936,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,48558,2,8154.573242,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,48596,2,8134.096191,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,48982,3,3831.753662,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,54474,9,4279.080566,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,55079,9,8567.170898,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,55466,9,4358.934814,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,56001,1,8620.972168,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,56009,9,4775.680664,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,56145,2,8643.276367,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,56151,2,8645.529297,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,56280,2,8651.996094,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,56418,2,8642.717285,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,56506,2,8666.276855,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,56610,2,8658.701172,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,56792,3,8669.913086,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,62472,8,9011.760254,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,64008,8,5854.459961,32,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,64857,7,9555.123047,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,64985,3,9806.435059,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,65536,1,9087.562012,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,65536,2,8143.471436,8,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,65536,3,8141.219727,12,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,65536,4,8147.369385,4,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,65536,5,8131.020996,12,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,65536,6,8647.034180,32,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,mixed_prefill,forward_total,forward_total,65536,7,7266.871826,32,already_ingested,Phase454 row already present in source PerfDB,phase454_b2b_event_step_bucket
K2.5-tp8ep8-8k2k,tp8ep8,decode,forward_total,forward_total,1,1,9.206304,16,blocked_ab_regression_missing_kv_axis,candidate retained for report; not eligible for PerfDB append in this phase,phase454_b2b_event_step_bucket
K2.5-tp8ep8-8k2k,tp8ep8,decode,forward_total,forward_total,2,2,9.192480,8,blocked_ab_regression_missing_kv_axis,candidate retained for report; not eligible for PerfDB append in this phase,phase454_b2b_event_step_bucket
K2.5-tp8ep8-8k2k,tp8ep8,decode,forward_total,forward_total,3,3,10.333648,8,blocked_ab_regression_missing_kv_axis,candidate retained for report; not eligible for PerfDB append in this phase,phase454_b2b_event_step_bucket
K2.5-tp8ep8-8k2k,tp8ep8,decode,forward_total,forward_total,4,4,10.082048,8,blocked_ab_regression_missing_kv_axis,candidate retained for report; not eligible for PerfDB append in this phase,phase454_b2b_event_step_bucket
K2.5-tp8ep8-8k2k,tp8ep8,decode,forward_total,forward_total,5,5,11.831872,8,blocked_ab_regression_missing_kv_axis,candidate retained for report; not eligible for PerfDB append in this phase,phase454_b2b_event_step_bucket
K2.5-tp8ep8-8k2k,tp8ep8,decode,forward_total,forward_total,6,6,11.899696,8,blocked_ab_regression_missing_kv_axis,candidate retained for report; not eligible for PerfDB append in this phase,phase454_b2b_event_step_bucket
K2.5-tp8ep8-8k2k,tp8ep8,decode,forward_total,forward_total,7,7,11.636432,8,blocked_ab_regression_missing_kv_axis,candidate retained for report; not eligible for PerfDB append in this phase,phase454_b2b_event_step_bucket
K2.5-tp8ep8-8k2k,tp8ep8,decode,forward_total,forward_total,8,8,11.152128,8,blocked_ab_regression_missing_kv_axis,candidate retained for report; not eligible for PerfDB append in this phase,phase454_b2b_event_step_bucket
K2.5-tp8ep8-8k2k,tp8ep8,decode,forward_total,forward_total,9,9,14.308640,8,blocked_ab_regression_missing_kv_axis,candidate retained for report; not eligible for PerfDB append in this phase,phase454_b2b_event_step_bucket
