section,scenario,side,metric,value,target,status,source,note
kv_audit,K2.5-tp4ep8dp2-8k2k,real_vs_validate,kv_cache_tokens,458128,458128,pass,docs/iter_gap_investigation/phase454_gpu_batch/recollect_dp2_8k2k/K2.5-tp4ep8dp2-8k2k/serve.log,validate_source=docs/iter_gap_investigation/phase446_b2b_event_timing/overhead_gate_20260708_075726/overhead_on/K2.5-tp4ep8dp2-8k2k/serve.log; numeric_drift=False
kv_audit,K2.5-tp4ep8dp2-32k3k,real_vs_validate,kv_cache_tokens,320800,320800,pass,docs/iter_gap_investigation/phase454_gpu_batch/recollect_dp2_32k3k/K2.5-tp4ep8dp2-32k3k/serve.log,validate_source=docs/iter_gap_investigation/phase397k_measured_0190/K2.5-tp4ep8dp2-32k3k/serve.log; numeric_drift=False
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,mixed_share,0.004825,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/serve.log,
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,mixed_ctx_p50,31990,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/serve.log,
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,mixed_batch_p50,10,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/serve.log,
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,decode_batch_p50,13,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/serve.log,
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,mixed_elapsed_p50,2428.100000,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/serve.log,
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,decode_elapsed_p50,21.100000,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/serve.log,
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,running_p50,13.000000,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/metrics.jsonl.gz,
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,running_p90,14.000000,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/metrics.jsonl.gz,
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,kv_usage_p90,0.987614,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/metrics.jsonl.gz,
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,preemptions,42.000000,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/metrics.jsonl.gz,
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,recomputed_prompt_tokens,0.000000,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/metrics.jsonl.gz,
track_a_fingerprint,K2.5-tp8ep8-32k3k,real,successful_requests_scrape_delta,506.000000,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/metrics.jsonl.gz,
track_a_fingerprint,K2.5-tp8ep8-32k3k,sim,throughput_tok_s_gpu,35.266786,,,current CBSimulator N=512 diagnostic,
track_a_fingerprint,K2.5-tp8ep8-32k3k,sim,preemptions,194.000000,,,current CBSimulator N=512 diagnostic,
track_a_fingerprint,K2.5-tp8ep8-32k3k,sim,recompute_tokens,6251983.000000,,,current CBSimulator N=512 diagnostic,
track_a_fingerprint,K2.5-tp8ep8-32k3k,sim,mixed_batch_p50,12.000000,,,current CBSimulator N=512 diagnostic,
track_a_fingerprint,K2.5-tp8ep8-32k3k,sim,running_p50,13.000000,,,current CBSimulator N=512 diagnostic,
track_a_fingerprint,K2.5-tp8ep8-32k3k,sim,avg_decode_reqs,13.102104,,,current CBSimulator N=512 diagnostic,
track_a_fingerprint,K2.5-tp8ep8-32k3k,sim,peak_decode_reqs,14.000000,,,current CBSimulator N=512 diagnostic,
track_a_cost_replay,K2.5-tp8ep8-32k3k,real_trace,mixed_wall_share,0.328501,,,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_32k3k/K2.5-tp8ep8-32k3k/serve.log,count=565
