section,scenario,topology,max_bt,phase,row_kind,source,metric,value,target,status,note
scope_family,all,tp4dp2ep8,8000,decode,category,current_perfdb,row_count,12,,topology_and_max_bt_scoped,bucket=8..52;batch=8..52;provenance=phase429_reprofile_decode_step_bucket
scope_family,all,tp4dp2ep8,8000,decode,forward_total,phase446_b2b_event_timing,row_count,56,,topology_and_max_bt_scoped,bucket=1..57;batch=1..57;provenance=phase446_b2b_event_step_bucket_peer_tagged
scope_family,all,tp4dp2ep8,8000,mixed_prefill,category,current_perfdb,row_count,103,,topology_and_max_bt_scoped,bucket=8000..8000;batch=1..34;provenance=phase429_reprofile_w0_prefill_step_bucket
scope_family,all,tp4dp2ep8,8000,mixed_prefill,forward_total,phase446_b2b_event_timing,row_count,101,,topology_and_max_bt_scoped,bucket=90..8000;batch=1..56;provenance=phase446_b2b_event_step_bucket_peer_tagged
scope_family,all,tp4dp2ep8,32000,mixed_prefill,category,current_perfdb,row_count,8,,topology_and_max_bt_scoped,bucket=32000..32000;batch=0..8;provenance=phase433_nsys_prefill_category_mean_phase436_grid
scope_family,all,tp4dp2ep8,32000,mixed_prefill,forward_total,phase446_b2b_event_timing,row_count,27,,topology_and_max_bt_scoped,bucket=13..32000;batch=1..9;provenance=phase446_b2b_event_step_bucket_peer_tagged
scope_family,all,tp4dp2ep8,65536,decode,category,phase437_serving_state_collect_candidate_0,row_count,16,,topology_and_max_bt_scoped,bucket=2..64;batch=2..64;provenance=phase437_serving_state_collect_step_bucket
scope_family,all,tp4dp2ep8,65536,mixed_prefill,category,phase437_serving_state_collect_candidate_0,row_count,15,,topology_and_max_bt_scoped,bucket=4016..64001;batch=1..16;provenance=phase437_serving_state_collect_step_bucket
scope_family,all,tp4dp2ep8,65536,mixed_prefill,forward_total,phase454_b2b_event_timing,row_count,104,,topology_and_max_bt_scoped,bucket=6486..65536;batch=1..15;provenance=phase454_b2b_event_step_bucket
six_point_scope_audit,K2.5-tp8ep8-8k2k,tp8ep8,8000,,,,query_hits,0,exact topology + max_bt,pass,misses=1746;table_missing=1746
six_point_scope_audit,K2.5-tp8ep8-32k3k,tp8ep8,32000,,,,query_hits,0,exact topology + max_bt,pass,misses=996;table_missing=996
six_point_scope_audit,K2.5-tp4ep8dp2-8k2k,tp4dp2ep8,8000,,,,query_hits,150,exact topology + max_bt,pass,misses=252;bucket_below_range=152;decode_batch_above_range=2;decode_batch_below_range=16;hit=150;interpolation_gap=35;table_missing=47
six_point_scope_audit,K2.5-tp4ep8dp2-32k3k,tp4dp2ep8,32000,,,,query_hits,24,exact topology + max_bt,pass,misses=288;bucket_below_range=100;decode_batch_below_range=15;hit=24;interpolation_gap=10;table_missing=163
six_point_scope_audit,K2.5-tp8ep8-8k2k-bt65536,tp8ep8,65536,,,,query_hits,0,exact topology + max_bt,pass,misses=1092;table_missing=1092
six_point_scope_audit,K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,65536,,,,query_hits,41,exact topology + max_bt,pass,misses=923;bucket_above_range=12;bucket_below_range=9;decode_batch_above_range=3;decode_batch_below_range=73;hit=41;interpolation_gap=511;table_missing=315
modal_replay,K2.5-tp4ep8dp2-32k3k,tp4dp2ep8,32000,mixed_prefill,forward_total,docs/iter_gap_investigation/phase454_gpu_batch/recollect_dp2_32k3k/K2.5-tp4ep8dp2-32k3k/serve.log,modal_mixed_sim_over_real,0.999842,0.85..1.15,pass,"modal=IterationStep(engine='1', iteration=8, ctx_requests=2, ctx_tokens=31994, generation_requests=6, generation_tokens=6, elapsed_ms=4716.87); wall_replay_factor=0.782118"
modal_replay,K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,65536,mixed_prefill,forward_total,docs/iter_gap_investigation/phase458_n512_unify/recollect_dp2_8k2k_bt65536/K2.5-tp4ep8dp2-8k2k-bt65536/serve.log,modal_mixed_sim_over_real,0.501723,0.85..1.15,fail,"modal=IterationStep(engine='0', iteration=6005, ctx_requests=1, ctx_tokens=6471, generation_requests=15, generation_tokens=15, elapsed_ms=1118.77); wall_replay_factor=0.657808"
dp2_bt_dynamics,K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,65536,,,,large_mixed_sim_over_real,0.966027,0.85..1.15,pass,"large_step=IterationStep(engine='0', iteration=2002, ctx_requests=9, ctx_tokens=65529, generation_requests=7, generation_tokens=7, elapsed_ms=7522.43);sim_ms=7266.872"
dp2_bt_dynamics,K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,65536,,,docs/iter_gap_investigation/phase454_gpu_batch_scope/b2b_dp2_8k2k_bt65536,rank_median_spread,8.514562,<=1.5 for scalar-row sufficiency,fail,"cell=6486/15;medians={'0': 561.0168762207031, '1': 4776.813232421875};verdict=dp_phase_lockstep_not_scalar_row_gap"
dp2_bt_dynamics,K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,65536,,,,same_run_modal_sim_over_real,0.501602,0.85..1.15,fail,same ISL/topology/max_bt; cross-run drift is not the cause
spike_crosscheck,K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,65536,,,docs/iter_gap_investigation/phase454_gpu_batch_scope/b2b_dp2_8k2k_bt65536,busy_over_wall,0.999684,0.90..1.10,pass,cell=14484/14;event_n=32;wall_n=8;busy_median=5855.419;wall_median=5857.270
schema_decision,K2.5-tp4ep8dp2-8k2k-bt65536,tp4dp2ep8,65536,,,,isl_band,reject_isl_band_no_causal_evidence,add only with causal evidence,rejected,observed_isls=[8000]; mismatch already occurs within the same run
gpu_manifest,mla_decode_grid,,,,,kernel_microbench,decision,collect,,finalized,"coverage=heads8; batch=8,16; KV=16384,32768,65536; >=3 repeats;reason=replace confirmed SILICON bad row without smoothing"
gpu_manifest,tp8_bt65536_mixed,,,,,serving_state_window,decision,collect,,finalized,coverage=tp8ep8/max_bt65536 mixed working set;reason=no TP8 serving-state rows exist for this regime
gpu_manifest,tp8_32k3k_mixed,,,,,serving_state_window,decision,collect,,finalized,coverage=tp8ep8/max_bt32000 mixed working set;reason=decode bad-row fix exposes the measured mixed undercharge
gpu_manifest,dp2_32k3k_mixed,,,,,serving_state_window,decision,skip,,finalized,coverage=tp4dp2ep8/max_bt32000 mixed working set;reason=existing modal sim/real=0.9998
gpu_manifest,dp2_bt65536_mixed,,,,,paired_rank_event_plus_iteration_wall,decision,collect_diagnostic_repeat,,finalized,coverage=14484/14 spike; modal rank-conditioned cells; both DP ranks;reason=modal sim/real=0.5017; rank spread=8.51x; spike_reachable=True; diagnostic only until lockstep semantics are resolved
