section,scenario,bucket_tokens,decode_batch,query_count,sim_wall_ms,wall_weight,real_samples,real_wall_median_ms,classification,decision,projected_coverage,metric,value,target,status,note
summary,K2.5-tp8ep8-32k3k,,,,,,,,,,,query_count,708,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-32k3k,,,,,,,,,,,uncovered_query_count,53,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-32k3k,,,,,,,,,,,query_coverage_ratio,0.9251412429378532,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-32k3k,,,,,,,,,,,wall_coverage_ratio,0.9942564387758894,>=0.95,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-32k3k,,,,,,,,,,,attainable_coverage,0.994256438776,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-32k3k,,,,,,,,,,,real_observed_uncovered_cells,0,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-32k3k,,,,,,,,,,,sim_only_reference_cells,46,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-32k3k,,,,,,,,,,,collect_anchor_targets,0,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-32k3k,,,,,,,,,,,sim_only_wall_weight,0.0057435612241146326,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-32k3k,,,,,,,,,,,next_action,anchor_calibration_only,,pass,weight=query frequency x current sim iteration wall
cell,K2.5-tp8ep8-32k3k,70,12,3,181.9571799280862,0.00026973173921632725,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,78,12,2,122.45774267285998,0.00018153029149336407,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,69,12,2,121.74278946716929,0.0001804704510863768,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,62,12,2,121.28197392383343,0.00017978734213727667,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,40,12,2,112.61005586667778,0.00016693216631611627,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,952,12,1,104.85353574082006,0.00015543396841790236,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,24,12,2,103.22114173665221,0.00015301412175944943,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,836,12,1,100.14813831242975,0.00014845872824015632,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,820,12,1,99.69855322243492,0.0001477922672173049,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,804,12,1,98.78635428222897,0.00014644003145089938,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,798,12,1,98.53101977656632,0.0001460615258029137,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,758,12,1,97.16187415484828,0.00014403191625448925,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,754,12,1,97.00628618430099,0.00014380127400166116,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,743,12,1,96.57841926529596,0.00014316700780638396,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,723,12,1,95.80047941255957,0.00014201379654224362,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,704,12,1,95.5240504026711,0.00014160402058486433,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,689,12,1,94.94059551311878,0.00014073911213675905,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,698,12,1,94.5967476715335,0.00014022939509029112,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,679,12,1,94.32031866164503,0.00013981961913291183,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,671,12,1,94.00914272055047,0.0001393583346272557,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,674,12,1,93.66321984824982,0.0001388455415733227,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,612,12,1,91.94552708008365,0.00013629924876981867,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,590,12,1,90.83535589241451,0.00013465354066752669,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,563,12,1,89.39469284518657,0.0001325179143102317,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,478,12,1,86.00632043189154,0.0001274950205474689,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,388,12,1,82.5586367633894,0.00012238420429641278,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,282,12,1,75.24058307524382,0.00011153598522771703,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,248,12,1,72.33571966970695,0.000107229841008121,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,195,12,1,69.24336509850818,0.00010264576151704149,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,79,12,1,61.51420965744253,9.118812878929787e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,76,12,1,61.35211546972159,9.094784177678147e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,84,12,1,61.31953717500815,9.08995479963589e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,81,12,1,61.15910469610584,9.066172428652667e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,80,12,1,61.1056272031384,9.058244971658258e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,71,12,1,60.85745458116632,9.021456078262098e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,75,12,1,60.60416329849795,8.983908399061159e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,65,12,1,60.55231465076295,8.976222400665765e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,56,12,1,59.45570703209208,8.81366224209501e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,57,12,1,59.43994886844516,8.811326265636693e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,50,12,1,58.393721388445854,8.656234414956407e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,41,12,1,56.51345436363462,8.377505268355055e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,72,13,1,55.78423410756157,8.269406292530028e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,36,12,1,55.24983079722654,8.190186811113246e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,38,12,1,55.194254297430774,8.181948199174222e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,37,12,1,54.98582786713504,8.151051246624981e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-32k3k,58,13,1,54.593067644321025,8.092828813173063e-05,0,,sim_only_for_phase458_reference,phase462_dynamics,0.994256438776,,,,triaged,exact Phase458 reference-cell match only
summary,K2.5-tp8ep8-8k2k-bt65536,,,,,,,,,,,query_count,185,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-8k2k-bt65536,,,,,,,,,,,uncovered_query_count,128,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-8k2k-bt65536,,,,,,,,,,,query_coverage_ratio,0.3081081081081081,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-8k2k-bt65536,,,,,,,,,,,wall_coverage_ratio,0.5785015853259455,>=0.95,fail,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-8k2k-bt65536,,,,,,,,,,,attainable_coverage,0.578501585326,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-8k2k-bt65536,,,,,,,,,,,real_observed_uncovered_cells,0,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-8k2k-bt65536,,,,,,,,,,,sim_only_reference_cells,119,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-8k2k-bt65536,,,,,,,,,,,collect_anchor_targets,0,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-8k2k-bt65536,,,,,,,,,,,sim_only_wall_weight,0.42149841467405463,,pass,weight=query frequency x current sim iteration wall
summary,K2.5-tp8ep8-8k2k-bt65536,,,,,,,,,,,next_action,phase462_dynamics_first,,pass,weight=query frequency x current sim iteration wall
cell,K2.5-tp8ep8-8k2k-bt65536,64153,28,1,1692.059765886272,0.012726152227467862,0,,sim_only_for_phase458_reference,phase462_dynamics,0.578501585326,,,,triaged,exact Phase458 reference-cell match only
cell,K2.5-tp8ep8-8k2k-bt65536,60458,34,1,1596.051758005763,0.012004066313024215,0,,sim_only_for_phase458_reference,phase462_dynamics,0.578501585326,,,,triaged,exact Phase458 reference-cell match only
