request_id,kind,occurrence,real_step,sim_step,lag
0,new,1,1,2,1
1,new,1,3,3,0
2,new,1,4,4,0
3,new,1,5,5,0
4,new,1,6,6,0
5,new,1,7,7,0
6,new,1,8,8,0
7,new,1,9,9,0
8,new,1,10,10,0
9,new,1,11,11,0
10,new,1,12,12,0
11,new,1,13,13,0
12,new,1,14,14,0
13,new,1,15,15,0
13,resume,2,1202,1203,1
14,new,1,1205,1205,0
15,new,1,1206,1206,0
16,new,1,1207,1207,0
17,new,1,1208,1208,0
18,new,1,1209,1209,0
19,new,1,1210,1210,0
20,new,1,1211,1211,0
21,new,1,1212,1212,0
22,new,1,1213,1213,0
23,new,1,1214,1214,0
24,new,1,1215,1215,0
25,new,1,1216,1216,0
26,new,1,1217,1217,0
27,new,1,1476,1477,1
27,resume,2,2407,2407,0
28,new,1,2408,2408,0
29,new,1,2409,2409,0
30,new,1,2410,2410,0
31,new,1,2411,2411,0
32,new,1,2412,2412,0
33,new,1,2413,2413,0
34,new,1,2414,2414,0
35,new,1,2415,2415,0
36,new,1,2416,2416,0
37,new,1,2417,2417,0
38,new,1,2418,2418,0
39,new,1,2419,2419,0
40,new,1,2420,2420,0
41,new,1,2919,2920,1
41,resume,2,3610,3610,0
42,new,1,3611,3611,0
43,new,1,3612,3612,0
44,new,1,3613,3613,0
45,new,1,3614,3614,0
46,new,1,3615,3615,0
47,new,1,3616,3616,0
48,new,1,3617,3617,0
49,new,1,3618,3618,0
50,new,1,3619,3619,0
51,new,1,3620,3620,0
52,new,1,3621,3621,0
53,new,1,3622,3622,0
54,new,1,3623,3623,0
55,new,1,4345,4346,1
55,resume,2,4813,4813,0
56,new,1,4814,4814,0
57,new,1,4815,4815,0
58,new,1,4816,4816,0
59,new,1,4817,4817,0
60,new,1,4818,4818,0
61,new,1,4819,4819,0
62,new,1,4820,4820,0
63,new,1,4821,4821,0
64,new,1,4822,4822,0
65,new,1,4823,4823,0
66,new,1,4824,4824,0
67,new,1,4825,4825,0
68,new,1,4826,4826,0
68,resume,2,5755,5756,1
69,new,1,5756,5757,1
69,resume,2,6016,6016,0
70,new,1,6017,6017,0
71,new,1,6018,6018,0
72,new,1,6019,6019,0
73,new,1,6020,6020,0
74,new,1,6021,6021,0
75,new,1,6022,6022,0
76,new,1,6023,6023,0
77,new,1,6024,6024,0
78,new,1,6025,6025,0
79,new,1,6026,6026,0
80,new,1,6027,6027,0
81,new,1,6028,6028,0
82,new,1,6047,6048,1
82,resume,2,7150,7151,1
83,new,1,7219,7219,0
84,new,1,7220,7220,0
85,new,1,7221,7221,0
86,new,1,7222,7222,0
87,new,1,7223,7223,0
88,new,1,7224,7224,0
89,new,1,7225,7225,0
90,new,1,7226,7226,0
91,new,1,7227,7227,0
92,new,1,7228,7228,0
93,new,1,7229,7229,0
94,new,1,7230,7230,0
95,new,1,7231,7231,0
96,new,1,7445,7447,2
96,resume,2,8421,8421,0
97,new,1,8422,8422,0
98,new,1,8423,8423,0
99,new,1,8424,8424,0
100,new,1,8425,8425,0
101,new,1,8426,8426,0
102,new,1,8427,8427,0
103,new,1,8428,8428,0
104,new,1,8429,8429,0
105,new,1,8430,8430,0
106,new,1,8431,8431,0
107,new,1,8432,8432,0
108,new,1,8433,8433,0
109,new,1,8434,8434,0
110,new,1,8893,8895,2
110,resume,2,9624,9624,0
111,new,1,9625,9625,0
112,new,1,9626,9626,0
113,new,1,9627,9627,0
114,new,1,9628,9628,0
115,new,1,9629,9629,0
116,new,1,9630,9630,0
117,new,1,9631,9631,0
118,new,1,9632,9632,0
119,new,1,9633,9633,0
120,new,1,9634,9634,0
121,new,1,9635,9635,0
122,new,1,9636,9636,0
123,new,1,9637,9637,0
124,new,1,10324,10326,2
124,resume,2,10827,10827,0
125,new,1,10828,10828,0
126,new,1,10829,10829,0
127,new,1,10830,10830,0
