section,scenario,metric,value,unit,status,note
gate,all,four_boundary_pairing,1024,requests,pass,expected=1024
gate,8k2k,logging_overhead,0.13813215766346157,percent,pass,off=985.319304432001; on=983.9582616169145; limit=2.0
gate,32k3k,logging_overhead,0.051521670729741224,percent,pass,off=266.0845800769434; on=266.22167129815324; limit=2.0
hygiene,all,source_restored_8k2k,True,,pass,
hygiene,all,source_restored_32k3k,True,,pass,
hygiene,all,gpu_residual_empty,True,,pass,
hygiene,all,process_residual_empty,True,,pass,
hygiene,all,diagnostic_boundary,True,,pass,
scenario_summary,32k3k,paired_requests,512,requests,,
scenario_summary,32k3k,tokenizer_batches,390,batches,,
scenario_summary,32k3k,batch_size_median,1.0,requests,,
scenario_summary,32k3k,batch_size_max,32,requests,,
scenario_summary,32k3k,tokenizer_service_ms_median,30.246565,ms,,
scenario_summary,32k3k,tokenizer_service_ms_p90,33.019116,ms,,
scenario_summary,32k3k,queue_wait_ms_median,2.1035855000000003,ms,,
scenario_summary,32k3k,queue_wait_ms_p90,2028.779056,ms,,
scenario_summary,32k3k,engine_receive_ms_median,2406.0525675,ms,,
scenario_summary,32k3k,engine_receive_ms_p90,2423.60204,ms,,
scenario_summary,32k3k,first_schedule_ms_median,503644.802592,ms,,
scenario_summary,32k3k,first_schedule_ms_p90,531589.165402,ms,,
scenario_summary,32k3k,total_visible_ms_median,506092.30135900003,ms,,
scenario_summary,32k3k,total_visible_ms_p90,534029.373301,ms,,
scenario_summary,32k3k,scheduled_steps_per_batch_median,1.0,steps,,
scenario_summary,32k3k,scheduled_steps_per_batch_max,32,steps,,
scenario_summary,32k3k,new_context_count_median,0.0,requests_per_step,,
scenario_summary,32k3k,new_context_count_max,1,requests_per_step,,
scenario_summary,32k3k,waiting_before_median,114.0,requests,,
scenario_summary,32k3k,waiting_before_max,125,requests,,
tokenizer_batch_group,32k3k,batch_size_1_batch_count,385,batches,,total_prompt_tokens=32000
tokenizer_batch_group,32k3k,batch_size_1_tokenizer_service_ms_median,30.237856,ms,,total_prompt_tokens=32000
tokenizer_batch_group,32k3k,batch_size_1_tokenizer_service_ms_p90,32.872895,ms,,total_prompt_tokens=32000
tokenizer_batch_group,32k3k,batch_size_1_scheduled_steps_median,1,steps,,total_prompt_tokens=32000
tokenizer_batch_group,32k3k,batch_size_1_scheduled_steps_max,1,steps,,total_prompt_tokens=32000
tokenizer_batch_group,32k3k,batch_size_2_batch_count,1,batches,,total_prompt_tokens=64000
tokenizer_batch_group,32k3k,batch_size_2_tokenizer_service_ms_median,58.026332,ms,,total_prompt_tokens=64000
tokenizer_batch_group,32k3k,batch_size_2_tokenizer_service_ms_p90,58.026332,ms,,total_prompt_tokens=64000
tokenizer_batch_group,32k3k,batch_size_2_scheduled_steps_median,2,steps,,total_prompt_tokens=64000
tokenizer_batch_group,32k3k,batch_size_2_scheduled_steps_max,2,steps,,total_prompt_tokens=64000
tokenizer_batch_group,32k3k,batch_size_29_batch_count,1,batches,,total_prompt_tokens=928000
tokenizer_batch_group,32k3k,batch_size_29_tokenizer_service_ms_median,943.132307,ms,,total_prompt_tokens=928000
tokenizer_batch_group,32k3k,batch_size_29_tokenizer_service_ms_p90,943.132307,ms,,total_prompt_tokens=928000
tokenizer_batch_group,32k3k,batch_size_29_scheduled_steps_median,29,steps,,total_prompt_tokens=928000
tokenizer_batch_group,32k3k,batch_size_29_scheduled_steps_max,29,steps,,total_prompt_tokens=928000
tokenizer_batch_group,32k3k,batch_size_32_batch_count,3,batches,,total_prompt_tokens=1024000
tokenizer_batch_group,32k3k,batch_size_32_tokenizer_service_ms_median,1027.194488,ms,,total_prompt_tokens=1024000
tokenizer_batch_group,32k3k,batch_size_32_tokenizer_service_ms_p90,1031.050053,ms,,total_prompt_tokens=1024000
tokenizer_batch_group,32k3k,batch_size_32_scheduled_steps_median,32,steps,,total_prompt_tokens=1024000
tokenizer_batch_group,32k3k,batch_size_32_scheduled_steps_max,32,steps,,total_prompt_tokens=1024000
scenario_summary,8k2k,paired_requests,512,requests,,
scenario_summary,8k2k,tokenizer_batches,390,batches,,
scenario_summary,8k2k,batch_size_median,1.0,requests,,
scenario_summary,8k2k,batch_size_max,32,requests,,
scenario_summary,8k2k,tokenizer_service_ms_median,8.182,ms,,
scenario_summary,8k2k,tokenizer_service_ms_p90,8.760872,ms,,
scenario_summary,8k2k,queue_wait_ms_median,2.0967605000000002,ms,,
scenario_summary,8k2k,queue_wait_ms_p90,481.529099,ms,,
scenario_summary,8k2k,engine_receive_ms_median,595.8000585,ms,,
scenario_summary,8k2k,engine_receive_ms_p90,600.748809,ms,,
scenario_summary,8k2k,first_schedule_ms_median,78224.15117550001,ms,,
scenario_summary,8k2k,first_schedule_ms_p90,84799.196192,ms,,
scenario_summary,8k2k,total_visible_ms_median,78830.228428,ms,,
scenario_summary,8k2k,total_visible_ms_p90,85171.126898,ms,,
