section,metric,value,target,status,note
request_27,release_input_lag,1,>0,pass,
request_27,target_admit_lag,1,1,pass,
request_27,probe_phase_lag,1,1,pass,
request_27,aligned_computed,31987/31987,equal,pass,
request_124,release_input_lag,2,>0,pass,
request_124,target_admit_lag,2,2,pass,
request_124,probe_phase_lag,2,2,pass,
request_124,aligned_computed,31987/31987,equal,pass,
verdict,status,blocked_completion_counter_hypothesis_refuted,,blocked,
boundary,diagnostic_only,True,,,
boundary,valid_for_default,False,,,
boundary,perf_database,False,,,
boundary,default_aic,No-Go,,,
