section,name,metric,value,note
dp_control,single_N384_W128,topology,single,
dp_control,single_N384_W128,num_requests,384,
dp_control,single_N384_W128,warmup_requests,128,
dp_control,single_N384_W128,sim_tok_s_gpu,131.404059008,
dp_control,single_N384_W128,error_ratio,1.200038049,
dp_control,single_N384_W128,total_iterations,55476,
dp_control,single_N384_W128,steady_iterations,36664,
dp_control,single_N384_W128,steady_time_ms,952419.209455615,
dp_control,single_N384_W128,serving_hits,37,
dp_control,single_N384_W128,serving_queries,918,
dp_control,single_N192_W64,topology,single,
dp_control,single_N192_W64,num_requests,192,
dp_control,single_N192_W64,warmup_requests,64,
dp_control,single_N192_W64,sim_tok_s_gpu,123.538026443,
dp_control,single_N192_W64,error_ratio,1.128202077,
dp_control,single_N192_W64,total_iterations,28001,
dp_control,single_N192_W64,steady_iterations,17995,
dp_control,single_N192_W64,steady_time_ms,489547.645703817,
dp_control,single_N192_W64,serving_hits,19,
dp_control,single_N192_W64,serving_queries,555,
dp_control,multi_N384_W128_O0,topology,multi,
dp_control,multi_N384_W128_O0,num_requests,384,
dp_control,multi_N384_W128_O0,warmup_requests,128,
dp_control,multi_N384_W128_O0,sim_tok_s_gpu,119.305385024,
dp_control,multi_N384_W128_O0,error_ratio,1.089547786,
dp_control,multi_N384_W128_O0,total_iterations,56002,
dp_control,multi_N384_W128_O0,steady_iterations,17615,
dp_control,multi_N384_W128_O0,steady_time_ms,262211.550582341,
dp_control,multi_N384_W128_O0,serving_hits,19,
dp_control,multi_N384_W128_O0,serving_queries,537,
dp_control,multi_N768_W128,topology,multi,
dp_control,multi_N768_W128,num_requests,768,
dp_control,multi_N768_W128,warmup_requests,128,
dp_control,multi_N768_W128,sim_tok_s_gpu,130.120645276,
dp_control,multi_N768_W128,error_ratio,1.188317366,
dp_control,multi_N768_W128,total_iterations,110698,
dp_control,multi_N768_W128,steady_iterations,72002,
dp_control,multi_N768_W128,steady_time_ms,978492.880430689,
dp_control,multi_N768_W128,serving_hits,33,
dp_control,multi_N768_W128,serving_queries,925,
dp_control,multi_N768_W256_matched,topology,multi,
dp_control,multi_N768_W256_matched,num_requests,768,
dp_control,multi_N768_W256_matched,warmup_requests,256,
dp_control,multi_N768_W256_matched,sim_tok_s_gpu,134.079824502,
dp_control,multi_N768_W256_matched,error_ratio,1.224474284,
dp_control,multi_N768_W256_matched,total_iterations,110698,
dp_control,multi_N768_W256_matched,steady_iterations,54387,
dp_control,multi_N768_W256_matched,steady_time_ms,716281.329848348,
dp_control,multi_N768_W256_matched,serving_hits,33,
dp_control,multi_N768_W256_matched,serving_queries,925,
dp_attribution,per_replica_observation_horizon,delta_error,-0.071835973,single_N384_W128->single_N192_W64
