section,name,metric,value
real,K2.5-tp4ep8dp2-8k2k-bt65536,num_prompts_global,512
real,K2.5-tp4ep8dp2-8k2k-bt65536,warmup_requests,0
real,K2.5-tp4ep8dp2-8k2k-bt65536,total_completion_tokens,1024000
real,K2.5-tp4ep8dp2-8k2k-bt65536,wall_ms,1168950.7269114256
real,K2.5-tp4ep8dp2-8k2k-bt65536,output_tok_s_global,875.9992841662274
real,K2.5-tp4ep8dp2-8k2k-bt65536,output_tok_s_gpu,109.49991052077843
sim,official_N384_W128,num_requests_per_replica,384
sim,official_N384_W128,warmup_requests_per_replica,128
sim,official_N384_W128,steady_output_tok_s_gpu,131.40405900835864
sim,official_N384_W128,steady_error_ratio,1.2000380491947868
sim,official_N384_W128,full_output_tok_s_gpu,128.55275907427026
sim,official_N384_W128,full_error_ratio,1.1739987591120125
sim,official_N384_W128,decode_only_full_output_tok_s_gpu,128.48848269473314
sim,official_N384_W128,completed_requests,384
sim,official_N384_W128,full_wall_ms,1493550.2075772143
sim,real_size_symmetric_N256_W0,num_requests_per_replica,256
sim,real_size_symmetric_N256_W0,warmup_requests_per_replica,0
sim,real_size_symmetric_N256_W0,steady_output_tok_s_gpu,127.40188453727532
sim,real_size_symmetric_N256_W0,steady_error_ratio,1.163488480779168
sim,real_size_symmetric_N256_W0,full_output_tok_s_gpu,127.46405559488689
sim,real_size_symmetric_N256_W0,full_error_ratio,1.164056253458761
sim,real_size_symmetric_N256_W0,decode_only_full_output_tok_s_gpu,127.40032356708944
sim,real_size_symmetric_N256_W0,completed_requests,256
sim,real_size_symmetric_N256_W0,full_wall_ms,1004204.6708980959
verdict,definition,value,measurement_fidelity_bug
boundary,runtime,changed,False
boundary,perfdb,changed,False
boundary,gate,changed,False
