section,scenario,metric,value,target,status,source,note
common_root,K2.5-tp8ep8-8k2k-bt65536,num_requests,384,,protocol_match,phase461_step4_cell_triage.py,matches the simulation protocol that produced the sim-only cell list
common_root,K2.5-tp8ep8-8k2k-bt65536,sim_preemptions,170,,informational,phase461 Step4a-2 protocol replay,same run used for recompute-token attribution
common_root,K2.5-tp8ep8-8k2k-bt65536,mixed_wall_ms,132959.25867004527,,informational,phase461 Step4a-2 protocol replay + phase461_step4_cell_triage.csv,request num_preemptions marks recompute prefill tokens; no runtime mutation
common_root,K2.5-tp8ep8-8k2k-bt65536,sim_only_wall_ms,56042.11674566163,,informational,phase461 Step4a-2 protocol replay + phase461_step4_cell_triage.csv,request num_preemptions marks recompute prefill tokens; no runtime mutation
common_root,K2.5-tp8ep8-8k2k-bt65536,sim_only_wall_share,0.42149841467405463,,informational,phase461 Step4a-2 protocol replay + phase461_step4_cell_triage.csv,request num_preemptions marks recompute prefill tokens; no runtime mutation
common_root,K2.5-tp8ep8-8k2k-bt65536,recompute_associated_sim_only_wall_ms,47867.650458190925,,informational,phase461 Step4a-2 protocol replay + phase461_step4_cell_triage.csv,request num_preemptions marks recompute prefill tokens; no runtime mutation
common_root,K2.5-tp8ep8-8k2k-bt65536,recompute_associated_sim_only_wall_share,0.8541370889938144,>=0.7,informational,phase461 Step4a-2 protocol replay + phase461_step4_cell_triage.csv,request num_preemptions marks recompute prefill tokens; no runtime mutation
common_root,K2.5-tp8ep8-8k2k-bt65536,recompute_token_share_in_sim_only,0.7610829460728433,,informational,phase461 Step4a-2 protocol replay + phase461_step4_cell_triage.csv,request num_preemptions marks recompute prefill tokens; no runtime mutation
common_root,K2.5-tp8ep8-8k2k-bt65536,verdict,preemption_recompute_common_root_supported,,pass,phase461 Step4a-2 protocol replay + phase461_step4_cell_triage.csv,request num_preemptions marks recompute prefill tokens; no runtime mutation
preemption_panorama,K2.5-tp8ep8-8k2k,real_preemptions,111.0,,informational,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_8k2k/K2.5-tp8ep8-8k2k/metrics.jsonl.gz,real=first/last metrics counter delta; sim=current N=512 diagnostic run
preemption_panorama,K2.5-tp8ep8-8k2k,sim_preemptions,186.0,,informational,docs/iter_gap_investigation/phase458_n512_unify/recollect_tp8_8k2k/K2.5-tp8ep8-8k2k/metrics.jsonl.gz,real=first/last metrics counter delta; sim=current N=512 diagnostic run
