section,metric,value,target,status,note
failure_set,pure_parent_vs_current,458/458,added=0,pass,added=0; removed=0
failure_set,equivalent_worktree_parent_vs_current,457/457,added=0,pass,added=0; removed=0; sha256=f054bf36d32fe18d4a7ed50f2195dfb5fcd0ee11663816b28b404bf8ea1df378
oracle,first_divergence,,none,pass,aligned=12031; real=12032; sim=12031
oracle,self_preemptions,0,0,pass,
self_preemption,step_2167,predictive_completion_boundary_phase_lag,first_divergence_verdict,same_root,"{""behavior"": ""same_step_same_victim_trigger_attribution_only"", ""causal_boundary_step"": 1476, ""first_phase_divergence_step"": 1477, ""phase_lag_tokens"": 1, ""real_preemption_step"": 2167, ""real_trigger"": 14, ""reconverged_step"": 2168, ""request_id"": 27, ""root_cause"": ""predictive_completion_boundary_phase_lag"", ""running_order_equal"": true, ""same_victim"": true, ""sim_step"": 2167, ""sim_trigger"": 27}"
self_preemption,step_10616,predictive_completion_boundary_phase_lag,first_divergence_verdict,same_root,"{""behavior"": ""one_step_preemption_displacement"", ""causal_boundary_step"": 10324, ""first_phase_divergence_step"": 10325, ""phase_lag_tokens"": 2, ""real_preemption_step"": 10615, ""real_trigger"": 123, ""reconverged_step"": 10617, ""request_id"": 124, ""root_cause"": ""predictive_completion_boundary_phase_lag"", ""running_order_equal"": true, ""same_victim"": true, ""sim_step"": 10616, ""sim_trigger"": 124}"
decision,step2c4,blocked_predictive_completion_boundary_model_gap,steady_self_preemptions=0,blocked,propose_predictive_completion_boundary_fix_separately
decision,gate_change_allowed,False,False,pass,real/oracle evidence has zero self-preemptions
decision,stop_loss_triggered,False,False,pass,2167 and 10616 share one completion-boundary root
boundary,diagnostic_only,True,,pass,
boundary,valid_for_default,False,,pass,
boundary,perf_database,False,,pass,
boundary,default_aic,No-Go,,pass,
boundary,ab_allowed,False,,pass,
failure_id,item_001,tests.e2e.cli.test_cli_build_default::test_cli_default_build_subset[case0],,historical_unresolved,
failure_id,item_002,tests.e2e.cli.test_cli_build_default::test_cli_default_build_subset[case1],,historical_unresolved,
failure_id,item_003,tests.e2e.cli.test_cli_build_default::test_cli_default_build_subset[case2],,historical_unresolved,
failure_id,item_004,tests.e2e.cli.test_cli_build_default::test_cli_default_build_subset[case3],,historical_unresolved,
failure_id,item_005,tests.e2e.cli.test_cli_build_default::test_cli_default_build_subset[case4],,historical_unresolved,
failure_id,item_006,tests.e2e.cli.test_cli_build_default::test_cli_default_build_subset[case5],,historical_unresolved,
failure_id,item_007,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-Qwen/Qwen2.5-1.5B],,historical_unresolved,
failure_id,item_008,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-Qwen/Qwen2.5-32B],,historical_unresolved,
failure_id,item_009,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-Qwen/Qwen2.5-72B],,historical_unresolved,
failure_id,item_010,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-Qwen/Qwen2.5-7B],,historical_unresolved,
