scenario,entry_index,workload,total_ms,registered_charge_ms,valid_charge_ms,missing_source_charge_ms,unknown_source_charge_ms,unapproved_source_charge_ms,reconciliation_delta_ms,missing_details,unknown_details,unapproved_details,status
K2.5-tp8ep8-8k2k,0,"{""decode_batch_size"":0,""decode_kv_len"":0,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":8000,""total_tokens"":8000}",183.20835133085475,183.20835133085475,183.20835133085475,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,1,"{""decode_batch_size"":1,""decode_kv_len"":8192,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":7999,""total_tokens"":8000}",306.1673934225679,306.1673934225679,306.1673934225679,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,2,"{""decode_batch_size"":1,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7999,""total_tokens"":8000}",306.1673934225679,306.1673934225679,306.1673934225679,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,3,"{""decode_batch_size"":2,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7998,""total_tokens"":8000}",305.3541450385512,305.3541450385512,305.3541450385512,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,4,"{""decode_batch_size"":3,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7997,""total_tokens"":8000}",305.68778308684676,305.68778308684676,305.68778308684676,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,5,"{""decode_batch_size"":4,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7996,""total_tokens"":8000}",306.02142113514225,306.02142113514225,306.02142113514225,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,6,"{""decode_batch_size"":5,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7995,""total_tokens"":8000}",306.0358635507031,306.0358635507031,306.0358635507031,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,7,"{""decode_batch_size"":6,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7994,""total_tokens"":8000}",306.05030596626403,306.05030596626403,306.05030596626403,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,8,"{""decode_batch_size"":7,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7993,""total_tokens"":8000}",306.0647483818249,306.0647483818249,306.0647483818249,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,9,"{""decode_batch_size"":8,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7992,""total_tokens"":8000}",306.07919079738576,306.07919079738576,306.07919079738576,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,10,"{""decode_batch_size"":9,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7991,""total_tokens"":8000}",306.209940597923,306.209940597923,306.209940597923,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,11,"{""decode_batch_size"":10,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7990,""total_tokens"":8000}",306.3406903984602,306.3406903984602,306.3406903984602,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,12,"{""decode_batch_size"":11,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7989,""total_tokens"":8000}",306.4714401989974,306.4714401989974,306.4714401989974,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,13,"{""decode_batch_size"":12,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7988,""total_tokens"":8000}",306.6021899995346,306.6021899995346,306.6021899995346,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,14,"{""decode_batch_size"":13,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7987,""total_tokens"":8000}",306.73293980007185,306.73293980007185,306.73293980007185,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,15,"{""decode_batch_size"":14,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7986,""total_tokens"":8000}",306.863689600609,306.863689600609,306.863689600609,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,16,"{""decode_batch_size"":15,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7985,""total_tokens"":8000}",306.99443940114617,306.99443940114617,306.99443940114617,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,17,"{""decode_batch_size"":16,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7984,""total_tokens"":8000}",307.1251892016833,307.1251892016833,307.1251892016833,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,18,"{""decode_batch_size"":17,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7983,""total_tokens"":8000}",307.297656746526,307.297656746526,307.297656746526,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,19,"{""decode_batch_size"":18,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7982,""total_tokens"":8000}",307.47012429136856,307.47012429136856,307.47012429136856,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,20,"{""decode_batch_size"":19,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7981,""total_tokens"":8000}",307.6425918362112,307.6425918362112,307.6425918362112,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,21,"{""decode_batch_size"":20,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7980,""total_tokens"":8000}",307.8150593810538,307.8150593810538,307.8150593810538,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,22,"{""decode_batch_size"":21,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7979,""total_tokens"":8000}",307.9875269258964,307.9875269258964,307.9875269258964,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,23,"{""decode_batch_size"":22,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7978,""total_tokens"":8000}",308.159994470739,308.159994470739,308.159994470739,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,24,"{""decode_batch_size"":23,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7977,""total_tokens"":8000}",308.3324620155816,308.3324620155816,308.3324620155816,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,25,"{""decode_batch_size"":24,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7976,""total_tokens"":8000}",308.5049295604242,308.5049295604242,308.5049295604242,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,26,"{""decode_batch_size"":25,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7975,""total_tokens"":8000}",308.6773971052668,308.6773971052668,308.6773971052668,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,27,"{""decode_batch_size"":26,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7974,""total_tokens"":8000}",308.8498646501094,308.8498646501094,308.8498646501094,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,28,"{""decode_batch_size"":27,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7973,""total_tokens"":8000}",309.02233219495196,309.02233219495196,309.02233219495196,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,29,"{""decode_batch_size"":28,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7972,""total_tokens"":8000}",309.1947997397946,309.1947997397946,309.1947997397946,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,30,"{""decode_batch_size"":29,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7971,""total_tokens"":8000}",309.36726728463714,309.36726728463714,309.36726728463714,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,31,"{""decode_batch_size"":30,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7970,""total_tokens"":8000}",309.5397348294798,309.5397348294798,309.5397348294798,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,32,"{""decode_batch_size"":31,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7969,""total_tokens"":8000}",309.7122023743224,309.7122023743224,309.7122023743224,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,33,"{""decode_batch_size"":32,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7968,""total_tokens"":8000}",309.88466991916493,309.88466991916493,309.88466991916493,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,34,"{""decode_batch_size"":33,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7967,""total_tokens"":8000}",310.0950655550464,310.0950655550464,310.0950655550464,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,35,"{""decode_batch_size"":34,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7966,""total_tokens"":8000}",310.30546119092776,310.30546119092776,310.30546119092776,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,36,"{""decode_batch_size"":35,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7965,""total_tokens"":8000}",310.5158568268091,310.5158568268091,310.5158568268091,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,37,"{""decode_batch_size"":36,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7964,""total_tokens"":8000}",310.7262524626906,310.7262524626906,310.7262524626906,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,38,"{""decode_batch_size"":37,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7963,""total_tokens"":8000}",310.93664809857194,310.93664809857194,310.93664809857194,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,39,"{""decode_batch_size"":38,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7962,""total_tokens"":8000}",311.14704373445335,311.14704373445335,311.14704373445335,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,40,"{""decode_batch_size"":39,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7961,""total_tokens"":8000}",311.3574393703347,311.3574393703347,311.3574393703347,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,41,"{""decode_batch_size"":40,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7960,""total_tokens"":8000}",311.5678350062161,311.5678350062161,311.5678350062161,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,42,"{""decode_batch_size"":41,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7959,""total_tokens"":8000}",311.7782306420975,311.7782306420975,311.7782306420975,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,43,"{""decode_batch_size"":42,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7958,""total_tokens"":8000}",311.9886262779789,311.9886262779789,311.9886262779789,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,44,"{""decode_batch_size"":43,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7957,""total_tokens"":8000}",312.1990219138603,312.1990219138603,312.1990219138603,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,45,"{""decode_batch_size"":44,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7956,""total_tokens"":8000}",312.4094175497417,312.4094175497417,312.4094175497417,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,46,"{""decode_batch_size"":45,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7955,""total_tokens"":8000}",312.61981318562306,312.61981318562306,312.61981318562306,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,47,"{""decode_batch_size"":46,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7954,""total_tokens"":8000}",312.8302088215045,312.8302088215045,312.8302088215045,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,48,"{""decode_batch_size"":47,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7953,""total_tokens"":8000}",313.0406044573859,313.0406044573859,313.0406044573859,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,49,"{""decode_batch_size"":48,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7952,""total_tokens"":8000}",313.2510000932673,313.2510000932673,313.2510000932673,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,50,"{""decode_batch_size"":49,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7951,""total_tokens"":8000}",313.4613957291487,313.4613957291487,313.4613957291487,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,51,"{""decode_batch_size"":50,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7950,""total_tokens"":8000}",313.6717913650301,313.6717913650301,313.6717913650301,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,52,"{""decode_batch_size"":51,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7949,""total_tokens"":8000}",313.8821870009115,313.8821870009115,313.8821870009115,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,53,"{""decode_batch_size"":52,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7948,""total_tokens"":8000}",314.09258263679277,314.09258263679277,314.09258263679277,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,54,"{""decode_batch_size"":53,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7947,""total_tokens"":8000}",314.30297827267424,314.30297827267424,314.30297827267424,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,55,"{""decode_batch_size"":54,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7946,""total_tokens"":8000}",314.5133739085556,314.5133739085556,314.5133739085556,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,56,"{""decode_batch_size"":55,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7945,""total_tokens"":8000}",314.723769544437,314.723769544437,314.723769544437,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,57,"{""decode_batch_size"":56,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7944,""total_tokens"":8000}",314.9341651803184,314.9341651803184,314.9341651803184,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,58,"{""decode_batch_size"":57,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7943,""total_tokens"":8000}",315.1445608161998,315.1445608161998,315.1445608161998,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,59,"{""decode_batch_size"":58,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7942,""total_tokens"":8000}",315.35495645208124,315.35495645208124,315.35495645208124,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,60,"{""decode_batch_size"":59,""decode_kv_len"":8192,""prefill_batch_size"":2,""prefill_seq_len"":8000,""prefill_tokens"":7941,""total_tokens"":8000}",315.5653520879626,315.5653520879626,315.5653520879626,0.0,0.0,0.0,0.0,[],[],[],PASS
