topology,phase,curve_point_count,site_count
tp4pp1dp2moetp1ep8cp1,decode,1,1
tp4pp1dp2moetp1ep8cp1,decode,2,26
tp4pp1dp2moetp1ep8cp1,decode,7,1
tp4pp1dp2moetp1ep8cp1,decode,22,1
tp4pp1dp2moetp1ep8cp1,decode,27,1
tp4pp1dp2moetp1ep8cp1,decode,38,1
tp4pp1dp2moetp1ep8cp1,decode,142,1
tp4pp1dp2moetp1ep8cp1,decode,159,1
tp4pp1dp2moetp1ep8cp1,decode,160,1
tp4pp1dp2moetp1ep8cp1,decode,200,1
tp4pp1dp2moetp1ep8cp1,decode,215,1
tp4pp1dp2moetp1ep8cp1,decode,367,1
tp4pp1dp2moetp1ep8cp1,decode,377,1
tp4pp1dp2moetp1ep8cp1,decode,397,1
tp4pp1dp2moetp1ep8cp1,decode,525,1
tp4pp1dp2moetp1ep8cp1,decode,583,1
tp4pp1dp2moetp1ep8cp1,decode,759,1
tp4pp1dp2moetp1ep8cp1,decode,811,1
tp4pp1dp2moetp1ep8cp1,decode,857,1
tp4pp1dp2moetp1ep8cp1,decode,859,1
tp4pp1dp2moetp1ep8cp1,decode,900,1
tp4pp1dp2moetp1ep8cp1,decode,902,1
tp4pp1dp2moetp1ep8cp1,decode,975,1
tp4pp1dp2moetp1ep8cp1,decode,1006,1
tp4pp1dp2moetp1ep8cp1,decode,1065,1
tp4pp1dp2moetp1ep8cp1,decode,1095,1
tp4pp1dp2moetp1ep8cp1,decode,1098,1
tp4pp1dp2moetp1ep8cp1,decode,2692,1
tp4pp1dp2moetp1ep8cp1,decode,4143,1
tp4pp1dp2moetp1ep8cp1,decode,6059,1
tp4pp1dp2moetp1ep8cp1,decode,6117,1
tp4pp1dp2moetp1ep8cp1,decode,25306,1
tp4pp1dp2moetp1ep8cp1,prefill,1,298
tp4pp1dp2moetp1ep8cp1,prefill,2,10
tp4pp1dp2moetp1ep8cp1,prefill,3,1
tp4pp1dp2moetp1ep8cp1,prefill,4,2
tp4pp1dp2moetp1ep8cp1,prefill,5,2
tp4pp1dp2moetp1ep8cp1,prefill,6,4
tp4pp1dp2moetp1ep8cp1,prefill,7,2
tp4pp1dp2moetp1ep8cp1,prefill,8,1
tp4pp1dp2moetp1ep8cp1,prefill,9,1
tp4pp1dp2moetp1ep8cp1,prefill,13,1
tp4pp1dp2moetp1ep8cp1,prefill,23,1
tp4pp1dp2moetp1ep8cp1,prefill,68,1
tp8pp1dp1moetp1ep8cp1,decode,2,15
tp8pp1dp1moetp1ep8cp1,decode,3,4
tp8pp1dp1moetp1ep8cp1,decode,4,5
tp8pp1dp1moetp1ep8cp1,decode,5,5
tp8pp1dp1moetp1ep8cp1,decode,6,4
tp8pp1dp1moetp1ep8cp1,decode,9,1
tp8pp1dp1moetp1ep8cp1,decode,11,2
tp8pp1dp1moetp1ep8cp1,decode,12,1
tp8pp1dp1moetp1ep8cp1,decode,49,1
tp8pp1dp1moetp1ep8cp1,decode,100,1
tp8pp1dp1moetp1ep8cp1,decode,113,1
tp8pp1dp1moetp1ep8cp1,decode,137,1
tp8pp1dp1moetp1ep8cp1,decode,177,1
tp8pp1dp1moetp1ep8cp1,decode,282,1
tp8pp1dp1moetp1ep8cp1,decode,289,1
tp8pp1dp1moetp1ep8cp1,decode,660,1
tp8pp1dp1moetp1ep8cp1,decode,779,1
tp8pp1dp1moetp1ep8cp1,decode,814,1
tp8pp1dp1moetp1ep8cp1,decode,837,1
tp8pp1dp1moetp1ep8cp1,decode,848,1
tp8pp1dp1moetp1ep8cp1,decode,856,1
tp8pp1dp1moetp1ep8cp1,decode,883,1
tp8pp1dp1moetp1ep8cp1,decode,959,1
tp8pp1dp1moetp1ep8cp1,decode,978,1
tp8pp1dp1moetp1ep8cp1,decode,1019,1
tp8pp1dp1moetp1ep8cp1,decode,1046,1
tp8pp1dp1moetp1ep8cp1,decode,1049,2
tp8pp1dp1moetp1ep8cp1,decode,1109,1
tp8pp1dp1moetp1ep8cp1,decode,1924,1
tp8pp1dp1moetp1ep8cp1,decode,2171,1
tp8pp1dp1moetp1ep8cp1,decode,2190,1
tp8pp1dp1moetp1ep8cp1,decode,2206,1
tp8pp1dp1moetp1ep8cp1,decode,2302,1
tp8pp1dp1moetp1ep8cp1,decode,2341,1
tp8pp1dp1moetp1ep8cp1,decode,2749,1
tp8pp1dp1moetp1ep8cp1,decode,9104,1
tp8pp1dp1moetp1ep8cp1,decode,19659,1
tp8pp1dp1moetp1ep8cp1,prefill,1,541
tp8pp1dp1moetp1ep8cp1,prefill,2,18
tp8pp1dp1moetp1ep8cp1,prefill,3,1
tp8pp1dp1moetp1ep8cp1,prefill,4,2
tp8pp1dp1moetp1ep8cp1,prefill,5,2
tp8pp1dp1moetp1ep8cp1,prefill,6,3
tp8pp1dp1moetp1ep8cp1,prefill,7,1
tp8pp1dp1moetp1ep8cp1,prefill,8,2
tp8pp1dp1moetp1ep8cp1,prefill,9,2
tp8pp1dp1moetp1ep8cp1,prefill,10,1
tp8pp1dp1moetp1ep8cp1,prefill,38,1
tp8pp1dp1moetp1ep8cp1,prefill,97,1
