alignment_key,alignment_key_type,dp_rank,scenario,phase,topology_key,cb_engine_step_id,cb_iter_index,cb_scheduled_context_tokens,cb_scheduled_decode_tokens,cb_scheduled_total_tokens,cb_scheduled_context_reqs,cb_scheduled_decode_reqs,cb_scheduled_total_reqs,cb_forward_token_count,cb_forward_regime,cb_cudagraph_runtime_mode,vllm_engine_step_id,vllm_iter_index,vllm_scheduled_context_tokens,vllm_scheduled_decode_tokens,vllm_scheduled_total_tokens,vllm_scheduled_context_reqs,vllm_scheduled_decode_reqs,vllm_scheduled_total_reqs,vllm_forward_token_count,vllm_forward_regime,vllm_cudagraph_runtime_mode,scheduled_context_token_delta,scheduled_decode_token_delta,scheduled_total_token_delta,scheduled_context_req_delta,scheduled_decode_req_delta,scheduled_total_req_delta,forward_token_delta,same_phase,same_topology_key,same_scheduled_total_tokens,same_scheduled_total_reqs,same_forward_token_count,same_forward_regime,same_cudagraph_runtime_mode,valid_for_default,perf_database,diagnostic_only
engine_dp:0:step:0,engine_core_dp_step,0,32000x1000_b16,prefill,tp4dp2moetp1ep8,0,0,8192,0,8192,1,0,1,8192,NONE:8192,NONE,0,0,8192,0,8192,1,0,1,8192,NONE:8192,NONE,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:1,engine_core_dp_step,0,32000x1000_b16,prefill,tp4dp2moetp1ep8,1,1,8192,0,8192,1,0,1,8192,NONE:8192,NONE,1,1,8192,0,8192,1,0,1,8192,NONE:8192,NONE,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:2,engine_core_dp_step,0,32000x1000_b16,prefill,tp4dp2moetp1ep8,2,2,8192,0,8192,1,0,1,8192,NONE:8192,NONE,2,2,8192,0,8192,1,0,1,8192,NONE:8192,NONE,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:3,engine_core_dp_step,0,32000x1000_b16,prefill,tp4dp2moetp1ep8,3,3,7536,0,7536,8,0,8,7536,NONE:7536,NONE,3,3,7536,0,7536,8,0,8,7536,NONE:7536,NONE,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:4,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,4,4,0,8,8,0,8,8,8,FULL:8,FULL,4,4,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:5,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,5,5,0,8,8,0,8,8,8,FULL:8,FULL,5,5,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:6,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,6,6,0,8,8,0,8,8,8,FULL:8,FULL,6,6,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:7,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,7,7,0,8,8,0,8,8,8,FULL:8,FULL,7,7,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:8,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,8,8,0,8,8,0,8,8,8,FULL:8,FULL,8,8,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:9,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,9,9,0,8,8,0,8,8,8,FULL:8,FULL,9,9,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
