alignment_key,alignment_key_type,engine_step_id,dp_rank,source,scenario,iteration,phase,scheduled_context_tokens,scheduled_decode_tokens,scheduled_total_tokens,scheduled_context_reqs,scheduled_decode_reqs,scheduled_total_reqs,max_num_batched_tokens,max_num_seqs,forward_token_count,forward_regime,cudagraph_runtime_mode,topology_key,tp,dp,moe_tp,moe_ep,valid_for_default,perf_database,diagnostic_only
engine_dp:0:step:0,engine_core_dp_step,0,0,cb_sim_vllm_like,32000x1000_b16,0,prefill,8192,0,8192,1,0,1,8192,256,8192,NONE:8192,NONE,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:1,engine_core_dp_step,1,0,cb_sim_vllm_like,32000x1000_b16,1,prefill,8192,0,8192,1,0,1,8192,256,8192,NONE:8192,NONE,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:2,engine_core_dp_step,2,0,cb_sim_vllm_like,32000x1000_b16,2,prefill,8192,0,8192,1,0,1,8192,256,8192,NONE:8192,NONE,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:3,engine_core_dp_step,3,0,cb_sim_vllm_like,32000x1000_b16,3,prefill,7536,0,7536,8,0,8,8192,256,7536,NONE:7536,NONE,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:4,engine_core_dp_step,4,0,cb_sim_vllm_like,32000x1000_b16,4,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:5,engine_core_dp_step,5,0,cb_sim_vllm_like,32000x1000_b16,5,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:6,engine_core_dp_step,6,0,cb_sim_vllm_like,32000x1000_b16,6,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:7,engine_core_dp_step,7,0,cb_sim_vllm_like,32000x1000_b16,7,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:8,engine_core_dp_step,8,0,cb_sim_vllm_like,32000x1000_b16,8,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:9,engine_core_dp_step,9,0,cb_sim_vllm_like,32000x1000_b16,9,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:10,engine_core_dp_step,10,0,cb_sim_vllm_like,32000x1000_b16,10,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:11,engine_core_dp_step,11,0,cb_sim_vllm_like,32000x1000_b16,11,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:12,engine_core_dp_step,12,0,cb_sim_vllm_like,32000x1000_b16,12,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:13,engine_core_dp_step,13,0,cb_sim_vllm_like,32000x1000_b16,13,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:14,engine_core_dp_step,14,0,cb_sim_vllm_like,32000x1000_b16,14,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:15,engine_core_dp_step,15,0,cb_sim_vllm_like,32000x1000_b16,15,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:16,engine_core_dp_step,16,0,cb_sim_vllm_like,32000x1000_b16,16,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:17,engine_core_dp_step,17,0,cb_sim_vllm_like,32000x1000_b16,17,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:18,engine_core_dp_step,18,0,cb_sim_vllm_like,32000x1000_b16,18,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:19,engine_core_dp_step,19,0,cb_sim_vllm_like,32000x1000_b16,19,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:20,engine_core_dp_step,20,0,cb_sim_vllm_like,32000x1000_b16,20,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:21,engine_core_dp_step,21,0,cb_sim_vllm_like,32000x1000_b16,21,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:22,engine_core_dp_step,22,0,cb_sim_vllm_like,32000x1000_b16,22,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:23,engine_core_dp_step,23,0,cb_sim_vllm_like,32000x1000_b16,23,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:24,engine_core_dp_step,24,0,cb_sim_vllm_like,32000x1000_b16,24,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:25,engine_core_dp_step,25,0,cb_sim_vllm_like,32000x1000_b16,25,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:26,engine_core_dp_step,26,0,cb_sim_vllm_like,32000x1000_b16,26,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:27,engine_core_dp_step,27,0,cb_sim_vllm_like,32000x1000_b16,27,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:28,engine_core_dp_step,28,0,cb_sim_vllm_like,32000x1000_b16,28,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:29,engine_core_dp_step,29,0,cb_sim_vllm_like,32000x1000_b16,29,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:0:step:30,engine_core_dp_step,30,0,cb_sim_vllm_like,32000x1000_b16,30,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
