start_index	end_index	duration_s	iteration_count_delta	iteration_tokens_delta	avg_tokens_per_iter	avg_iter_latency_ms	prompt_tokens_delta	generation_tokens_delta	generation_tok_s	request_success_delta	preemptions_delta
0	1	1.1125152499880642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2	1.0968149999971502	2.0	20056.0	10028.0	548.4074999985751	20054.0	2.0	1.8234615682728597	0.0	0.0
2	3	1.070736207999289	2.0	2.0	1.0	535.3681039996445	0.0	2.0	1.8678736976094938	0.0	0.0
3	4	1.077158333035186	4.0	20058.0	5014.5	269.2895832587965	20054.0	4.0	3.713474497968107	0.0	0.0
4	5	1.1458572919946164	4.0	20060.0	5015.0	286.4643229986541	20054.0	6.0	5.236254149550929	0.0	0.0
5	6	1.1062451669713482	4.0	20062.0	5015.5	276.56129174283706	20054.0	8.0	7.231670012084401	0.0	0.0
6	7	1.4634063330013305	4.0	20064.0	5016.0	365.8515832503326	20054.0	10.0	6.833372095288663	0.0	0.0
7	8	1.0694750000257045	8.0	20076.0	2509.5	133.68437500321306	20054.0	22.0	20.57084083262464	0.0	0.0
8	9	1.1093101250007749	4.0	20068.0	5017.0	277.3275312501937	20054.0	14.0	12.620456339916865	0.0	0.0
9	10	1.0619205000111833	4.0	20070.0	5017.5	265.48012500279583	20054.0	16.0	15.067041270821592	0.0	0.0
10	11	1.1046662079752423	4.0	20072.0	5018.0	276.1665519938106	20054.0	18.0	16.294514913235595	0.0	0.0
11	12	1.0952039170078933	4.0	18.0	4.5	273.80097925197333	0.0	18.0	16.43529549198122	0.0	0.0
12	13	1.1270937920198776	4.0	20074.0	5018.5	281.7734480049694	20054.0	20.0	17.74475215958538	0.0	0.0
13	14	1.077409915975295	4.0	20076.0	5019.0	269.35247899382375	20054.0	22.0	20.4193405627654	0.0	0.0
14	15	1.0944226249703206	8.0	40158.0	5019.75	136.80282812129008	40108.0	50.0	45.68619001398654	0.0	0.0
15	16	1.1077332920394838	4.0	20082.0	5020.5	276.93332300987095	20054.0	28.0	25.27684254072412	0.0	0.0
16	17	1.1013907080050558	4.0	28.0	7.0	275.34767700126395	0.0	28.0	25.42240441697232	0.0	0.0
17	18	1.24179604195524	28.0	40330.0	1440.357142857143	44.34985864125857	40108.0	222.0	178.7733190471885	0.0	0.0
18	19	1.1350058329990134	192.0	1536.0	8.0	5.911488713536528	0.0	1536.0	1353.2970098853539	0.0	0.0
19	20	1.0946659590117633	196.0	1568.0	8.0	5.585030403121242	0.0	1568.0	1432.4004387745379	0.0	0.0
20	21	1.0779605000279844	192.0	1536.0	8.0	5.614377604312419	0.0	1536.0	1424.9130649593606	0.0	0.0
21	22	1.1035669159609824	184.0	1472.0	8.0	5.997646282396643	0.0	1472.0	1333.8565869548447	0.0	0.0
22	23	1.093737917020917	188.0	1504.0	8.0	5.8177548777708346	0.0	1504.0	1375.1009054312935	0.0	0.0
23	24	1.1147187920287251	192.0	1536.0	8.0	5.8058270418162765	0.0	1536.0	1377.925994415656	0.0	0.0
24	25	1.0870189580018632	180.0	1440.0	8.0	6.038994211121462	0.0	1440.0	1324.723906054941	0.0	0.0
25	26	1.1054545419756323	184.0	1472.0	8.0	6.007905119432785	0.0	1472.0	1331.5789515589574	0.0	0.0
26	27	1.1151185409980826	182.0	1454.0	7.989010989010989	6.127024950538916	0.0	1472.0	1320.039032516213	0.0	0.0
27	28	1.0754841670277528	182.0	1458.0	8.010989010989011	5.909253664987653	0.0	1440.0	1338.9318449751206	0.0	0.0
28	29	1.115904291975312	176.0	1408.0	8.0	6.340365295314272	0.0	1408.0	1261.756953643073	0.0	0.0
29	30	1.1059584579779766	180.0	1440.0	8.0	6.144213655433203	0.0	1440.0	1302.0380554191443	0.0	0.0
30	31	1.0736703750444576	180.0	1440.0	8.0	5.964835416913654	0.0	1440.0	1341.1937531948515	0.0	0.0
31	32	1.1379196670022793	178.0	1422.0	7.98876404494382	6.392807117990333	0.0	1440.0	1265.467186970691	0.0	0.0
32	33	1.1129730829852633	182.0	1458.0	8.010989010989011	6.115236719699249	0.0	1440.0	1293.8318293714447	0.0	0.0
33	34	1.1286015000077896	176.0	1408.0	8.0	6.412508522771532	0.0	1408.0	1247.561694708258	0.0	0.0
