model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,2048,512,0,160,3.549,160,160,795.669,87.41,45462.271,3.549,0.887,1813.321,453.33,11.44,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,45.394,0.312,1.0,159.0,2207.0,2048,159.0,trtllm,1.0.0,a100_sxm,0.0,453.33
Qwen/Qwen3-32B,2048,512,0,144,3.541,144,144,786.532,78.729,41017.214,3.541,0.885,1809.6,452.4,12.702,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,42.892,0.281,1.0,143.0,2191.0,2048,143.0,trtllm,1.0.0,a100_sxm,0.0,452.4
Qwen/Qwen3-32B,2048,512,0,128,3.538,128,128,777.488,69.939,36516.144,3.538,0.884,1807.755,451.939,14.298,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,40.391,0.25,1.0,127.0,2175.0,2048,127.0,trtllm,1.0.0,a100_sxm,0.0,451.939
Qwen/Qwen3-32B,2048,512,0,112,3.423,112,112,769.836,63.157,33042.995,3.423,0.856,1748.919,437.23,15.834,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,37.89,0.219,1.0,111.0,2159.0,2048,111.0,trtllm,1.0.0,a100_sxm,0.0,437.23
Qwen/Qwen3-32B,2048,512,0,96,3.276,96,96,762.183,56.444,29605.0,3.276,0.819,1674.177,418.544,17.717,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,35.389,0.188,1.0,95.0,2143.0,2048,95.0,trtllm,1.0.0,a100_sxm,0.0,418.544
Qwen/Qwen3-32B,2048,512,0,80,3.102,80,80,754.531,49.548,26073.565,3.102,0.776,1585.366,396.342,20.182,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,32.888,0.156,1.0,79.0,2127.0,2048,79.0,trtllm,1.0.0,a100_sxm,0.0,396.342
Qwen/Qwen3-32B,2048,512,0,64,2.964,64,64,746.844,41.323,21863.027,2.964,0.741,1514.518,378.629,24.199,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,30.386,0.125,1.0,63.0,2111.0,2048,63.0,trtllm,1.0.0,a100_sxm,0.0,378.629
Qwen/Qwen3-32B,2048,512,0,56,2.832,56,56,742.737,37.749,20032.577,2.832,0.708,1447.344,361.836,26.491,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,29.136,0.109,1.0,55.0,2103.0,2048,55.0,trtllm,1.0.0,a100_sxm,0.0,361.836
Qwen/Qwen3-32B,2048,512,0,48,2.674,48,48,738.63,34.179,18203.958,2.674,0.668,1366.391,341.598,29.258,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,27.885,0.094,1.0,47.0,2095.0,2048,47.0,trtllm,1.0.0,a100_sxm,0.0,341.598
Qwen/Qwen3-32B,2048,512,0,40,2.431,40,40,706.978,31.242,16671.688,2.431,0.608,1242.318,310.579,32.008,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,26.635,0.078,1.0,39.0,2087.0,2048,39.0,trtllm,1.0.0,a100_sxm,0.0,310.579
Qwen/Qwen3-32B,2048,512,0,32,2.138,32,32,629.783,28.325,15104.043,2.138,0.535,1092.665,273.166,35.304,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,25.384,0.062,1.0,31.0,2079.0,2048,31.0,trtllm,1.0.0,a100_sxm,0.0,273.166
Qwen/Qwen3-32B,2048,512,0,56,4.059,56,56,707.839,25.821,13902.137,4.059,0.507,2074.217,259.277,38.729,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.47,0.055,2.0,54.0,4150.0,4096,54.0,trtllm,1.0.0,a100_sxm,0.0,259.277
Qwen/Qwen3-32B,2048,512,0,48,3.916,48,48,661.819,22.803,12314.093,3.916,0.489,2001.038,250.13,43.854,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.845,0.047,2.0,46.0,4142.0,4096,46.0,trtllm,1.0.0,a100_sxm,0.0,250.13
Qwen/Qwen3-32B,2048,512,0,40,3.635,40,40,616.121,20.343,11011.65,3.635,0.454,1857.609,232.201,49.156,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.219,0.039,2.0,38.0,4134.0,4096,38.0,trtllm,1.0.0,a100_sxm,0.0,232.201
