model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster,replicas,p_gpus_worker,d_gpus_worker,used_gpus
Qwen/Qwen3-32B,512,128,0,124,10.8,1,1,2,124,124,1,277.655,83.175,10840.88,10.8,2.7,1382.385,345.596,12.023,6.483,11.739,4,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,44.826,trtllm,1.0.0,l40s,0.0,345.596,1.0,1,2,4
Qwen/Qwen3-32B,512,128,0,100,9.125,1,1,2,100,100,1,277.655,79.388,10359.931,9.125,2.281,1167.944,291.986,12.596,6.483,9.918,4,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,42.951,trtllm,1.0.0,l40s,0.0,291.986,1.0,1,2,4
Qwen/Qwen3-32B,512,128,0,380,35.008,1,1,6,76,76,5,277.655,74.186,9699.277,35.008,2.188,4481.05,280.066,13.48,6.483,8.067,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,41.076,trtllm,1.0.0,l40s,0.0,280.066,1.0,1,2,16
Qwen/Qwen3-32B,512,128,0,300,31.28,1,1,6,60,60,5,277.655,69.481,9101.742,31.28,1.955,4003.84,250.24,14.392,6.483,6.8,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,39.826,trtllm,1.0.0,l40s,0.0,250.24,1.0,1,2,16
Qwen/Qwen3-32B,512,128,0,204,23.339,1,1,4,68,68,3,277.655,59.344,7814.343,23.339,1.459,2987.366,186.71,16.851,6.483,9.023,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.95,trtllm,1.0.0,l40s,0.0,186.71,1.0,1,4,16
Qwen/Qwen3-32B,512,128,0,168,22.243,1,1,4,56,56,3,277.655,54.716,7226.587,22.243,1.39,2847.084,177.943,18.276,6.483,8.059,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.481,trtllm,1.0.0,l40s,0.0,177.943,1.0,1,4,16
Qwen/Qwen3-32B,512,128,0,120,17.805,1,1,4,40,40,3,277.655,48.821,6477.922,17.805,1.113,2279.009,142.438,20.483,6.483,6.451,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.856,trtllm,1.0.0,l40s,0.0,142.438,1.0,1,4,16
Qwen/Qwen3-32B,512,128,0,84,13.714,1,1,4,28,28,3,277.655,44.37,5912.645,13.714,0.857,1755.448,109.716,22.538,6.483,4.969,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.387,trtllm,1.0.0,l40s,0.0,109.716,1.0,1,4,16
Qwen/Qwen3-32B,512,128,0,60,10.883,1,1,4,20,20,3,277.655,39.936,5349.527,10.883,0.68,1392.983,87.061,25.04,6.483,3.943,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.075,trtllm,1.0.0,l40s,0.0,87.061,1.0,1,4,16
Qwen/Qwen3-32B,512,128,0,36,7.551,1,1,4,12,12,3,277.655,34.535,4663.6,7.551,0.472,966.574,60.411,28.956,6.483,2.736,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.762,trtllm,1.0.0,l40s,0.0,60.411,1.0,1,4,16
Qwen/Qwen3-32B,512,128,0,12,2.906,1,1,4,4,4,3,277.655,29.918,4077.241,2.906,0.182,372.004,23.25,33.425,6.483,1.053,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.45,trtllm,1.0.0,l40s,0.0,23.25,1.0,1,4,16
Qwen/Qwen3-32B,512,128,0,4,1.006,1,1,8,4,4,1,277.655,28.823,3938.176,1.006,0.063,128.712,8.044,34.694,6.483,1.093,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,12.925,trtllm,1.0.0,l40s,0.0,8.044,1.0,1,8,16
Qwen/Qwen3-32B,512,128,0,2,0.68,1,1,8,2,2,1,277.655,21.316,2984.787,0.68,0.042,87.025,5.439,46.913,6.483,0.739,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,12.886,trtllm,1.0.0,l40s,0.0,5.439,1.0,1,8,16
Qwen/Qwen3-32B,512,128,0,1,0.415,1,1,8,1,1,1,277.655,17.47,2496.345,0.415,0.026,53.11,3.319,57.24,6.483,0.451,16,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,12.866,trtllm,1.0.0,l40s,0.0,3.319,1.0,1,8,16
