model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,512,128,0,144,9.054,144,144,441.785,110.446,14468.463,9.054,4.527,1149.88,574.94,9.054,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,46.388,1.125,1.0,143.0,655.0,512,143.0,trtllm,1.0.0,a100_sxm,0.0,574.94
Qwen/Qwen3-32B,512,128,0,112,8.905,112,112,429.229,98.041,12880.423,8.905,4.453,1130.95,565.475,10.2,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,43.888,0.875,1.0,111.0,623.0,512,111.0,trtllm,1.0.0,a100_sxm,0.0,565.475
Qwen/Qwen3-32B,512,128,0,96,8.647,96,96,417.412,86.31,11378.774,8.647,4.324,1098.2,549.1,11.586,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,42.638,0.75,1.0,95.0,607.0,512,95.0,trtllm,1.0.0,a100_sxm,0.0,549.1
Qwen/Qwen3-32B,512,128,0,80,8.261,80,80,405.594,75.035,9935.102,8.261,4.131,1049.193,524.597,13.327,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,41.388,0.625,1.0,79.0,591.0,512,79.0,trtllm,1.0.0,a100_sxm,0.0,524.597
Qwen/Qwen3-32B,512,128,0,64,7.987,64,64,558.842,60.215,8206.19,7.987,3.994,1014.368,507.184,16.607,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,40.178,0.25,2.0,62.0,1086.0,1024,62.0,trtllm,1.0.0,a100_sxm,0.0,507.184
Qwen/Qwen3-32B,512,128,0,112,15.288,112,112,581.72,54.313,7479.438,15.288,3.822,1941.561,485.39,18.412,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,24.765,0.219,4.0,108.0,2156.0,2048,108.0,trtllm,1.0.0,a100_sxm,0.0,485.39
Qwen/Qwen3-32B,512,128,0,96,14.653,96,96,541.194,48.154,6656.799,14.653,3.663,1860.914,465.229,20.767,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,24.139,0.188,4.0,92.0,2140.0,2048,92.0,trtllm,1.0.0,a100_sxm,0.0,465.229
Qwen/Qwen3-32B,512,128,0,48,7.239,48,48,591.48,47.688,6647.804,7.239,3.62,919.381,459.69,20.97,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,38.977,0.125,3.0,45.0,1581.0,1536,45.0,trtllm,1.0.0,a100_sxm,0.0,459.69
Qwen/Qwen3-32B,512,128,0,80,13.983,80,80,563.516,40.667,5728.174,13.983,3.496,1775.83,443.958,24.59,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,23.551,0.125,5.0,75.0,2635.0,2560,75.0,trtllm,1.0.0,a100_sxm,0.0,443.958
Qwen/Qwen3-32B,512,128,0,64,13.37,64,64,461.962,34.112,4794.181,13.37,3.342,1697.942,424.486,29.315,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.886,0.125,4.0,60.0,2108.0,2048,60.0,trtllm,1.0.0,a100_sxm,0.0,424.486
Qwen/Qwen3-32B,512,128,0,64,13.346,64,64,527.695,33.296,4756.35,13.346,3.337,1694.994,423.749,30.033,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.925,0.1,5.0,59.0,2619.0,2560,59.0,trtllm,1.0.0,a100_sxm,0.0,423.749
Qwen/Qwen3-32B,512,128,0,64,13.297,64,64,594.795,32.557,4729.512,13.297,3.324,1688.725,422.181,30.716,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.964,0.083,6.0,58.0,3130.0,3072,58.0,trtllm,1.0.0,a100_sxm,0.0,422.181
Qwen/Qwen3-32B,512,128,0,56,12.794,56,56,442.474,30.852,4360.685,12.794,3.198,1624.833,406.208,32.413,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.573,0.109,4.0,52.0,2100.0,2048,52.0,trtllm,1.0.0,a100_sxm,0.0,406.208
Qwen/Qwen3-32B,512,128,0,56,12.482,56,56,580.509,29.963,4385.751,12.482,3.121,1585.238,396.31,33.375,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.651,0.073,6.0,50.0,3122.0,3072,50.0,trtllm,1.0.0,a100_sxm,0.0,396.31
Qwen/Qwen3-32B,512,128,0,48,12.213,48,48,553.993,25.532,3796.556,12.213,3.053,1551.083,387.771,39.167,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.338,0.062,6.0,42.0,3114.0,3072,42.0,trtllm,1.0.0,a100_sxm,0.0,387.771
Qwen/Qwen3-32B,512,128,0,40,11.045,40,40,469.486,23.965,3513.003,11.045,2.761,1402.707,350.677,41.728,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.986,0.062,5.0,35.0,2595.0,2560,35.0,trtllm,1.0.0,a100_sxm,0.0,350.677
Qwen/Qwen3-32B,512,128,0,40,10.851,40,40,539.91,23.602,3537.321,10.851,2.713,1378.02,344.505,42.37,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,22.025,0.052,6.0,34.0,3106.0,3072,34.0,trtllm,1.0.0,a100_sxm,0.0,344.505
Qwen/Qwen3-32B,512,128,0,32,9.66,32,32,384.926,22.396,3229.279,9.66,2.415,1226.759,306.69,44.65,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.634,0.062,4.0,28.0,2076.0,2048,28.0,trtllm,1.0.0,a100_sxm,0.0,306.69
Qwen/Qwen3-32B,512,128,0,32,9.405,32,32,592.025,20.453,3189.538,9.405,2.351,1194.466,298.616,48.893,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.751,0.036,7.0,25.0,3609.0,3584,25.0,trtllm,1.0.0,a100_sxm,0.0,298.616
Qwen/Qwen3-32B,512,128,0,56,18.233,56,56,455.746,19.599,2944.883,18.233,2.279,2315.549,289.444,51.022,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,14.188,0.055,8.0,48.0,4144.0,4096,48.0,trtllm,1.0.0,a100_sxm,0.0,289.444
Qwen/Qwen3-32B,512,128,0,28,9.072,28,28,577.041,17.935,2854.747,9.072,2.268,1152.194,288.048,55.758,4,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.594,0.031,7.0,21.0,3605.0,3584,21.0,trtllm,1.0.0,a100_sxm,0.0,288.048
Qwen/Qwen3-32B,512,128,0,48,17.541,48,48,444.351,16.932,2594.668,17.541,2.193,2227.68,278.46,59.061,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,14.032,0.047,8.0,40.0,4136.0,4096,40.0,trtllm,1.0.0,a100_sxm,0.0,278.46
Qwen/Qwen3-32B,512,128,0,48,17.362,48,48,527.513,16.089,2570.778,17.362,2.17,2204.959,275.62,62.155,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,14.11,0.038,10.0,38.0,5158.0,5120,38.0,trtllm,1.0.0,a100_sxm,0.0,275.62
Qwen/Qwen3-32B,512,128,0,40,16.285,40,40,513.976,13.633,2245.306,16.285,2.036,2068.214,258.527,73.354,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,13.953,0.031,10.0,30.0,5150.0,5120,30.0,trtllm,1.0.0,a100_sxm,0.0,258.527
Qwen/Qwen3-32B,512,128,0,32,14.488,32,32,421.753,12.732,2038.68,14.488,1.811,1840.027,230.003,78.544,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,13.718,0.031,8.0,24.0,4120.0,4096,24.0,trtllm,1.0.0,a100_sxm,0.0,230.003
