model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,512,128,0,512,34.631,1,1,6,512,512,1,277.655,107.101,13879.482,34.631,4.329,4432.722,554.09,9.337,6.483,37.642,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,75.138,trtllm,1.0.0,a100_sxm,0.0,554.09
Qwen/Qwen3-32B,512,128,0,496,34.485,1,1,6,496,496,1,277.655,104.192,13510.039,34.485,4.311,4414.116,551.764,9.598,6.483,37.484,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,73.888,trtllm,1.0.0,a100_sxm,0.0,551.764
Qwen/Qwen3-32B,512,128,0,472,34.252,1,1,6,472,472,1,277.655,99.828,12955.811,34.252,4.281,4384.205,548.026,10.017,6.483,37.23,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,72.013,trtllm,1.0.0,a100_sxm,0.0,548.026
Qwen/Qwen3-32B,512,128,0,440,33.906,1,1,6,440,440,1,277.655,94.008,12216.671,33.906,4.238,4339.927,542.491,10.637,6.483,36.854,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,69.513,trtllm,1.0.0,a100_sxm,0.0,542.491
Qwen/Qwen3-32B,512,128,0,416,33.617,1,1,6,416,416,1,277.655,89.643,11662.316,33.617,4.202,4302.95,537.869,11.155,6.483,36.54,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,67.638,trtllm,1.0.0,a100_sxm,0.0,537.869
Qwen/Qwen3-32B,512,128,0,384,33.14,1,1,6,384,384,1,277.655,83.937,10937.654,33.14,4.143,4241.951,530.244,11.914,6.483,36.022,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,65.138,trtllm,1.0.0,a100_sxm,0.0,530.244
Qwen/Qwen3-32B,512,128,0,352,32.336,1,1,6,352,352,1,277.655,78.858,10292.621,32.336,4.042,4139.028,517.379,12.681,6.483,35.148,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,62.638,trtllm,1.0.0,a100_sxm,0.0,517.379
Qwen/Qwen3-32B,512,128,0,320,31.42,1,1,6,320,320,1,277.655,73.778,9647.461,31.42,3.927,4021.74,502.717,13.554,6.483,34.152,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,60.138,trtllm,1.0.0,a100_sxm,0.0,502.717
Qwen/Qwen3-32B,512,128,0,296,30.646,1,1,6,296,296,1,277.655,69.968,9163.591,30.646,3.831,3922.703,490.338,14.292,6.483,33.311,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,58.263,trtllm,1.0.0,a100_sxm,0.0,490.338
Qwen/Qwen3-32B,512,128,0,264,29.472,1,1,6,264,264,1,277.655,64.889,8518.558,29.472,3.684,3772.442,471.555,15.411,6.483,32.035,8,1,1,1,1,1,tp1pp1dp1etp1ep1,float16,float16,float16,float16,half,64.734,trtllm,1.0.0,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,55.763,trtllm,1.0.0,a100_sxm,0.0,471.555
