model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,4000,1000,0,132,1.697,1,1,2,44,44,3,1908.81,64.474,66318.336,1.697,0.106,1697.4,106.088,15.51,0.943,0.683,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,33.721,trtllm,1.0.0,l40s,0.0,106.088
Qwen/Qwen3-32B,4000,1000,0,108,1.689,1,1,2,36,36,3,1908.81,58.885,60734.925,1.689,0.106,1689.12,105.57,16.982,0.943,0.612,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,31.28,trtllm,1.0.0,l40s,0.0,105.57
Qwen/Qwen3-32B,4000,1000,0,90,1.515,1,1,2,30,30,3,1908.81,54.718,56572.092,1.515,0.095,1515.24,94.703,18.275,0.943,0.549,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,29.449,trtllm,1.0.0,l40s,0.0,94.703
Qwen/Qwen3-32B,4000,1000,0,66,1.261,1,1,2,22,22,3,1908.81,48.222,50082.588,1.261,0.079,1261.32,78.832,20.737,0.943,0.457,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,27.008,trtllm,1.0.0,l40s,0.0,78.832
Qwen/Qwen3-32B,4000,1000,0,54,1.121,1,1,2,18,18,3,1908.81,44.359,46223.451,1.121,0.07,1120.56,70.035,22.544,0.943,0.406,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,25.787,trtllm,1.0.0,l40s,0.0,70.035
Qwen/Qwen3-32B,4000,1000,0,39,0.916,1,1,2,13,13,3,1908.81,39.231,41100.579,0.916,0.057,916.32,57.27,25.49,0.943,0.332,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,24.261,trtllm,1.0.0,l40s,0.0,57.27
Qwen/Qwen3-32B,4000,1000,0,27,0.712,1,1,2,9,9,3,1908.81,34.946,36819.864,0.712,0.045,712.08,44.505,28.616,0.943,0.258,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,23.04,trtllm,1.0.0,l40s,0.0,44.505
Qwen/Qwen3-32B,4000,1000,0,9,0.279,1,1,2,3,3,3,1908.81,29.726,31605.084,0.279,0.017,278.76,17.423,33.641,0.943,0.101,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,21.209,trtllm,1.0.0,l40s,0.0,17.423
Qwen/Qwen3-32B,4000,1000,0,4,0.127,1,1,4,4,4,1,1908.81,29.035,30914.775,0.127,0.008,126.96,7.935,34.441,0.943,0.138,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,13.457,trtllm,1.0.0,l40s,0.0,7.935
Qwen/Qwen3-32B,4000,1000,0,2,0.086,1,1,4,2,2,1,1908.81,21.395,23282.415,0.086,0.005,86.48,5.405,46.741,0.943,0.094,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,13.152,trtllm,1.0.0,l40s,0.0,5.405
Qwen/Qwen3-32B,4000,1000,0,1,0.052,1,1,4,1,1,1,1908.81,17.546,19437.264,0.052,0.003,52.44,3.278,56.994,0.943,0.057,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.955,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,12.999,trtllm,1.0.0,l40s,0.0,3.278
