model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,2048,512,0,24,0.575,24,24,1466.879,79.207,41941.408,0.575,0.287,293.686,146.843,12.625,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,42.775,0.047,1.0,23.0,2071.0,2048,23.0,trtllm,1.0.0,l40s,0.0,146.843
Qwen/Qwen3-32B,2048,512,0,20,0.517,20,20,1364.017,73.165,38751.149,0.517,0.259,264.242,132.121,13.668,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,41.525,0.039,1.0,19.0,2067.0,2048,19.0,trtllm,1.0.0,l40s,0.0,132.121
Qwen/Qwen3-32B,2048,512,0,16,0.45,16,16,1262.091,67.116,35558.441,0.45,0.225,229.722,114.861,14.9,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,40.275,0.031,1.0,15.0,2063.0,2048,15.0,trtllm,1.0.0,l40s,0.0,114.861
Qwen/Qwen3-32B,2048,512,0,15,0.43,15,15,1236.756,65.759,34839.444,0.43,0.215,219.639,109.819,15.207,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,39.962,0.029,1.0,14.0,2062.0,2048,14.0,trtllm,1.0.0,l40s,0.0,109.819
Qwen/Qwen3-32B,2048,512,0,14,0.409,14,14,1211.48,64.401,34120.614,0.409,0.205,209.147,104.574,15.528,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,39.649,0.027,1.0,13.0,2061.0,2048,13.0,trtllm,1.0.0,l40s,0.0,104.574
Qwen/Qwen3-32B,2048,512,0,13,0.388,13,13,1186.262,63.044,33401.951,0.388,0.194,198.221,99.11,15.862,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,39.337,0.025,1.0,12.0,2060.0,2048,12.0,trtllm,1.0.0,l40s,0.0,99.11
Qwen/Qwen3-32B,2048,512,0,12,0.366,12,12,1161.102,61.684,32681.81,0.366,0.183,186.842,93.421,16.212,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,39.024,0.023,1.0,11.0,2059.0,2048,11.0,trtllm,1.0.0,l40s,0.0,93.421
Qwen/Qwen3-32B,2048,512,0,11,0.342,11,11,1136.001,60.324,31961.417,0.342,0.171,174.974,87.487,16.577,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,38.712,0.021,1.0,10.0,2058.0,2048,10.0,trtllm,1.0.0,l40s,0.0,87.487
Qwen/Qwen3-32B,2048,512,0,10,0.318,10,10,1110.959,58.963,31241.184,0.318,0.159,162.581,81.29,16.96,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,38.399,0.02,1.0,9.0,2057.0,2048,9.0,trtllm,1.0.0,l40s,0.0,81.29
Qwen/Qwen3-32B,2048,512,0,9,0.293,9,9,1085.975,57.603,30521.11,0.293,0.146,149.627,74.814,17.36,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,38.086,0.018,1.0,8.0,2056.0,2048,8.0,trtllm,1.0.0,l40s,0.0,74.814
Qwen/Qwen3-32B,2048,512,0,8,0.266,8,8,1061.05,56.243,29801.194,0.266,0.133,136.074,68.037,17.78,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,37.774,0.016,1.0,7.0,2055.0,2048,7.0,trtllm,1.0.0,l40s,0.0,68.037
Qwen/Qwen3-32B,2048,512,0,7,0.238,7,7,1036.183,54.893,29086.411,0.238,0.119,121.86,60.93,18.217,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,37.461,0.014,1.0,6.0,2054.0,2048,6.0,trtllm,1.0.0,l40s,0.0,60.93
Qwen/Qwen3-32B,2048,512,0,6,0.209,6,6,1011.375,53.543,28371.681,0.209,0.105,106.962,53.481,18.677,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,37.149,0.012,1.0,5.0,2053.0,2048,5.0,trtllm,1.0.0,l40s,0.0,53.481
Qwen/Qwen3-32B,2048,512,0,5,0.179,5,5,986.625,52.192,27656.942,0.179,0.089,91.33,45.665,19.16,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.836,0.01,1.0,4.0,2052.0,2048,4.0,trtllm,1.0.0,l40s,0.0,45.665
Qwen/Qwen3-32B,2048,512,0,4,0.147,4,4,962.1,50.843,26942.627,0.147,0.073,74.908,37.454,19.669,2,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,36.523,0.008,1.0,3.0,2051.0,2048,3.0,trtllm,1.0.0,l40s,0.0,37.454
