model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster,replicas,p_gpus_worker,d_gpus_worker,used_gpus
Qwen/Qwen3-32B,2048,512,0,256,8.92,1,1,6,256,256,1,925.61,51.67,27328.98,8.92,0.558,4567.204,285.45,19.353,1.945,9.696,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,60.294,trtllm,1.0.0,a100_sxm,0.0,285.45,1.0,2,4,16
Qwen/Qwen3-32B,2048,512,0,204,8.752,1,1,5,68,68,3,925.61,38.792,20748.322,8.752,0.547,4481.28,280.08,25.778,1.945,3.43,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,56.388,trtllm,1.0.0,a100_sxm,0.0,280.08,1.0,2,2,16
Qwen/Qwen3-32B,2048,512,0,156,8.032,1,1,5,52,52,3,925.61,34.967,18793.747,8.032,0.502,4112.179,257.011,28.598,1.945,2.91,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,51.388,trtllm,1.0.0,a100_sxm,0.0,257.011,1.0,2,2,16
Qwen/Qwen3-32B,2048,512,0,128,7.266,1,1,6,128,128,1,925.61,31.716,17132.486,7.266,0.454,3720.274,232.517,31.529,1.945,7.898,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,40.294,trtllm,1.0.0,a100_sxm,0.0,232.517,1.0,2,4,16
Qwen/Qwen3-32B,2048,512,0,72,3.501,1,1,2,72,72,1,925.61,24.968,13684.258,3.501,0.438,1792.512,224.064,40.052,1.945,5.643,8,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,31.544,trtllm,1.0.0,a100_sxm,0.0,224.064,1.0,2,4,8
Qwen/Qwen3-32B,2048,512,0,64,6.064,1,1,4,64,64,1,925.61,19.001,10635.121,6.064,0.379,3104.625,194.039,52.628,1.945,6.591,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.847,trtllm,1.0.0,a100_sxm,0.0,194.039,1.0,2,8,16
Qwen/Qwen3-32B,2048,512,0,60,5.974,1,1,4,60,60,1,925.61,18.081,10165.001,5.974,0.373,3058.934,191.183,55.308,1.945,6.494,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.534,trtllm,1.0.0,a100_sxm,0.0,191.183,1.0,2,8,16
Qwen/Qwen3-32B,2048,512,0,56,5.875,1,1,4,56,56,1,925.61,17.16,9694.37,5.875,0.367,3008.061,188.004,58.276,1.945,6.386,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.222,trtllm,1.0.0,a100_sxm,0.0,188.004,1.0,2,8,16
Qwen/Qwen3-32B,2048,512,0,52,5.766,1,1,4,52,52,1,925.61,16.239,9223.739,5.766,0.36,2952.008,184.5,61.58,1.945,6.267,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.909,trtllm,1.0.0,a100_sxm,0.0,184.5,1.0,2,8,16
Qwen/Qwen3-32B,2048,512,0,48,5.545,1,1,4,48,48,1,925.61,15.586,8890.056,5.545,0.347,2838.958,177.435,64.159,1.945,6.027,16,2,1,1,1,1,tp2pp1dp1etp1ep1,float16,float16,float16,float16,half,35.523,trtllm,1.0.0,l40s,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.597,trtllm,1.0.0,a100_sxm,0.0,177.435,1.0,2,8,16
