experiment,tokens_per_sec,tokens_per_sec_per_gpu,tokens_per_sec_per_user,seq_per_sec,seq_per_sec_per_gpu,num_total_gpus,ttft_ms,tpot_ms,request_latency_ms,isl,osl,gpu_type,tokens_per_10k_rmb,tp,pp,batch_size,exp_key,p_gpu_type,d_gpu_type,prefill_tp,prefill_pp,prefill_workers,prefill_batch_size,decode_tp,decode_pp,decode_workers,decode_batch_size,replicas,p_gpus_worker,d_gpus_worker
l40_long_agg,128.668,64.334,16.841,0.129,0.064,2,2183.566,59.38,61504.081,4000,1000,a100,36.76228571428572,2.0,1.0,8.0,a100_agg_short,,,,,,,,,,,,,
a100_medium_agg,1846.234,230.779,50.16,3.613,0.452,8,785.035,19.936,10972.523,2048,512,a100,527.4948571428571,8.0,1.0,40.0,a100_agg_short,,,,,,,,,,,,,
a100_long_agg,1444.276,180.535,53.315,1.446,0.181,8,722.886,18.756,19460.604,4000,1000,a100,412.65142857142854,8.0,1.0,28.0,a100_agg_short,,,,,,,,,,,,,
a100_short_agg,2315.549,289.444,51.022,18.233,2.279,8,455.746,19.599,2944.883,512,128,a100,661.5862857142859,8.0,1.0,56.0,a100_agg_short,,,,,,,,,,,,,
a100_p_l40_d_medium_disagg,1119.191,69.949,25.286,2.186,0.137,16,1078.319,39.548,21287.347,2048,512,"p:a100_sxm,d:l40s",172.18215384615382,,,,a100_disagg_short,a100_sxm,l40s,1.0,1.0,4.0,1.0,4.0,1.0,3.0,16.0,1.0,1.0,4.0
l40_p_a100_d_long_disagg,3894.36,243.398,19.583,3.894,0.243,16,1908.81,51.064,52921.746,4000,1000,"p:l40s,d:a100_sxm",599.1335384615385,,,,a100_disagg_short,l40s,a100_sxm,2.0,1.0,5.0,1.0,2.0,1.0,3.0,72.0,1.0,2.0,2.0
l40_p_a100_d_short_disagg,3361.536,210.096,72.993,26.262,1.641,16,246.733,13.7,1986.633,512,128,"p:l40s,d:a100_sxm",672.3072000000001,,,,a100_disagg_short,l40s,a100_sxm,2.0,1.0,4.0,1.0,8.0,1.0,1.0,52.0,1.0,2.0,8.0
l40_medium_disagg,1119.191,69.949,25.286,2.186,0.137,16,925.61,39.548,21134.638,2048,512,"p:l40s,d:l40s",248.70755555555553,,,,a100_disagg_short,l40s,l40s,2.0,1.0,2.0,1.0,4.0,1.0,3.0,16.0,1.0,2.0,4.0
a100_p_l40_d_long_disagg,1689.12,105.57,16.982,1.689,0.106,16,2224.618,58.885,61050.733,4000,1000,"p:a100_sxm,d:l40s",259.8646153846154,,,,a100_disagg_short,a100_sxm,l40s,1.0,1.0,4.0,1.0,4.0,1.0,3.0,36.0,1.0,1.0,4.0
l40_p_a100_d_medium_disagg,4481.28,280.08,25.778,8.752,0.547,16,925.61,38.792,20748.322,2048,512,"p:l40s,d:a100_sxm",689.4276923076923,,,,a100_disagg_short,l40s,a100_sxm,2.0,1.0,5.0,1.0,2.0,1.0,3.0,68.0,1.0,2.0,2.0
a100_short_disagg,2987.366,373.421,50.039,23.339,2.917,8,277.655,19.985,2815.75,512,128,"p:a100_sxm,d:a100_sxm",426.76685714285713,,,,a100_disagg_short,a100_sxm,a100_sxm,1.0,1.0,4.0,1.0,4.0,1.0,1.0,68.0,1.0,1.0,4.0
a100_long_disagg,2679.04,167.44,51.941,2.679,0.167,16,671.929,19.252,19904.677,4000,1000,"p:a100_sxm,d:a100_sxm",382.72,,,,a100_disagg_short,a100_sxm,a100_sxm,4.0,1.0,2.0,1.0,8.0,1.0,1.0,56.0,1.0,4.0,8.0
l40_short_disagg,53.11,3.319,57.24,0.415,0.026,16,246.733,17.47,2465.423,512,128,"p:l40s,d:l40s",17.701333333333334,,,,a100_disagg_short,l40s,l40s,2.0,1.0,4.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,8.0
a100_medium_disagg,3104.625,194.039,52.628,6.064,0.379,16,579.748,19.001,10289.259,2048,512,"p:a100_sxm,d:a100_sxm",443.51771428571425,,,,a100_disagg_short,a100_sxm,a100_sxm,2.0,1.0,4.0,1.0,8.0,1.0,1.0,64.0,1.0,2.0,8.0
a100_p_l40_d_short_disagg,53.11,3.319,57.24,0.415,0.026,16,277.655,17.47,2496.345,512,128,"p:a100_sxm,d:l40s",10.6208,,,,a100_disagg_short,a100_sxm,l40s,1.0,1.0,8.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,8.0
l40_long_disagg,1689.12,105.57,16.982,1.689,0.106,16,1908.81,58.885,60734.925,4000,1000,"p:l40s,d:l40s",375.36,,,,a100_disagg_short,l40s,l40s,2.0,1.0,2.0,1.0,4.0,1.0,3.0,36.0,1.0,2.0,4.0
