model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,4000,1000,0,32,1.525,32,32,769.424,20.373,21122.488,1.525,0.191,1523.637,190.455,49.084,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.969,0.032,1.0,31.0,4031.0,4000,31.0,trtllm,1.0.0,a100_sxm,0.0,190.455
Qwen/Qwen3-32B,4000,1000,0,28,1.446,28,28,722.886,18.756,19460.604,1.446,0.181,1444.276,180.535,53.315,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.358,0.028,1.0,27.0,4027.0,4000,27.0,trtllm,1.0.0,a100_sxm,0.0,180.535
Qwen/Qwen3-32B,4000,1000,0,24,1.35,24,24,676.587,17.16,17819.791,1.35,0.169,1348.908,168.613,58.274,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.748,0.024,1.0,23.0,4023.0,4000,23.0,trtllm,1.0.0,a100_sxm,0.0,168.613
Qwen/Qwen3-32B,4000,1000,0,20,1.234,20,20,630.525,15.597,16211.546,1.234,0.154,1232.303,154.038,64.116,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,16.137,0.02,1.0,19.0,4019.0,4000,19.0,trtllm,1.0.0,a100_sxm,0.0,154.038
Qwen/Qwen3-32B,4000,1000,0,16,1.092,16,16,584.75,14.032,14602.766,1.092,0.137,1090.914,136.364,71.265,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,15.526,0.016,1.0,15.0,4015.0,4000,15.0,trtllm,1.0.0,a100_sxm,0.0,136.364
Qwen/Qwen3-32B,4000,1000,0,15,1.047,15,15,573.378,13.712,14272.043,1.047,0.131,1045.502,130.688,72.927,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,15.374,0.015,1.0,14.0,4014.0,4000,14.0,trtllm,1.0.0,a100_sxm,0.0,130.688
Qwen/Qwen3-32B,4000,1000,0,14,0.999,14,14,562.019,13.393,13941.375,0.999,0.125,998.018,124.752,74.667,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,15.221,0.014,1.0,13.0,4013.0,4000,13.0,trtllm,1.0.0,a100_sxm,0.0,124.752
Qwen/Qwen3-32B,4000,1000,0,13,0.949,13,13,550.673,13.073,13610.762,0.949,0.119,948.32,118.54,76.493,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,15.068,0.013,1.0,12.0,4012.0,4000,12.0,trtllm,1.0.0,a100_sxm,0.0,118.54
Qwen/Qwen3-32B,4000,1000,0,12,0.898,12,12,539.34,12.747,13273.148,0.898,0.112,896.719,112.09,78.453,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,14.916,0.012,1.0,11.0,4011.0,4000,11.0,trtllm,1.0.0,a100_sxm,0.0,112.09
Qwen/Qwen3-32B,4000,1000,0,11,0.843,11,11,528.02,12.418,12933.809,0.843,0.105,842.652,105.331,80.527,8,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,14.763,0.011,1.0,10.0,4010.0,4000,10.0,trtllm,1.0.0,a100_sxm,0.0,105.331
