model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B,4000,1000,0,96,2.411,1,1,1,96,96,1,671.929,34.81,35447.119,2.411,0.301,2411.1,301.388,28.728,2.679,2.761,8,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.775,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,49.591,trtllm,1.0.0,a100_sxm,0.0,301.388
Qwen/Qwen3-32B,4000,1000,0,72,2.303,1,1,1,72,72,1,671.929,28.791,29434.138,2.303,0.288,2302.76,287.845,34.733,2.679,2.503,8,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.775,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,42.266,trtllm,1.0.0,a100_sxm,0.0,287.845
Qwen/Qwen3-32B,4000,1000,0,56,2.064,1,1,1,56,56,1,671.929,24.99,25636.939,2.064,0.258,2063.56,257.945,40.016,2.679,2.243,8,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.775,trtllm,1.0.0,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,37.383,trtllm,1.0.0,a100_sxm,0.0,257.945
Qwen/Qwen3-32B,4000,1000,0,76,2.845,1,1,2,76,76,1,671.929,24.607,25254.322,2.845,0.178,2844.64,177.79,40.639,2.679,3.092,16,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.775,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,24.444,trtllm,1.0.0,a100_sxm,0.0,177.79
Qwen/Qwen3-32B,4000,1000,0,56,2.679,1,1,2,56,56,1,671.929,19.252,19904.677,2.679,0.167,2679.04,167.44,51.941,2.679,2.912,16,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.775,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,21.392,trtllm,1.0.0,a100_sxm,0.0,167.44
Qwen/Qwen3-32B,4000,1000,0,52,2.621,1,1,2,52,52,1,671.929,18.271,18924.658,2.621,0.164,2621.08,163.818,54.733,2.679,2.849,16,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.775,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,20.781,trtllm,1.0.0,a100_sxm,0.0,163.818
Qwen/Qwen3-32B,4000,1000,0,48,2.518,1,1,2,48,48,1,671.929,17.557,18211.372,2.518,0.157,2518.04,157.378,56.958,2.679,2.737,16,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.775,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,20.171,trtllm,1.0.0,a100_sxm,0.0,157.378
Qwen/Qwen3-32B,4000,1000,0,40,2.233,1,1,2,40,40,1,671.929,16.496,17151.433,2.233,0.14,2232.84,139.552,60.619,2.679,2.427,16,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.775,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,18.95,trtllm,1.0.0,a100_sxm,0.0,139.552
Qwen/Qwen3-32B,4000,1000,0,36,2.076,1,1,2,36,36,1,671.929,15.966,16621.963,2.076,0.13,2076.44,129.778,62.633,2.679,2.257,16,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.775,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,18.34,trtllm,1.0.0,a100_sxm,0.0,129.778
Qwen/Qwen3-32B,4000,1000,0,28,1.767,1,1,2,28,28,1,671.929,14.59,15247.339,1.767,0.11,1767.32,110.458,68.539,2.679,1.921,16,4,1,1,1,1,tp4pp1dp1etp1ep1,float16,float16,float16,float16,half,20.775,trtllm,1.0.0,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,float16,float16,float16,float16,half,17.119,trtllm,1.0.0,a100_sxm,0.0,110.458
